NAME,CBSA,GEOID,year,geoyearID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,State,MetroMicro,CBSAFIPS,popdensity,O65popdensity,tbpopdensity,childpopdensity
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M200US41740,2013,310M200US417402013,3211252,726396,2088563,396293,22.6,65.0,12.3,411000, CA, Metro,41740,762.735333021411,94.12736008542899,496.074675964763,172.53329697121896
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M200US41740,2014,310M200US417402014,3263431,728757,2120042,414632,22.3,65.0,12.7,457300, CA, Metro,41740,775.128868920096,98.48323227243881,503.55155586960416,173.09408077805304
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M200US41740,2015,310M200US417402015,3299521,728038,2139784,431699,22.1,64.9,13.1,485900, CA, Metro,41740,783.7009517615369,102.53697951142112,508.2406680739745,172.92330417614127
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M300US41740,2016,310M300US417402016,3317749,728328,2143598,445823,22.0,64.6,13.4,527600, CA, Metro,41740,788.0304592714783,105.89170652866997,509.1465678788306,172.9921848639777
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M300US41740,2017,310M300US417402017,3337685,728528,2154629,454528,21.8,64.6,13.6,563800, CA, Metro,41740,792.7656502808151,107.95931476182993,511.7666467323616,173.03968878662357
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",310M400US41740,2018,310M400US417402018,3343364,722408,2151135,469821,21.6,64.3,14.1,606200, CA, Metro,41740,794.1145241643436,111.59170220694368,510.9367532037389,171.586068753661
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA Metro Area",310M500US41740,2019,310M500US417402019,3338330,714798,2139060,484472,21.4,64.1,14.5,619300, CA, Metro,41740,792.9188504313479,115.07160206036431,508.0687038739966,169.778544496987
"Sandusky, OH","Sandusky, OH Metro Area",310M100US41780,2010,310M100US417802010,77070,17052,46727,13291,22.1,60.6,17.2,134100, OH, Metro,41780,306.59014899737645,52.87257908815531,185.88345519917488,67.83411471004624
"Sandusky, OH","Sandusky, OH Metro Area",310M100US41780,2011,310M100US417802011,76751,16826,46416,13509,21.9,60.5,17.6,137300, OH, Metro,41780,305.32114345007966,53.73979918003838,184.64627424240592,66.93507002763535
"Sandusky, OH","Sandusky, OH Metro Area",310M100US41780,2012,310M100US417802012,76398,16287,46277,13834,21.3,60.6,18.1,138600, OH, Metro,41780,303.91688339303965,55.03267317023103,184.09332198198507,64.79088824082353
