CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Dyersburg, TN Micro Area",310M500US20540,20540,37416,2228,6724,5362,4195,4963,7513,6431,6.0,18.0,14.3,11.2,13.3,20.1,17.2
"Eagle Pass, TX Micro Area",310M500US20580,20580,58174,5451,12875,11074,7298,6613,8159,6704,9.4,22.1,19.0,12.5,11.4,14.0,11.5
"Easton, MD Micro Area",310M500US20660,20660,37167,1661,5196,4083,3649,3744,8239,10595,4.5,14.0,11.0,9.8,10.1,22.2,28.5
"East Stroudsburg, PA Metro Area",310M500US20700,20700,168032,7566,25769,28076,17567,20562,40218,28274,4.5,15.3,16.7,10.5,12.2,23.9,16.8
"Eau Claire, WI Metro Area",310M500US20740,20740,167406,9436,25774,32381,22167,18393,32416,26839,5.6,15.4,19.3,13.2,11.0,19.4,16.0
"Edwards, CO Micro Area",310M500US20780,20780,54681,3087,8906,8560,9558,7666,11027,5877,5.6,16.3,15.7,17.5,14.0,20.2,10.7
"Effingham, IL Micro Area",310M500US20820,20820,34137,2261,5833,4971,4233,3769,7219,5851,6.6,17.1,14.6,12.4,11.0,21.1,17.1
"El Campo, TX Micro Area",310M500US20900,20900,41577,2836,7966,6288,5250,4320,7998,6919,6.8,19.2,15.1,12.6,10.4,19.2,16.6
"El Centro, CA Metro Area",310M500US20940,20940,180701,15080,36773,32668,24069,20783,28487,22841,8.3,20.4,18.1,13.3,11.5,15.8,12.6
"El Dorado, AR Micro Area",310M500US20980,20980,39449,2631,6896,5453,4581,4878,8206,6804,6.7,17.5,13.8,11.6,12.4,20.8,17.2
"Elizabeth City, NC Micro Area",310M500US21020,21020,52944,3213,8136,7934,6390,6106,11010,10155,6.1,15.4,15.0,12.1,11.5,20.8,19.2
"Elizabethtown-Fort Knox, KY Metro Area",310M500US21060,21060,150913,9516,26841,23760,20053,18914,30609,21220,6.3,17.8,15.7,13.3,12.5,20.3,14.1
"Elk City, OK Micro Area",310M500US21120,21120,22268,1590,3974,3546,3115,2880,4153,3010,7.1,17.8,15.9,14.0,12.9,18.7,13.5
"Elkhart-Goshen, IN Metro Area",310M500US21140,21140,204558,15475,41249,31601,24943,25067,36980,29243,7.6,20.2,15.4,12.2,12.3,18.1,14.3
"Elkins, WV Micro Area",310M500US21180,21180,28930,1495,4045,4314,3476,3308,6179,6113,5.2,14.0,14.9,12.0,11.4,21.4,21.1
"Elko, NV Micro Area",310M500US21220,21220,54156,3871,10889,8691,7373,6862,10392,6078,7.1,20.1,16.0,13.6,12.7,19.2,11.2
