CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Albert Lea, MN Micro Area",310M500US10660,10660,30463,1694,4992,3704,3390,3462,6522,6699,5.6,16.4,12.2,11.1,11.4,21.4,22.0
"Albertville, AL Micro Area",310M500US10700,10700,95643,6615,17272,13898,11262,11957,18546,16093,6.9,18.1,14.5,11.8,12.5,19.4,16.8
"Albuquerque, NM Metro Area",310M500US10740,10740,912108,51658,152840,146929,126284,108976,177891,147530,5.7,16.8,16.1,13.8,11.9,19.5,16.2
"Alexander City, AL Micro Area",310M500US10760,10760,51298,2621,7649,6977,4957,6326,11833,10935,5.1,14.9,13.6,9.7,12.3,23.1,21.3
"Alexandria, LA Metro Area",310M500US10780,10780,153310,10153,27108,23854,20068,18258,29783,24086,6.6,17.7,15.6,13.1,11.9,19.4,15.7
"Alexandria, MN Micro Area",310M500US10820,10820,37513,2127,5937,4726,4535,3764,8004,8420,5.7,15.8,12.6,12.1,10.0,21.3,22.4
"Alice, TX Micro Area",310M500US10860,10860,52240,3914,10449,8512,6746,5656,8872,8091,7.5,20.0,16.3,12.9,10.8,17.0,15.5
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",310M500US10900,10900,837610,43987,133092,128433,99975,105471,178320,148332,5.3,15.9,15.3,11.9,12.6,21.3,17.7
"Alma, MI Micro Area",310M500US10940,10940,40916,1987,6165,7334,5207,5067,8119,7037,4.9,15.1,17.9,12.7,12.4,19.8,17.2
"Alpena, MI Micro Area",310M500US10980,10980,28520,1362,3982,3575,2942,3218,6953,6488,4.8,14.0,12.5,10.3,11.3,24.4,22.7
"Altoona, PA Metro Area",310M500US11020,11020,123157,6496,18636,17756,14095,14704,26474,24996,5.3,15.1,14.4,11.4,11.9,21.5,20.3
"Altus, OK Micro Area",310M500US11060,11060,25063,1961,4402,4570,3328,2868,4217,3717,7.8,17.6,18.2,13.3,11.4,16.8,14.8
"Amarillo, TX Metro Area",310M500US11100,11100,263776,18786,49019,44502,37322,31680,46393,36074,7.1,18.6,16.9,14.1,12.0,17.6,13.7
"Americus, GA Micro Area",310M500US11140,11140,35285,2189,5974,6918,3838,4190,6325,5851,6.2,16.9,19.6,10.9,11.9,17.9,16.6
"Ames, IA Metro Area",310M500US11180,11180,123311,5971,15857,41080,14083,11266,18952,16102,4.8,12.9,33.3,11.4,9.1,15.4,13.1
"Amsterdam, NY Micro Area",310M500US11220,11220,49302,3107,8199,6852,5970,5867,10287,9020,6.3,16.6,13.9,12.1,11.9,20.9,18.3
"Anchorage, AK Metro Area",310M500US11260,11260,398900,28714,71558,72768,60545,47859,74644,42812,7.2,17.9,18.2,15.2,12.0,18.7,10.7
"Andrews, TX Micro Area",310M500US11380,11380,18036,1551,4137,2962,2800,1994,2782,1810,8.6,22.9,16.4,15.5,11.1,15.4,10.0
"Angola, IN Micro Area",310M500US11420,11420,34453,1881,5188,5452,3406,4183,7597,6746,5.5,15.1,15.8,9.9,12.1,22.1,19.6
"Ann Arbor, MI Metro Area",310M500US11460,11460,367000,18035,50841,97728,45446,41627,64015,49308,4.9,13.9,26.6,12.4,11.3,17.4,13.4
"Anniston-Oxford, AL Metro Area",310M500US11500,11500,114618,6608,18344,18624,14317,13479,23508,19738,5.8,16.0,16.2,12.5,11.8,20.5,17.2
"Appleton, WI Metro Area",310M500US11540,11540,235628,14370,41810,34234,31206,30460,49841,33707,6.1,17.7,14.5,13.2,12.9,21.2,14.3
"Arcadia, FL Micro Area",310M500US11580,11580,36903,1861,5348,5868,5083,4075,6666,8002,5.0,14.5,15.9,13.8,11.0,18.1,21.7
"Ardmore, OK Micro Area",310M500US11620,11620,58382,3923,10722,8491,7208,6999,11164,9875,6.7,18.4,14.5,12.3,12.0,19.1,16.9
"Arecibo, PR Metro Area",310M500US11640,11640,180567,7494,26814,29135,21755,23274,35664,36431,4.2,14.8,16.1,12.0,12.9,19.8,20.2
"Arkadelphia, AR Micro Area",310M500US11660,11660,22386,1201,3054,6213,1940,2506,3838,3634,5.4,13.6,27.8,8.7,11.2,17.1,16.2
"Asheville, NC Metro Area",310M500US11700,11700,454351,22425,62865,61808,56191,57633,94724,98705,4.9,13.8,13.6,12.4,12.7,20.8,21.7
"Ashland, OH Micro Area",310M500US11740,11740,53536,3036,9116,8814,5632,6317,10802,9819,5.7,17.0,16.5,10.5,11.8,20.2,18.3
"Ashtabula, OH Micro Area",310M500US11780,11780,97830,5502,16175,13346,11129,11786,21760,18132,5.6,16.5,13.6,11.4,12.0,22.2,18.5
"Astoria, OR Micro Area",310M500US11820,11820,39102,2014,5446,5390,4824,4362,8679,8387,5.2,13.9,13.8,12.3,11.2,22.2,21.4
"Atchison, KS Micro Area",310M500US11860,11860,16268,919,2897,3293,1664,1579,3164,2752,5.6,17.8,20.2,10.2,9.7,19.4,16.9
"Athens, OH Micro Area",310M500US11900,11900,65917,2555,7131,23597,7148,6379,10826,8281,3.9,10.8,35.8,10.8,9.7,16.4,12.6
"Athens, TN Micro Area",310M500US11940,11940,53053,2903,8345,7374,5845,7191,11119,10276,5.5,15.7,13.9,11.0,13.6,21.0,19.4
"Athens, TX Micro Area",310M500US11980,11980,81070,4488,12976,10916,8354,9408,17110,17818,5.5,16.0,13.5,10.3,11.6,21.1,22.0
"Baton Rouge, LA Metro Area",310M500US12940,12940,854318,55450,146254,158315,117285,102435,157514,117065,6.5,17.1,18.5,13.7,12.0,18.4,13.7
"Battle Creek, MI Metro Area",310M500US12980,12980,134212,8303,22580,20692,15871,16048,27488,23230,6.2,16.8,15.4,11.8,12.0,20.5,17.3
"Athens-Clarke County, GA Metro Area",310M500US12020,12020,208457,11302,30820,55766,26206,24346,33269,26748,5.4,14.8,26.8,12.6,11.7,16.0,12.8
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",310M500US12060,12060,5862424,373075,1075323,958083,823392,834951,1099907,697693,6.4,18.3,16.3,14.0,14.2,18.8,11.9
"Atlantic City-Hammonton, NJ Metro Area",310M500US12100,12100,266105,14841,42244,40921,30143,32403,58896,46657,5.6,15.9,15.4,11.3,12.2,22.1,17.5
"Atmore, AL Micro Area",310M500US12120,12120,37057,2103,6185,5473,4770,4709,7251,6566,5.7,16.7,14.8,12.9,12.7,19.6,17.7
"Auburn, IN Micro Area",310M500US12140,12140,42927,2693,7779,6281,5197,5175,9024,6778,6.3,18.1,14.6,12.1,12.1,21.0,15.8
"Auburn, NY Micro Area",310M500US12180,12180,77425,3890,11504,11428,9420,9292,17679,14212,5.0,14.9,14.8,12.2,12.0,22.8,18.4
"Auburn-Opelika, AL Metro Area",310M500US12220,12220,161152,9527,24861,42202,20761,18868,26237,18696,5.9,15.4,26.2,12.9,11.7,16.3,11.6
"Augusta-Richmond County, GA-SC Metro Area",310M500US12260,12260,599616,37521,101978,99775,78605,71374,117669,92694,6.3,17.0,16.6,13.1,11.9,19.6,15.5
"Augusta-Waterville, ME Micro Area",310M500US12300,12300,121753,5913,17696,17185,13551,15512,28251,23645,4.9,14.5,14.1,11.1,12.7,23.2,19.4
"Austin, MN Micro Area",310M500US12380,12380,39807,2588,7357,5370,5256,4316,7614,7306,6.5,18.5,13.5,13.2,10.8,19.1,18.4
"Austin-Round Rock-Georgetown, TX Metro Area",310M500US12420,12420,2114441,135537,357844,388610,355939,303001,351395,222115,6.4,16.9,18.4,16.8,14.3,16.6,10.5
"Bainbridge, GA Micro Area",310M500US12460,12460,26682,1790,4734,4188,3216,3266,5221,4267,6.7,17.7,15.7,12.1,12.2,19.6,16.0
"Bakersfield, CA Metro Area",310M500US12540,12540,887641,70269,187820,163790,124384,104172,142494,94712,7.9,21.2,18.5,14.0,11.7,16.1,10.7
"Baltimore-Columbia-Towson, MD Metro Area",310M500US12580,12580,2796733,167736,446701,452025,385525,347871,573461,423414,6.0,16.0,16.2,13.8,12.4,20.5,15.1
"Bangor, ME Metro Area",310M500US12620,12620,151774,7090,20696,26815,17657,18459,33708,27349,4.7,13.6,17.7,11.6,12.2,22.2,18.0
"Baraboo, WI Micro Area",310M500US12660,12660,63922,3788,10822,8282,8310,7673,13573,11474,5.9,16.9,13.0,13.0,12.0,21.2,18.0
"Bardstown, KY Micro Area",310M500US12680,12680,45650,2868,8025,6749,5355,6030,9648,6975,6.3,17.6,14.8,11.7,13.2,21.1,15.3
"Barnstable Town, MA Metro Area",310M500US12700,12700,213496,7845,24732,24792,18927,20936,52683,63581,3.7,11.6,11.6,8.9,9.8,24.7,29.8
"Barre, VT Micro Area",310M500US12740,12740,58350,2791,8291,8675,6661,7485,13367,11080,4.8,14.2,14.9,11.4,12.8,22.9,19.0
"Bartlesville, OK Micro Area",310M500US12780,12780,51886,3269,9077,7250,6237,5847,10217,9989,6.3,17.5,14.0,12.0,11.3,19.7,19.3
"Batavia, NY Micro Area",310M500US12860,12860,57808,2967,8790,8533,6631,6943,13351,10593,5.1,15.2,14.8,11.5,12.0,23.1,18.3
"Batesville, AR Micro Area",310M500US12900,12900,54566,3344,9270,7342,6231,6426,11065,10888,6.1,17.0,13.5,11.4,11.8,20.3,20.0
"Bay City, MI Metro Area",310M500US13020,13020,104104,5125,16153,14775,12372,11933,23335,20411,4.9,15.5,14.2,11.9,11.5,22.4,19.6
"Bay City, TX Micro Area",310M500US13060,13060,36774,2612,6881,5476,4059,4145,7593,6008,7.1,18.7,14.9,11.0,11.3,20.6,16.3
"Beatrice, NE Micro Area",310M500US13100,13100,21594,1247,3636,2574,2401,2518,4789,4429,5.8,16.8,11.9,11.1,11.7,22.2,20.5
"Beaumont-Port Arthur, TX Metro Area",310M500US13140,13140,395174,27063,68738,64001,53295,47593,75884,58600,6.8,17.4,16.2,13.5,12.0,19.2,14.8
"Beaver Dam, WI Micro Area",310M500US13180,13180,87715,4057,14065,11754,11248,11125,20361,15105,4.6,16.0,13.4,12.8,12.7,23.2,17.2
"Beckley, WV Metro Area",310M500US13220,13220,118828,6508,18179,15989,14021,15454,24698,23979,5.5,15.3,13.5,11.8,13.0,20.8,20.2
"Bedford, IN Micro Area",310M500US13260,13260,45548,2469,7520,5940,5328,5635,9650,9006,5.4,16.5,13.0,11.7,12.4,21.2,19.8
"Beeville, TX Micro Area",310M500US13300,13300,32611,1901,5001,6386,5373,4508,5537,3905,5.8,15.3,19.6,16.5,13.8,17.0,12.0
"Bellefontaine, OH Micro Area",310M500US13340,13340,45316,2767,7833,6081,5064,5728,9890,7953,6.1,17.3,13.4,11.2,12.6,21.8,17.6
"Bellingham, WA Metro Area",310M500US13380,13380,220821,11813,31439,47037,27097,25652,40462,37321,5.3,14.2,21.3,12.3,11.6,18.3,16.9
"Bemidji, MN Micro Area",310M500US13420,13420,46403,3237,8449,9180,5272,4797,8252,7216,7.0,18.2,19.8,11.4,10.3,17.8,15.6
"Bend, OR Metro Area",310M500US13460,13460,186251,9554,28326,24524,24455,24871,38071,36450,5.1,15.2,13.2,13.1,13.4,20.4,19.6
"Bennettsville, SC Micro Area",310M500US13500,13500,26753,1408,4104,3981,3752,3281,5575,4652,5.3,15.3,14.9,14.0,12.3,20.8,17.4
"Bennington, VT Micro Area",310M500US13540,13540,35746,1704,5101,5247,3672,3580,8394,8048,4.8,14.3,14.7,10.3,10.0,23.5,22.5
"Berlin, NH Micro Area",310M500US13620,13620,31741,1269,3977,3982,3587,3748,7858,7320,4.0,12.5,12.5,11.3,11.8,24.8,23.1
"Big Rapids, MI Micro Area",310M500US13660,13660,43251,2078,5979,10819,3910,4294,8349,7822,4.8,13.8,25.0,9.0,9.9,19.3,18.1
"Big Spring, TX Micro Area",310M500US13700,13700,36349,2310,5726,6420,5679,4554,6980,4680,6.4,15.8,17.7,15.6,12.5,19.2,12.9
"Oshkosh-Neenah, WI Metro Area",310M500US36780,36780,170411,9372,25712,31936,21690,19963,34724,27014,5.5,15.1,18.7,12.7,11.7,20.4,15.9
"Oskaloosa, IA Micro Area",310M500US36820,36820,22164,1471,3845,3230,2679,2476,4458,4005,6.6,17.3,14.6,12.1,11.2,20.1,18.1
"Othello, WA Micro Area",310M500US36830,36830,19594,1921,4974,3256,2409,2030,2866,2138,9.8,25.4,16.6,12.3,10.4,14.6,10.9
"Ottawa, IL Micro Area",310M500US36837,36837,148580,8040,23885,20377,17607,17447,32494,28730,5.4,16.1,13.7,11.9,11.7,21.9,19.3
"Ottawa, KS Micro Area",310M500US36840,36840,25558,1534,4636,3735,2874,3114,5460,4205,6.0,18.1,14.6,11.2,12.2,21.4,16.5
"Ottumwa, IA Micro Area",310M500US36900,36900,35141,2235,5752,5394,4426,4084,7150,6100,6.4,16.4,15.3,12.6,11.6,20.3,17.4
"Owatonna, MN Micro Area",310M500US36940,36940,36683,2290,6911,4766,4759,4241,7464,6252,6.2,18.8,13.0,13.0,11.6,20.3,17.0
"Owensboro, KY Metro Area",310M500US36980,36980,118477,7860,21039,17113,14261,14356,23813,20035,6.6,17.8,14.4,12.0,12.1,20.1,16.9
"Oak Harbor, WA Micro Area",310M500US36020,36020,82866,4649,10497,13523,9537,8025,16787,19848,5.6,12.7,16.3,11.5,9.7,20.3,24.0
"Ocala, FL Metro Area",310M500US36100,36100,353526,17643,48340,43867,35949,36520,69969,101238,5.0,13.7,12.4,10.2,10.3,19.8,28.6
"Ocean City, NJ Metro Area",310M500US36140,36140,93086,4250,12141,12087,9318,9153,22078,24059,4.6,13.0,13.0,10.0,9.8,23.7,25.8
"Odessa, TX Metro Area",310M500US36220,36220,160579,14628,33827,30736,24297,17635,24219,15237,9.1,21.1,19.1,15.1,11.0,15.1,9.5
"Ogden-Clearfield, UT Metro Area",310M500US36260,36260,662875,54707,150568,109462,98014,79727,99744,70653,8.3,22.7,16.5,14.8,12.0,15.0,10.7
"Ogdensburg-Massena, NY Micro Area",310M500US36300,36300,108913,5671,16502,21613,11510,12802,22417,18398,5.2,15.2,19.8,10.6,11.8,20.6,16.9
"Oil City, PA Micro Area",310M500US36340,36340,51818,2560,7607,6338,5409,6032,12659,11213,4.9,14.7,12.2,10.4,11.6,24.4,21.6
"Okeechobee, FL Micro Area",310M500US36380,36380,41144,2472,6410,6014,5122,5011,7980,8135,6.0,15.6,14.6,12.4,12.2,19.4,19.8
"Oklahoma City, OK Metro Area",310M500US36420,36420,1382841,94617,246900,243134,198049,164939,247676,187526,6.8,17.9,17.6,14.3,11.9,17.9,13.6
"Olean, NY Micro Area",310M500US36460,36460,77121,4399,12785,11250,8245,8980,17035,14427,5.7,16.6,14.6,10.7,11.6,22.1,18.7
"Olympia-Lacey-Tumwater, WA Metro Area",310M500US36500,36500,279711,16313,44042,43153,40260,34728,54285,46930,5.8,15.7,15.4,14.4,12.4,19.4,16.8
"Omaha-Council Bluffs, NE-IA Metro Area",310M500US36540,36540,931779,66883,172581,148261,135197,112592,171569,124696,7.2,18.5,15.9,14.5,12.1,18.4,13.4
"Oxford, MS Micro Area",310M500US37060,37060,53590,2849,7028,16507,6461,6089,8151,6505,5.3,13.1,30.8,12.1,11.4,15.2,12.1
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",310M500US37100,37100,847263,50525,146262,138858,107076,108267,168647,127628,6.0,17.3,16.4,12.6,12.8,19.9,15.1
"Ozark, AL Micro Area",310M500US37120,37120,49277,3231,8154,8075,6660,5648,9428,8081,6.6,16.5,16.4,13.5,11.5,19.1,16.4
"Paducah, KY-IL Micro Area",310M500US37140,37140,96754,5778,15568,12605,10974,12140,20468,19221,6.0,16.1,13.0,11.3,12.5,21.2,19.9
"Pahrump, NV Micro Area",310M500US37220,37220,44380,2020,5576,4541,3926,4504,10640,13173,4.6,12.6,10.2,8.8,10.1,24.0,29.7
"Palatka, FL Micro Area",310M500US37260,37260,73252,4180,11530,9616,7817,7374,16101,16634,5.7,15.7,13.1,10.7,10.1,22.0,22.7
"Palestine, TX Micro Area",310M500US37300,37300,57810,3045,8203,8939,9699,8668,10978,8278,5.3,14.2,15.5,16.8,15.0,19.0,14.3
"Palm Bay-Melbourne-Titusville, FL Metro Area",310M500US37340,37340,585507,27316,80437,76684,63180,63869,136860,137161,4.7,13.7,13.1,10.8,10.9,23.4,23.4
"Pampa, TX Micro Area",310M500US37420,37420,23215,1637,4315,3280,3396,2845,3990,3752,7.1,18.6,14.1,14.6,12.3,17.2,16.2
"Panama City, FL Metro Area",310M500US37460,37460,182161,11172,27777,28124,24583,21318,38139,31048,6.1,15.2,15.4,13.5,11.7,20.9,17.0
"Paragould, AR Micro Area",310M500US37500,37500,44937,2914,8107,6919,5688,5850,8383,7076,6.5,18.0,15.4,12.7,13.0,18.7,15.7
"Paris, TN Micro Area",310M500US37540,37540,32284,1713,4982,3967,3166,4007,7100,7349,5.3,15.4,12.3,9.8,12.4,22.0,22.8
"Paris, TX Micro Area",310M500US37580,37580,49611,3316,8509,7299,5381,5967,9756,9383,6.7,17.2,14.7,10.8,12.0,19.7,18.9
"Parkersburg-Vienna, WV Metro Area",310M500US37620,37620,90758,5127,14049,12017,10295,11509,19680,18081,5.6,15.5,13.2,11.3,12.7,21.7,19.9
"Parsons, KS Micro Area",310M500US37660,37660,20119,1324,3462,2735,2333,2155,4393,3717,6.6,17.2,13.6,11.6,10.7,21.8,18.5
"Payson, AZ Micro Area",310M500US37740,37740,53546,2935,7797,6231,4616,5099,11669,15199,5.5,14.6,11.6,8.6,9.5,21.8,28.4
"Pearsall, TX Micro Area",310M500US37770,37770,19871,1295,3447,4783,2888,2204,2786,2468,6.5,17.3,24.1,14.5,11.1,14.0,12.4
"Pecos, TX Micro Area",310M500US37780,37780,15590,921,2539,2821,2778,2235,2310,1986,5.9,16.3,18.1,17.8,14.3,14.8,12.7
"Pella, IA Micro Area",310M500US37800,37800,33172,1869,5875,5259,3872,3865,6627,5805,5.6,17.7,15.9,11.7,11.7,20.0,17.5
"Pensacola-Ferry Pass-Brent, FL Metro Area",310M500US37860,37860,488246,28845,75368,87379,62183,57295,97658,79518,5.9,15.4,17.9,12.7,11.7,20.0,16.3
"Peoria, IL Metro Area",310M500US37900,37900,406883,25457,68333,59037,51245,49691,81050,72070,6.3,16.8,14.5,12.6,12.2,19.9,17.7
"Peru, IN Micro Area",310M500US37940,37940,35815,1877,5800,5490,4714,4578,7158,6198,5.2,16.2,15.3,13.2,12.8,20.0,17.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",310M500US37980,37980,6079130,356071,973061,995823,804850,755272,1243710,950343,5.9,16.0,16.4,13.2,12.4,20.5,15.6
"Phoenix-Mesa-Chandler, AZ Metro Area",310M500US38060,38060,4761603,303433,842016,792622,649522,608636,837586,727788,6.4,17.7,16.6,13.6,12.8,17.6,15.3
"Picayune, MS Micro Area",310M500US38100,38100,55219,3082,9332,8519,6059,6723,11340,10164,5.6,16.9,15.4,11.0,12.2,20.5,18.4
"Pierre, SD Micro Area",310M500US38180,38180,20625,1397,3393,2795,2959,2232,4237,3612,6.8,16.5,13.6,14.3,10.8,20.5,17.5
"Pine Bluff, AR Metro Area",310M500US38220,38220,90865,5145,13987,15287,11748,10894,18485,15319,5.7,15.4,16.8,12.9,12.0,20.3,16.9
"Pinehurst-Southern Pines, NC Micro Area",310M500US38240,38240,97294,5650,15117,11481,11415,11306,19147,23178,5.8,15.5,11.8,11.7,11.6,19.7,23.8
"Pittsburg, KS Micro Area",310M500US38260,38260,38968,2331,6195,9579,4472,3866,6605,5920,6.0,15.9,24.6,11.5,9.9,16.9,15.2
"Pittsburgh, PA Metro Area",310M500US38300,38300,2331447,118500,324916,354072,289632,274946,513432,455949,5.1,13.9,15.2,12.4,11.8,22.0,19.6
"Pittsfield, MA Metro Area",310M500US38340,38340,126425,5351,16295,18699,13259,14190,30011,28620,4.2,12.9,14.8,10.5,11.2,23.7,22.6
"Plainview, TX Micro Area",310M500US38380,38380,33826,2298,6910,6061,4229,4156,5690,4482,6.8,20.4,17.9,12.5,12.3,16.8,13.3
"Platteville, WI Micro Area",310M500US38420,38420,51733,2771,7902,12087,5374,5098,9770,8731,5.4,15.3,23.4,10.4,9.9,18.9,16.9
"Plattsburgh, NY Micro Area",310M500US38460,38460,80583,3918,10610,16109,10161,9211,17356,13218,4.9,13.2,20.0,12.6,11.4,21.5,16.4
"Plymouth, IN Micro Area",310M500US38500,38500,46461,2947,8832,6583,4858,5926,9287,8028,6.3,19.0,14.2,10.5,12.8,20.0,17.3
"Pocatello, ID Metro Area",310M500US38540,38540,93436,6786,18126,16430,13243,10057,15774,13020,7.3,19.4,17.6,14.2,10.8,16.9,13.9
"Point Pleasant, WV-OH Micro Area",310M500US38580,38580,56908,3410,9245,7645,6442,6830,12301,11035,6.0,16.2,13.4,11.3,12.0,21.6,19.4
"Ponca City, OK Micro Area",310M500US38620,38620,44402,2961,8131,6529,5517,4502,8392,8370,6.7,18.3,14.7,12.4,10.1,18.9,18.9
"Ponce, PR Metro Area",310M500US38660,38660,226117,10999,35756,38343,26465,26431,43974,44149,4.9,15.8,17.0,11.7,11.7,19.4,19.5
"Pontiac, IL Micro Area",310M500US38700,38700,36040,1955,5807,5012,4482,4029,7937,6818,5.4,16.1,13.9,12.4,11.2,22.0,18.9
"Poplar Bluff, MO Micro Area",310M500US38740,38740,56223,3482,9673,7729,6299,6897,11449,10694,6.2,17.2,13.7,11.2,12.3,20.4,19.0
"Portales, NM Micro Area",310M500US38780,38780,18888,1328,3278,4835,2425,1478,2922,2622,7.0,17.4,25.6,12.8,7.8,15.5,13.9
"Port Angeles, WA Micro Area",310M500US38820,38820,75392,3545,9436,8757,7695,7474,16770,21715,4.7,12.5,11.6,10.2,9.9,22.2,28.8
"Portland-South Portland, ME Metro Area",310M500US38860,38860,532075,25420,75169,76894,64653,68345,121108,100486,4.8,14.1,14.5,12.2,12.8,22.8,18.9
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",310M500US38900,38900,2445761,140523,390170,382501,379757,337452,461473,353885,5.7,16.0,15.6,15.5,13.8,18.9,14.5
"Port Lavaca, TX Micro Area",310M500US38920,38920,21668,1446,3909,3279,2680,2501,4084,3769,6.7,18.0,15.1,12.4,11.5,18.8,17.4
"Port St. Lucie, FL Metro Area",310M500US38940,38940,472012,22718,66241,58702,48565,53189,99563,123034,4.8,14.0,12.4,10.3,11.3,21.1,26.1
"Portsmouth, OH Micro Area",310M500US39020,39020,76040,4384,12206,11765,9810,8949,15400,13526,5.8,16.1,15.5,12.9,11.8,20.3,17.8
"Pottsville, PA Micro Area",310M500US39060,39060,142674,6992,21216,18523,17255,18645,31482,28561,4.9,14.9,13.0,12.1,13.1,22.1,20.0
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",310M500US39100,39100,673839,38690,114798,112057,77530,85859,142778,102127,5.7,17.0,16.6,11.5,12.7,21.2,15.2
"Prescott Valley-Prescott, AZ Metro Area",310M500US39150,39150,228067,9589,28140,25780,19757,21607,53336,69858,4.2,12.3,11.3,8.7,9.5,23.4,30.6
"Price, UT Micro Area",310M500US39220,39220,20308,1220,4100,3090,2410,2374,3705,3409,6.0,20.2,15.2,11.9,11.7,18.2,16.8
"Prineville, OR Micro Area",310M500US39260,39260,23011,1175,3384,2661,2416,2516,5146,5713,5.1,14.7,11.6,10.5,10.9,22.4,24.8
"Providence-Warwick, RI-MA Metro Area",310M500US39300,39300,1618268,84289,239656,276743,202505,200892,342996,271187,5.2,14.8,17.1,12.5,12.4,21.2,16.8
"Provo-Orem, UT Metro Area",310M500US39340,39340,616791,58931,149523,151160,80480,64725,64855,47117,9.6,24.2,24.5,13.0,10.5,10.5,7.6
"Pueblo, CO Metro Area",310M500US39380,39380,165982,9604,28025,25779,20960,18865,32551,30198,5.8,16.9,15.5,12.6,11.4,19.6,18.2
"Pullman, WA Micro Area",310M500US39420,39420,49231,2090,5360,21724,5049,3751,6256,5001,4.2,10.9,44.1,10.3,7.6,12.7,10.2
"Punta Gorda, FL Metro Area",310M500US39460,39460,181067,5413,16803,16623,12705,15886,41902,71735,3.0,9.3,9.2,7.0,8.8,23.1,39.6
"Quincy, IL-MO Micro Area",310M500US39500,39500,76040,4633,12523,10972,8756,8703,15437,15016,6.1,16.5,14.4,11.5,11.4,20.3,19.7
"Racine, WI Metro Area",310M500US39540,39540,195602,11919,33675,27989,23734,24122,42579,31584,6.1,17.2,14.3,12.1,12.3,21.8,16.1
"Raleigh-Cary, NC Metro Area",310M500US39580,39580,1332311,82888,240807,212888,193743,198262,246838,156885,6.2,18.1,16.0,14.5,14.9,18.5,11.8
"Rapid City, SD Metro Area",310M500US39660,39660,138402,8955,23244,21829,17565,15495,27925,23389,6.5,16.8,15.8,12.7,11.2,20.2,16.9
"Raymondville, TX Micro Area",310M500US39700,39700,21588,1388,3806,4848,3115,2258,3219,2954,6.4,17.6,22.5,14.4,10.5,14.9,13.7
"Reading, PA Metro Area",310M500US39740,39740,418025,24201,69837,66818,48516,51646,86279,70728,5.8,16.7,16.0,11.6,12.4,20.6,16.9
"Red Bluff, CA Micro Area",310M500US39780,39780,63912,3839,11419,8862,7076,7255,13154,12307,6.0,17.9,13.9,11.1,11.4,20.6,19.3
"Redding, CA Metro Area",310M500US39820,39820,179212,10544,28135,25709,22342,18444,37766,36272,5.9,15.7,14.3,12.5,10.3,21.1,20.2
"Red Wing, MN Micro Area",310M500US39860,39860,46246,2622,7738,5745,5745,5143,10473,8780,5.7,16.7,12.4,12.4,11.1,22.6,19.0
"Reno, NV Metro Area",310M500US39900,39900,460924,27452,72985,77152,61326,56671,91306,74032,6.0,15.8,16.7,13.3,12.3,19.8,16.1
"Rexburg, ID Micro Area",310M500US39940,39940,52120,4677,9434,18052,5151,4140,5862,4804,9.0,18.1,34.6,9.9,7.9,11.2,9.2
"Richmond, IN Micro Area",310M500US39980,39980,66342,3858,10818,9920,7933,7559,13787,12467,5.8,16.3,15.0,12.0,11.4,20.8,18.8
"Rockford, IL Metro Area",310M500US40420,40420,338356,20991,59613,49854,40675,42194,68243,56786,6.2,17.6,14.7,12.0,12.5,20.2,16.8
"Rockingham, NC Micro Area",310M500US40460,40460,44997,2709,7548,7073,4847,5779,9194,7847,6.0,16.8,15.7,10.8,12.8,20.4,17.4
"Rockport, TX Micro Area",310M500US40530,40530,24462,1136,3453,2971,2119,2412,5660,6711,4.6,14.1,12.1,8.7,9.9,23.1,27.4
"Rock Springs, WY Micro Area",310M500US40540,40540,43521,3015,8532,6733,6638,5308,8323,4972,6.9,19.6,15.5,15.3,12.2,19.1,11.4
"Rocky Mount, NC Metro Area",310M500US40580,40580,146678,8299,24595,21689,15520,18225,31638,26712,5.7,16.8,14.8,10.6,12.4,21.6,18.2
"Rolla, MO Micro Area",310M500US40620,40620,44630,2518,6892,10175,5132,4483,8391,7039,5.6,15.4,22.8,11.5,10.0,18.8,15.8
"Rome, GA Metro Area",310M500US40660,40660,97369,5868,16812,16471,11400,12262,18496,16060,6.0,17.3,16.9,11.7,12.6,19.0,16.5
"Roseburg, OR Micro Area",310M500US40700,40700,109114,5647,15515,13440,11779,11511,23672,27550,5.2,14.2,12.3,10.8,10.5,21.7,25.2
"Roswell, NM Micro Area",310M500US40740,40740,65144,4419,13020,10504,8146,7007,11948,10100,6.8,20.0,16.1,12.5,10.8,18.3,15.5
"Ruidoso, NM Micro Area",310M500US40760,40760,19461,914,2667,2071,1872,1854,4608,5475,4.7,13.7,10.6,9.6,9.5,23.7,28.1
"Russellville, AR Micro Area",310M500US40780,40780,85225,5355,14482,16143,9911,9484,16373,13477,6.3,17.0,18.9,11.6,11.1,19.2,15.8
"Ruston, LA Micro Area",310M500US40820,40820,47246,2709,6800,15051,5603,3866,6888,6329,5.7,14.4,31.9,11.9,8.2,14.6,13.4
