,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
484,"Ponca City, OK Micro Area",310M500US38620,44402,22077,22325,4206,3925,8131,3374,3155,6529,2797,2720,5517,2354,2148,4502,4145,4247,8392,3672,4698,8370,9.5,8.8,18.3,7.6,7.1,14.7,6.3,6.1,12.4,5.3,4.8,10.1,9.3,9.6,18.9,8.3,10.6,18.9,Ponca City, OK,Micro Area,38620,38620
485,"Ponce, PR Metro Area",310M500US38660,226117,108821,117296,18149,17607,35756,19845,18498,38343,12634,13831,26465,12887,13544,26431,20140,23834,43974,19319,24830,44149,8.0,7.8,15.8,8.8,8.2,17.0,5.6,6.1,11.7,5.7,6.0,11.7,8.9,10.5,19.4,8.5,11.0,19.5,Ponce, PR,Metro Area,38660,38660
486,"Pontiac, IL Micro Area",310M500US38700,36040,18429,17611,3091,2716,5807,2717,2295,5012,2480,2002,4482,2139,1890,4029,4051,3886,7937,2979,3839,6818,8.6,7.5,16.1,7.5,6.4,13.9,6.9,5.6,12.4,5.9,5.2,11.2,11.2,10.8,22.0,8.3,10.7,18.9,Pontiac, IL,Micro Area,38700,38700
487,"Poplar Bluff, MO Micro Area",310M500US38740,56223,27614,28609,5035,4638,9673,3883,3846,7729,3121,3178,6299,3479,3418,6897,5521,5928,11449,4780,5914,10694,9.0,8.2,17.2,6.9,6.8,13.7,5.6,5.7,11.2,6.2,6.1,12.3,9.8,10.5,20.4,8.5,10.5,19.0,Poplar Bluff, MO,Micro Area,38740,38740
488,"Portales, NM Micro Area",310M500US38780,18888,9401,9487,1688,1590,3278,2461,2374,4835,1311,1114,2425,691,787,1478,1369,1553,2922,1215,1407,2622,8.9,8.4,17.4,13.0,12.6,25.6,6.9,5.9,12.8,3.7,4.2,7.8,7.2,8.2,15.5,6.4,7.4,13.9,Portales, NM,Micro Area,38780,38780
489,"Port Angeles, WA Micro Area",310M500US38820,75392,37128,38264,4682,4754,9436,4734,4023,8757,4069,3626,7695,3759,3715,7474,7848,8922,16770,10143,11572,21715,6.2,6.3,12.5,6.3,5.3,11.6,5.4,4.8,10.2,5.0,4.9,9.9,10.4,11.8,22.2,13.5,15.3,28.8,Port Angeles, WA,Micro Area,38820,38820
490,"Portland-South Portland, ME Metro Area",310M500US38860,532075,258784,273291,38600,36569,75169,38611,38283,76894,32075,32578,64653,33632,34713,68345,58251,62857,121108,44486,56000,100486,7.3,6.9,14.1,7.3,7.2,14.5,6.0,6.1,12.2,6.3,6.5,12.8,10.9,11.8,22.8,8.4,10.5,18.9,Portland-South Portland, ME,Metro Area,38860,38860
491,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",310M500US38900,2445761,1210509,1235252,199512,190658,390170,193174,189327,382501,189213,190544,379757,171494,165958,337452,226541,234932,461473,158223,195662,353885,8.2,7.8,16.0,7.9,7.7,15.6,7.7,7.8,15.5,7.0,6.8,13.8,9.3,9.6,18.9,6.5,8.0,14.5,Portland-Vancouver-Hillsboro, OR,WA Metro Area,38900,38900
492,"Port Lavaca, TX Micro Area",310M500US38920,21668,11082,10586,2018,1891,3909,1747,1532,3279,1354,1326,2680,1251,1250,2501,2172,1912,4084,1803,1966,3769,9.3,8.7,18.0,8.1,7.1,15.1,6.2,6.1,12.4,5.8,5.8,11.5,10.0,8.8,18.8,8.3,9.1,17.4,Port Lavaca, TX,Micro Area,38920,38920
493,"Port St. Lucie, FL Metro Area",310M500US38940,472012,231434,240578,34064,32177,66241,30621,28081,58702,23885,24680,48565,26400,26789,53189,47603,51960,99563,57165,65869,123034,7.2,6.8,14.0,6.5,5.9,12.4,5.1,5.2,10.3,5.6,5.7,11.3,10.1,11.0,21.1,12.1,14.0,26.1,Port St. Lucie, FL,Metro Area,38940,38940
494,"Portsmouth, OH Micro Area",310M500US39020,76040,37322,38718,6278,5928,12206,6235,5530,11765,5071,4739,9810,4421,4528,8949,7406,7994,15400,5806,7720,13526,8.3,7.8,16.1,8.2,7.3,15.5,6.7,6.2,12.9,5.8,6.0,11.8,9.7,10.5,20.3,7.6,10.2,17.8,Portsmouth, OH,Micro Area,39020,39020
495,"Pottsville, PA Micro Area",310M500US39060,142674,72953,69721,10950,10266,21216,10216,8307,18523,9494,7761,17255,9993,8652,18645,16071,15411,31482,12635,15926,28561,7.7,7.2,14.9,7.2,5.8,13.0,6.7,5.4,12.1,7.0,6.1,13.1,11.3,10.8,22.1,8.9,11.2,20.0,Pottsville, PA,Micro Area,39060,39060
496,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",310M500US39100,673839,336514,337325,58919,55879,114798,59646,52411,112057,39050,38480,77530,42997,42862,85859,70753,72025,142778,45312,56815,102127,8.7,8.3,17.0,8.9,7.8,16.6,5.8,5.7,11.5,6.4,6.4,12.7,10.5,10.7,21.2,6.7,8.4,15.2,Poughkeepsie-Newburgh-Middletown, NY,Metro Area,39100,39100
497,"Prescott Valley-Prescott, AZ Metro Area",310M500US39150,228067,111450,116617,14333,13807,28140,13720,12060,25780,9899,9858,19757,10655,10952,21607,24481,28855,53336,33356,36502,69858,6.3,6.1,12.3,6.0,5.3,11.3,4.3,4.3,8.7,4.7,4.8,9.5,10.7,12.7,23.4,14.6,16.0,30.6,Prescott Valley-Prescott, AZ,Metro Area,39150,39150
498,"Price, UT Micro Area",310M500US39220,20308,10170,10138,2151,1949,4100,1563,1527,3090,1181,1229,2410,1201,1173,2374,1829,1876,3705,1599,1810,3409,10.6,9.6,20.2,7.7,7.5,15.2,5.8,6.1,11.9,5.9,5.8,11.7,9.0,9.2,18.2,7.9,8.9,16.8,Price, UT,Micro Area,39220,39220
499,"Prineville, OR Micro Area",310M500US39260,23011,11347,11664,1690,1694,3384,1306,1355,2661,1155,1261,2416,1237,1279,2516,2517,2629,5146,2832,2881,5713,7.3,7.4,14.7,5.7,5.9,11.6,5.0,5.5,10.5,5.4,5.6,10.9,10.9,11.4,22.4,12.3,12.5,24.8,Prineville, OR,Micro Area,39260,39260
500,"Providence-Warwick, RI-MA Metro Area",310M500US39300,1618268,785383,832885,122430,117226,239656,139299,137444,276743,100889,101616,202505,98028,102864,200892,165121,177875,342996,116539,154648,271187,7.6,7.2,14.8,8.6,8.5,17.1,6.2,6.3,12.5,6.1,6.4,12.4,10.2,11.0,21.2,7.2,9.6,16.8,Providence-Warwick, RI,MA Metro Area,39300,39300
501,"Provo-Orem, UT Metro Area",310M500US39340,616791,311659,305132,76879,72644,149523,77290,73870,151160,40575,39905,80480,32698,32027,64725,32140,32715,64855,21611,25506,47117,12.5,11.8,24.2,12.5,12.0,24.5,6.6,6.5,13.0,5.3,5.2,10.5,5.2,5.3,10.5,3.5,4.1,7.6,Provo-Orem, UT,Metro Area,39340,39340
502,"Pueblo, CO Metro Area",310M500US39380,165982,81738,84244,14386,13639,28025,13306,12473,25779,10196,10764,20960,9666,9199,18865,15668,16883,32551,13636,16562,30198,8.7,8.2,16.9,8.0,7.5,15.5,6.1,6.5,12.6,5.8,5.5,11.4,9.4,10.2,19.6,8.2,10.0,18.2,Pueblo, CO,Metro Area,39380,39380
503,"Pullman, WA Micro Area",310M500US39420,49231,25175,24056,2887,2473,5360,11178,10546,21724,2727,2322,5049,1841,1910,3751,3111,3145,6256,2342,2659,5001,5.9,5.0,10.9,22.7,21.4,44.1,5.5,4.7,10.3,3.7,3.9,7.6,6.3,6.4,12.7,4.8,5.4,10.2,Pullman, WA,Micro Area,39420,39420
504,"Punta Gorda, FL Metro Area",310M500US39460,181067,88465,92602,8667,8136,16803,8951,7672,16623,6454,6251,12705,7843,8043,15886,19260,22642,41902,34370,37365,71735,4.8,4.5,9.3,4.9,4.2,9.2,3.6,3.5,7.0,4.3,4.4,8.8,10.6,12.5,23.1,19.0,20.6,39.6,Punta Gorda, FL,Metro Area,39460,39460
505,"Quincy, IL-MO Micro Area",310M500US39500,76040,37320,38720,6430,6093,12523,5538,5434,10972,4391,4365,8756,4217,4486,8703,7679,7758,15437,6700,8316,15016,8.5,8.0,16.5,7.3,7.1,14.4,5.8,5.7,11.5,5.5,5.9,11.4,10.1,10.2,20.3,8.8,10.9,19.7,Quincy, IL,MO Micro Area,39500,39500
506,"Racine, WI Metro Area",310M500US39540,195602,96899,98703,17276,16399,33675,14605,13384,27989,12149,11585,23734,11675,12447,24122,20944,21635,42579,14077,17507,31584,8.8,8.4,17.2,7.5,6.8,14.3,6.2,5.9,12.1,6.0,6.4,12.3,10.7,11.1,21.8,7.2,9.0,16.1,Racine, WI,Metro Area,39540,39540
507,"Raleigh-Cary, NC Metro Area",310M500US39580,1332311,649577,682734,122366,118441,240807,106554,106334,212888,94736,99007,193743,96340,101922,198262,119250,127588,246838,68042,88843,156885,9.2,8.9,18.1,8.0,8.0,16.0,7.1,7.4,14.5,7.2,7.7,14.9,9.0,9.6,18.5,5.1,6.7,11.8,Raleigh-Cary, NC,Metro Area,39580,39580
508,"Rapid City, SD Metro Area",310M500US39660,138402,70204,68198,12038,11206,23244,11969,9860,21829,8884,8681,17565,7950,7545,15495,13754,14171,27925,10968,12421,23389,8.7,8.1,16.8,8.6,7.1,15.8,6.4,6.3,12.7,5.7,5.5,11.2,9.9,10.2,20.2,7.9,9.0,16.9,Rapid City, SD,Metro Area,39660,39660
509,"Raymondville, TX Micro Area",310M500US39700,21588,11663,9925,1951,1855,3806,2936,1912,4848,1909,1206,3115,1272,986,2258,1578,1641,3219,1324,1630,2954,9.0,8.6,17.6,13.6,8.9,22.5,8.8,5.6,14.4,5.9,4.6,10.5,7.3,7.6,14.9,6.1,7.6,13.7,Raymondville, TX,Micro Area,39700,39700
510,"Reading, PA Metro Area",310M500US39740,418025,205638,212387,35719,34118,69837,34063,32755,66818,24315,24201,48516,25177,26469,51646,42606,43673,86279,31375,39353,70728,8.5,8.2,16.7,8.1,7.8,16.0,5.8,5.8,11.6,6.0,6.3,12.4,10.2,10.4,20.6,7.5,9.4,16.9,Reading, PA,Metro Area,39740,39740
511,"Red Bluff, CA Micro Area",310M500US39780,63912,31773,32139,5801,5618,11419,4635,4227,8862,3735,3341,7076,3532,3723,7255,6344,6810,13154,5788,6519,12307,9.1,8.8,17.9,7.3,6.6,13.9,5.8,5.2,11.1,5.5,5.8,11.4,9.9,10.7,20.6,9.1,10.2,19.3,Red Bluff, CA,Micro Area,39780,39780
512,"Redding, CA Metro Area",310M500US39820,179212,88047,91165,14395,13740,28135,13290,12419,25709,11334,11008,22342,8854,9590,18444,18072,19694,37766,16679,19593,36272,8.0,7.7,15.7,7.4,6.9,14.3,6.3,6.1,12.5,4.9,5.4,10.3,10.1,11.0,21.1,9.3,10.9,20.2,Redding, CA,Metro Area,39820,39820
513,"Red Wing, MN Micro Area",310M500US39860,46246,22975,23271,3975,3763,7738,3030,2715,5745,2923,2822,5745,2519,2624,5143,5186,5287,10473,4006,4774,8780,8.6,8.1,16.7,6.6,5.9,12.4,6.3,6.1,12.4,5.4,5.7,11.1,11.2,11.4,22.6,8.7,10.3,19.0,Red Wing, MN,Micro Area,39860,39860
514,"Reno, NV Metro Area",310M500US39900,460924,232199,228725,37575,35410,72985,39470,37682,77152,31560,29766,61326,28746,27925,56671,45375,45931,91306,35452,38580,74032,8.2,7.7,15.8,8.6,8.2,16.7,6.8,6.5,13.3,6.2,6.1,12.3,9.8,10.0,19.8,7.7,8.4,16.1,Reno, NV,Metro Area,39900,39900
515,"Rexburg, ID Micro Area",310M500US39940,52120,26633,25487,4888,4546,9434,9278,8774,18052,2496,2655,5151,2274,1866,4140,2941,2921,5862,2310,2494,4804,9.4,8.7,18.1,17.8,16.8,34.6,4.8,5.1,9.9,4.4,3.6,7.9,5.6,5.6,11.2,4.4,4.8,9.2,Rexburg, ID,Micro Area,39940,39940
516,"Richmond, IN Micro Area",310M500US39980,66342,32240,34102,5578,5240,10818,5036,4884,9920,3877,4056,7933,3781,3778,7559,6770,7017,13787,5247,7220,12467,8.4,7.9,16.3,7.6,7.4,15.0,5.8,6.1,12.0,5.7,5.7,11.4,10.2,10.6,20.8,7.9,10.9,18.8,Richmond, IN,Micro Area,39980,39980
517,"Rockford, IL Metro Area",310M500US40420,338356,165831,172525,30584,29029,59613,24998,24856,49854,19974,20701,40675,20743,21451,42194,33629,34614,68243,25152,31634,56786,9.0,8.6,17.6,7.4,7.3,14.7,5.9,6.1,12.0,6.1,6.3,12.5,9.9,10.2,20.2,7.4,9.3,16.8,Rockford, IL,Metro Area,40420,40420
518,"Rockingham, NC Micro Area",310M500US40460,44997,22048,22949,3946,3602,7548,3739,3334,7073,2258,2589,4847,2848,2931,5779,4529,4665,9194,3408,4439,7847,8.8,8.0,16.8,8.3,7.4,15.7,5.0,5.8,10.8,6.3,6.5,12.8,10.1,10.4,20.4,7.6,9.9,17.4,Rockingham, NC,Micro Area,40460,40460
519,"Rockport, TX Micro Area",310M500US40530,24462,11904,12558,1645,1808,3453,1563,1408,2971,923,1196,2119,1286,1126,2412,2692,2968,5660,3240,3471,6711,6.7,7.4,14.1,6.4,5.8,12.1,3.8,4.9,8.7,5.3,4.6,9.9,11.0,12.1,23.1,13.2,14.2,27.4,Rockport, TX,Micro Area,40530,40530
520,"Rock Springs, WY Micro Area",310M500US40540,43521,22471,21050,4334,4198,8532,3581,3152,6733,3501,3137,6638,2706,2602,5308,4385,3938,8323,2374,2598,4972,10.0,9.6,19.6,8.2,7.2,15.5,8.0,7.2,15.3,6.2,6.0,12.2,10.1,9.0,19.1,5.5,6.0,11.4,Rock Springs, WY,Micro Area,40540,40540
521,"Rocky Mount, NC Metro Area",310M500US40580,146678,69495,77183,12561,12034,24595,10678,11011,21689,7193,8327,15520,8731,9494,18225,14768,16870,31638,11313,15399,26712,8.6,8.2,16.8,7.3,7.5,14.8,4.9,5.7,10.6,6.0,6.5,12.4,10.1,11.5,21.6,7.7,10.5,18.2,Rocky Mount, NC,Metro Area,40580,40580
522,"Rolla, MO Micro Area",310M500US40620,44630,23373,21257,3626,3266,6892,6374,3801,10175,2616,2516,5132,2233,2250,4483,4054,4337,8391,3212,3827,7039,8.1,7.3,15.4,14.3,8.5,22.8,5.9,5.6,11.5,5.0,5.0,10.0,9.1,9.7,18.8,7.2,8.6,15.8,Rolla, MO,Micro Area,40620,40620
523,"Rome, GA Metro Area",310M500US40660,97369,47109,50260,8641,8171,16812,7933,8538,16471,5607,5793,11400,6143,6119,12262,8797,9699,18496,6983,9077,16060,8.9,8.4,17.3,8.1,8.8,16.9,5.8,5.9,11.7,6.3,6.3,12.6,9.0,10.0,19.0,7.2,9.3,16.5,Rome, GA,Metro Area,40660,40660
524,"Roseburg, OR Micro Area",310M500US40700,109114,53868,55246,8009,7506,15515,6885,6555,13440,5879,5900,11779,5747,5764,11511,11354,12318,23672,13104,14446,27550,7.3,6.9,14.2,6.3,6.0,12.3,5.4,5.4,10.8,5.3,5.3,10.5,10.4,11.3,21.7,12.0,13.2,25.2,Roseburg, OR,Micro Area,40700,40700
525,"Roswell, NM Micro Area",310M500US40740,65144,32537,32607,6800,6220,13020,5529,4975,10504,4009,4137,8146,3523,3484,7007,5770,6178,11948,4603,5497,10100,10.4,9.5,20.0,8.5,7.6,16.1,6.2,6.4,12.5,5.4,5.3,10.8,8.9,9.5,18.3,7.1,8.4,15.5,Roswell, NM,Micro Area,40740,40740
526,"Ruidoso, NM Micro Area",310M500US40760,19461,9554,9907,1382,1285,2667,1091,980,2071,940,932,1872,877,977,1854,2142,2466,4608,2634,2841,5475,7.1,6.6,13.7,5.6,5.0,10.6,4.8,4.8,9.6,4.5,5.0,9.5,11.0,12.7,23.7,13.5,14.6,28.1,Ruidoso, NM,Micro Area,40760,40760
527,"Russellville, AR Micro Area",310M500US40780,85225,42085,43140,7278,7204,14482,8128,8015,16143,4883,5028,9911,4801,4683,9484,8245,8128,16373,5998,7479,13477,8.5,8.5,17.0,9.5,9.4,18.9,5.7,5.9,11.6,5.6,5.5,11.1,9.7,9.5,19.2,7.0,8.8,15.8,Russellville, AR,Micro Area,40780,40780
528,"Ruston, LA Micro Area",310M500US40820,47246,22972,24274,3387,3413,6800,7650,7401,15051,2799,2804,5603,1853,2013,3866,3185,3703,6888,2671,3658,6329,7.2,7.2,14.4,16.2,15.7,31.9,5.9,5.9,11.9,3.9,4.3,8.2,6.7,7.8,14.6,5.7,7.7,13.4,Ruston, LA,Micro Area,40820,40820
529,"Rutland, VT Micro Area",310M500US40860,58892,28933,29959,4021,3895,7916,4534,4213,8747,3008,3074,6082,3356,3294,6650,6984,7346,14330,5728,6819,12547,6.8,6.6,13.4,7.7,7.2,14.9,5.1,5.2,10.3,5.7,5.6,11.3,11.9,12.5,24.3,9.7,11.6,21.3,Rutland, VT,Micro Area,40860,40860
530,"Sacramento-Roseville-Folsom, CA Metro Area",310M500US40900,2315980,1132519,1183461,200441,192436,392877,195082,192121,387203,157979,159442,317421,142077,146442,288519,211586,229462,441048,153852,194482,348334,8.7,8.3,17.0,8.4,8.3,16.7,6.8,6.9,13.7,6.1,6.3,12.5,9.1,9.9,19.0,6.6,8.4,15.0,Sacramento-Roseville-Folsom, CA,Metro Area,40900,40900
531,"Safford, AZ Micro Area",310M500US40940,37996,20325,17671,3799,3719,7518,4006,2990,6996,2992,2021,5013,2695,2018,4713,2972,2817,5789,2438,2764,5202,10.0,9.8,19.8,10.5,7.9,18.4,7.9,5.3,13.2,7.1,5.3,12.4,7.8,7.4,15.2,6.4,7.3,13.7,Safford, AZ,Micro Area,40940,40940
532,"Saginaw, MI Metro Area",310M500US40980,191821,93128,98693,15483,14824,30307,15838,15494,31332,10556,10642,21198,10766,11271,22037,19195,20928,40123,15628,20173,35801,8.1,7.7,15.8,8.3,8.1,16.3,5.5,5.5,11.1,5.6,5.9,11.5,10.0,10.9,20.9,8.1,10.5,18.7,Saginaw, MI,Metro Area,40980,40980
533,"Richmond, VA Metro Area",310M500US40060,1269530,613475,656055,102769,98676,201445,103221,105320,208541,84600,85687,170287,79214,84797,164011,122155,136813,258968,82877,109236,192113,8.1,7.8,15.9,8.1,8.3,16.4,6.7,6.7,13.4,6.2,6.7,12.9,9.6,10.8,20.4,6.5,8.6,15.1,Richmond, VA,Metro Area,40060,40060
534,"Richmond-Berea, KY Micro Area",310M500US40080,105026,51235,53791,8294,7805,16099,11749,12367,24116,5974,6238,12212,6598,6408,13006,9126,9758,18884,6514,8263,14777,7.9,7.4,15.3,11.2,11.8,23.0,5.7,5.9,11.6,6.3,6.1,12.4,8.7,9.3,18.0,6.2,7.9,14.1,Richmond-Berea, KY,Micro Area,40080,40080
535,"Rio Grande City-Roma, TX Micro Area",310M500US40100,64078,31183,32895,7366,7443,14809,6099,5802,11901,4026,3871,7897,3490,3859,7349,3922,4659,8581,3124,4072,7196,11.5,11.6,23.1,9.5,9.1,18.6,6.3,6.0,12.3,5.4,6.0,11.5,6.1,7.3,13.4,4.9,6.4,11.2,Rio Grande City-Roma, TX,Micro Area,40100,40100
536,"Riverside-San Bernardino-Ontario, CA Metro Area",310M500US40140,4560470,2270726,2289744,446535,427799,874334,416521,392808,809329,309690,303760,613450,283755,289143,572898,391164,405376,796540,264049,318487,582536,9.8,9.4,19.2,9.1,8.6,17.7,6.8,6.7,13.5,6.2,6.3,12.6,8.6,8.9,17.5,5.8,7.0,12.8,Riverside-San Bernardino-Ontario, CA,Metro Area,40140,40140
537,"Riverton, WY Micro Area",310M500US40180,39812,20034,19778,3768,3527,7295,2880,2608,5488,2461,2569,5030,2064,1982,4046,4061,4020,8081,3369,3741,7110,9.5,8.9,18.3,7.2,6.6,13.8,6.2,6.5,12.6,5.2,5.0,10.2,10.2,10.1,20.3,8.5,9.4,17.9,Riverton, WY,Micro Area,40180,40180
538,"Roanoke, VA Metro Area",310M500US40220,313009,150469,162540,23771,23323,47094,21900,23197,45097,18798,18480,37278,18587,19451,38038,32037,34974,67011,26963,34858,61821,7.6,7.5,15.0,7.0,7.4,14.4,6.0,5.9,11.9,5.9,6.2,12.2,10.2,11.2,21.4,8.6,11.1,19.8,Roanoke, VA,Metro Area,40220,40220
539,"Roanoke Rapids, NC Micro Area",310M500US40260,71136,34456,36680,5816,5102,10918,5068,4783,9851,3504,3559,7063,4124,4019,8143,7650,8580,16230,6495,8806,15301,8.2,7.2,15.3,7.1,6.7,13.8,4.9,5.0,9.9,5.8,5.6,11.4,10.8,12.1,22.8,9.1,12.4,21.5,Roanoke Rapids, NC,Micro Area,40260,40260
540,"Rochelle, IL Micro Area",310M500US40300,51025,25310,25715,4460,4355,8815,3453,3272,6725,2962,2700,5662,3199,3492,6691,5553,5558,11111,4236,5040,9276,8.7,8.5,17.3,6.8,6.4,13.2,5.8,5.3,11.1,6.3,6.8,13.1,10.9,10.9,21.8,8.3,9.9,18.2,Rochelle, IL,Micro Area,40300,40300
541,"Rochester, MN Metro Area",310M500US40340,217964,107432,110532,19703,18938,38641,15081,15400,30481,15142,14668,29810,12864,12903,25767,21280,22128,43408,15827,19363,35190,9.0,8.7,17.7,6.9,7.1,14.0,6.9,6.7,13.7,5.9,5.9,11.8,9.8,10.2,19.9,7.3,8.9,16.1,Rochester, MN,Metro Area,40340,40340
542,"Rochester, NY Metro Area",310M500US40380,1072877,521636,551241,83922,80834,164756,91207,89709,180916,64159,66290,130449,60580,64135,124715,110194,117624,227818,81931,104308,186239,7.8,7.5,15.4,8.5,8.4,16.9,6.0,6.2,12.2,5.6,6.0,11.6,10.3,11.0,21.2,7.6,9.7,17.4,Rochester, NY,Metro Area,40380,40380
543,"St. Cloud, MN Metro Area",310M500US41060,198581,99834,98747,17084,16716,33800,20588,19450,40038,12615,11878,24493,11416,10834,22250,18459,17924,36383,13107,15508,28615,8.6,8.4,17.0,10.4,9.8,20.2,6.4,6.0,12.3,5.7,5.5,11.2,9.3,9.0,18.3,6.6,7.8,14.4,St. Cloud, MN,Metro Area,41060,41060
544,"St. George, UT Metro Area",310M500US41100,165811,81947,83864,17001,15917,32918,12473,12135,24608,9967,9932,19899,8216,8475,16691,11901,13916,25817,16603,18033,34636,10.3,9.6,19.9,7.5,7.3,14.8,6.0,6.0,12.0,5.0,5.1,10.1,7.2,8.4,15.6,10.0,10.9,20.9,St. George, UT,Metro Area,41100,41100
545,"St. Joseph, MO-KS Metro Area",310M500US41140,126173,65147,61026,10095,9933,20028,11250,9198,20448,9711,7117,16828,7835,7108,14943,13108,12385,25493,9143,11682,20825,8.0,7.9,15.9,8.9,7.3,16.2,7.7,5.6,13.3,6.2,5.6,11.8,10.4,9.8,20.2,7.2,9.3,16.5,St. Joseph, MO,KS Metro Area,41140,41140
546,"St. Louis, MO-IL Metro Area",310M500US41180,2805190,1360121,1445069,235312,223292,458604,214957,214745,429702,182671,189192,371863,165511,175390,340901,281815,302971,584786,194401,257560,451961,8.4,8.0,16.3,7.7,7.7,15.3,6.5,6.7,13.3,5.9,6.3,12.2,10.0,10.8,20.8,6.9,9.2,16.1,St. Louis, MO,IL Metro Area,41180,41180
547,"St. Marys, GA Micro Area",310M500US41220,53231,27495,25736,4721,4276,8997,6914,4627,11541,3906,3223,7129,2453,3096,5549,4441,4992,9433,3169,3593,6762,8.9,8.0,16.9,13.0,8.7,21.7,7.3,6.1,13.4,4.6,5.8,10.4,8.3,9.4,17.7,6.0,6.7,12.7,St. Marys, GA,Micro Area,41220,41220
548,"St. Marys, PA Micro Area",310M500US41260,30340,15319,15021,2218,2140,4358,1945,1704,3649,1563,1435,2998,1928,1863,3791,3910,3588,7498,2960,3557,6517,7.3,7.1,14.4,6.4,5.6,12.0,5.2,4.7,9.9,6.4,6.1,12.5,12.9,11.8,24.7,9.8,11.7,21.5,St. Marys, PA,Micro Area,41260,41260
549,"Salem, OH Micro Area",310M500US41400,103190,52098,51092,8089,7772,15861,7198,6390,13588,6234,5166,11400,6923,6275,13198,11703,11647,23350,9181,11286,20467,7.8,7.5,15.4,7.0,6.2,13.2,6.0,5.0,11.0,6.7,6.1,12.8,11.3,11.3,22.6,8.9,10.9,19.8,Salem, OH,Micro Area,41400,41400
550,"Salem, OR Metro Area",310M500US41420,422678,209827,212851,38943,36886,75829,36563,34854,71417,28274,26897,55171,25157,24971,50128,37085,39036,76121,29806,36856,66662,9.2,8.7,17.9,8.7,8.2,16.9,6.7,6.4,13.1,6.0,5.9,11.9,8.8,9.2,18.0,7.1,8.7,15.8,Salem, OR,Metro Area,41420,41420
551,"Salina, KS Micro Area",310M500US41460,60523,30146,30377,5279,5105,10384,4823,4131,8954,3940,3723,7663,3286,3466,6752,6117,6293,12410,4703,5866,10569,8.7,8.4,17.2,8.0,6.8,14.8,6.5,6.2,12.7,5.4,5.7,11.2,10.1,10.4,20.5,7.8,9.7,17.5,Salina, KS,Micro Area,41460,41460
552,"Salinas, CA Metro Area",310M500US41500,433410,221001,212409,42094,40272,82366,39276,35949,75225,32408,28073,60481,28334,25025,53359,36688,36548,73236,26121,31119,57240,9.7,9.3,19.0,9.1,8.3,17.4,7.5,6.5,14.0,6.5,5.8,12.3,8.5,8.4,16.9,6.0,7.2,13.2,Salinas, CA,Metro Area,41500,41500
553,"Salisbury, MD-DE Metro Area",310M500US41540,404417,196466,207951,29034,28147,57181,30225,29941,60166,20673,20993,41666,21617,21211,42828,40820,46088,86908,43459,51190,94649,7.2,7.0,14.1,7.5,7.4,14.9,5.1,5.2,10.3,5.3,5.2,10.6,10.1,11.4,21.5,10.7,12.7,23.4,Salisbury, MD,DE Metro Area,41540,41540
554,"Salt Lake City, UT Metro Area",310M500US41620,1201043,603034,598009,123750,118107,241857,109360,105519,214879,97842,92677,190519,76871,74478,151349,91527,93389,184916,56854,68807,125661,10.3,9.8,20.1,9.1,8.8,17.9,8.1,7.7,15.9,6.4,6.2,12.6,7.6,7.8,15.4,4.7,5.7,10.5,Salt Lake City, UT,Metro Area,41620,41620
555,"San Angelo, TX Metro Area",310M500US41660,120837,60223,60614,10523,10198,20721,12979,11146,24125,8336,7797,16133,6208,6490,12698,9837,10893,20730,8215,10051,18266,8.7,8.4,17.1,10.7,9.2,20.0,6.9,6.5,13.4,5.1,5.4,10.5,8.1,9.0,17.2,6.8,8.3,15.1,San Angelo, TX,Metro Area,41660,41660
556,"San Antonio-New Braunfels, TX Metro Area",310M500US41700,2468193,1220720,1247473,232436,224012,456448,225280,209686,434966,178035,175077,353112,154967,158858,313825,203905,220552,424457,139171,176342,315513,9.4,9.1,18.5,9.1,8.5,17.6,7.2,7.1,14.3,6.3,6.4,12.7,8.3,8.9,17.2,5.6,7.1,12.8,San Antonio-New Braunfels, TX,Metro Area,41700,41700
557,"San Diego-Chula Vista-Carlsbad, CA Metro Area",310M500US41740,3316073,1669515,1646558,262170,250888,513058,341149,290753,631902,253925,238279,492204,209993,208200,418193,292697,304250,596947,202085,252004,454089,7.9,7.6,15.5,10.3,8.8,19.1,7.7,7.2,14.8,6.3,6.3,12.6,8.8,9.2,18.0,6.1,7.6,13.7,San Diego-Chula Vista-Carlsbad, CA,Metro Area,41740,41740
558,"Sandpoint, ID Micro Area",310M500US41760,43611,21751,21860,3377,3211,6588,2371,2138,4509,2194,2355,4549,2387,2510,4897,5155,5427,10582,5248,5113,10361,7.7,7.4,15.1,5.4,4.9,10.3,5.0,5.4,10.4,5.5,5.8,11.2,11.8,12.4,24.3,12.0,11.7,23.8,Sandpoint, ID,Micro Area,41760,41760
