,CBSA,GEOID,total,mtotal,ftotal,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,Area,ID,CBSAFIPS
38,"Burley, ID Micro Area",310M500US15420,44395,22392,22003,5152,4834,9986,3510,3147,6657,2782,2677,5459,2388,2355,4743,3753,3734,7487,3060,3475,6535,11.6,10.9,22.5,7.9,7.1,15.0,6.3,6.0,12.3,5.4,5.3,10.7,8.5,8.4,16.9,6.9,7.8,14.7,Burley, ID,Micro Area,15420,15420
39,"Burlington, IA-IL Micro Area",310M500US15460,46195,22505,23690,3813,3749,7562,3081,2932,6013,2395,2537,4932,2574,2868,5442,5009,4943,9952,4297,5372,9669,8.3,8.1,16.4,6.7,6.3,13.0,5.2,5.5,10.7,5.6,6.2,11.8,10.8,10.7,21.5,9.3,11.6,20.9,Burlington, IA,IL Micro Area,15460,15460
40,"Burlington, NC Metro Area",310M500US15500,163324,77542,85782,13820,13210,27030,12860,14435,27295,9109,10518,19627,9937,10173,20110,15519,17070,32589,11428,15737,27165,8.5,8.1,16.5,7.9,8.8,16.7,5.6,6.4,12.0,6.1,6.2,12.3,9.5,10.5,20.0,7.0,9.6,16.6,Burlington, NC,Metro Area,15500,15500
41,"Burlington-South Burlington, VT Metro Area",310M500US15540,218784,107704,111080,15770,14653,30423,23267,22976,46243,13614,13653,27267,13059,13240,26299,21872,22918,44790,14531,18320,32851,7.2,6.7,13.9,10.6,10.5,21.1,6.2,6.2,12.5,6.0,6.1,12.0,10.0,10.5,20.5,6.6,8.4,15.0,Burlington-South Burlington, VT,Metro Area,15540,15540
42,"Butte-Silver Bow, MT Micro Area",310M500US15580,34770,17613,17157,2553,2416,4969,3199,2869,6068,2155,2123,4278,1892,1691,3583,3657,3648,7305,2996,3523,6519,7.3,6.9,14.3,9.2,8.3,17.5,6.2,6.1,12.3,5.4,4.9,10.3,10.5,10.5,21.0,8.6,10.1,18.7,Butte-Silver Bow, MT,Micro Area,15580,15580
43,"Cadillac, MI Micro Area",310M500US15620,48284,24247,24037,4182,4057,8239,3253,2955,6208,2786,2708,5494,2771,2683,5454,5264,5371,10635,4462,4792,9254,8.7,8.4,17.1,6.7,6.1,12.9,5.8,5.6,11.4,5.7,5.6,11.3,10.9,11.1,22.0,9.2,9.9,19.2,Cadillac, MI,Micro Area,15620,15620
44,"Calhoun, GA Micro Area",310M500US15660,57202,28313,28889,5615,5139,10754,4234,4262,8496,3848,3896,7744,3671,3643,7314,5626,5681,11307,3584,4663,8247,9.8,9.0,18.8,7.4,7.5,14.9,6.7,6.8,13.5,6.4,6.4,12.8,9.8,9.9,19.8,6.3,8.2,14.4,Calhoun, GA,Micro Area,15660,15660
45,"California-Lexington Park, MD Metro Area",310M500US15680,112290,56147,56143,10212,9987,20199,9453,9031,18484,7653,7626,15279,6970,7126,14096,11657,11338,22995,6581,7510,14091,9.1,8.9,18.0,8.4,8.0,16.5,6.8,6.8,13.6,6.2,6.3,12.6,10.4,10.1,20.5,5.9,6.7,12.5,California-Lexington Park, MD,Metro Area,15680,15680
46,"Cambridge, MD Micro Area",310M500US15700,32138,15177,16961,2542,2450,4992,2077,2207,4284,1583,1740,3323,1648,2078,3726,3426,3833,7259,2994,3743,6737,7.9,7.6,15.5,6.5,6.9,13.3,4.9,5.4,10.3,5.1,6.5,11.6,10.7,11.9,22.6,9.3,11.6,21.0,Cambridge, MD,Micro Area,15700,15700
47,"Cambridge, OH Micro Area",310M500US15740,39111,19534,19577,3303,3052,6355,2888,2679,5567,2325,2011,4336,2243,2426,4669,4139,4265,8404,3397,4056,7453,8.4,7.8,16.2,7.4,6.8,14.2,5.9,5.1,11.1,5.7,6.2,11.9,10.6,10.9,21.5,8.7,10.4,19.1,Cambridge, OH,Micro Area,15740,15740
