CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,Name,State,CBSAFIPS
"Clarksdale, MS Micro Area",310M200US17260,25527,7300,15004,3223,28.6,58.8,12.6,58100,Clarksdale, MS,17260
"Clarksville, TN-KY Metro Area",310M200US17300,270751,74350,170749,25652,27.5,63.1,9.5,135600,Clarksville, TN,17300
"Clearlake, CA Micro Area",310M200US17340,64209,13209,38839,12161,20.6,60.5,18.9,167900,Clearlake, CA,17340
"Cleveland, MS Micro Area",310M200US17380,33961,8628,20912,4421,25.4,61.6,13.0,84900,Cleveland, MS,17380
"Cleveland, TN Metro Area",310M200US17420,117719,26448,73109,18162,22.5,62.1,15.4,137600,Cleveland, TN,17420
"Cleveland-Elyria, OH Metro Area",310M200US17460,2067490,464817,1275097,327576,22.5,61.7,15.8,139800,Cleveland-Elyria, OH,17460
"Clewiston, FL Micro Area",310M200US17500,38360,10712,23064,4584,27.9,60.1,11.9,72400,Clewiston, FL,17500
"Clinton, IA Micro Area",310M200US17540,48663,11193,28982,8488,23.0,59.6,17.4,110100,Clinton, IA,17540
"Clovis, NM Micro Area",310M200US17580,50173,13718,30832,5623,27.3,61.5,11.2,129000,Clovis, NM,17580
"Coamo, PR Micro Area",310M200US17620,40496,10042,24837,5617,24.8,61.3,13.9,92100,Coamo, PR,17620
"Coco, PR Micro Area",310M200US17640,30506,7829,18167,4510,25.7,59.6,14.8,85500,Coco, PR,17640
"Coeur d'Alene, ID Metro Area",310M200US17660,142783,34392,86015,22376,24.1,60.2,15.7,184200,Coeur d'Alene, ID,17660
"Coffeyville, KS Micro Area",310M200US17700,34602,8190,20312,6100,23.7,58.7,17.6,72400,Coffeyville, KS,17700
"Coldwater, MI Micro Area",310M200US17740,43965,10450,26567,6948,23.8,60.4,15.8,94800,Coldwater, MI,17740
"College Station-Bryan, TX Metro Area",310M200US17780,235316,49483,163886,21947,21.0,69.6,9.3,143000,College Station-Bryan, TX,17780
"Colorado Springs, CO Metro Area",310M200US17820,669070,169835,426582,72653,25.4,63.8,10.9,215300,Colorado Springs, CO,17820
"Columbia, MO Metro Area",310M200US17860,168268,34923,116887,16458,20.8,69.5,9.8,165900,Columbia, MO,17860
"Columbia, SC Metro Area",310M200US17900,784698,180172,507726,96800,23.0,64.7,12.3,138500,Columbia, SC,17900
"Columbus, GA-AL Metro Area",310M200US17980,308363,75996,195753,36614,24.6,63.5,11.9,134700,Columbus, GA,17980
"Columbus, IN Metro Area",310M200US18020,78628,19420,47810,11398,24.7,60.8,14.5,135900,Columbus, IN,18020
"Columbus, MS Micro Area",310M200US18060,59736,14695,36904,8137,24.6,61.8,13.6,113400,Columbus, MS,18060
"Columbus, NE Micro Area",310M200US18100,32485,8553,19041,4891,26.3,58.6,15.1,122700,Columbus, NE,18100
"Columbus, OH Metro Area",310M200US18140,1948188,474752,1252829,220607,24.4,64.3,11.3,158000,Columbus, OH,18140
"Concord, NH Micro Area",310M200US18180,146880,30526,94693,21661,20.8,64.5,14.7,227300,Concord, NH,18180
"Connersville, IN Micro Area",310M200US18220,23955,5490,14274,4191,22.9,59.6,17.5,80900,Connersville, IN,18220
"Cookeville, TN Micro Area",310M200US18260,106901,23053,66465,17383,21.6,62.2,16.3,122900,Cookeville, TN,18260
"Coos Bay, OR Micro Area",310M200US18300,62678,11695,36742,14241,18.7,58.6,22.7,172100,Coos Bay, OR,18300
"Cordele, GA Micro Area",310M200US18380,23403,5939,14040,3424,25.4,60.0,14.6,89100,Cordele, GA,18380
"Corinth, MS Micro Area",310M200US18420,37279,8994,22223,6062,24.1,59.6,16.3,82100,Corinth, MS,18420
"Cornelia, GA Micro Area",310M200US18460,43342,10059,26177,7106,23.2,60.4,16.4,129800,Cornelia, GA,18460
"Corning, NY Micro Area",310M200US18500,98917,22534,59938,16445,22.8,60.6,16.6,89800,Corning, NY,18500
"Corpus Christi, TX Metro Area",310M200US18580,437528,111456,267622,58450,25.5,61.2,13.4,108500,Corpus Christi, TX,18580
"Corsicana, TX Micro Area",310M200US18620,48073,12772,27965,7336,26.6,58.2,15.3,79600,Corsicana, TX,18620
"Cortland, NY Micro Area",310M200US18660,49231,9987,32282,6962,20.3,65.6,14.1,105200,Cortland, NY,18660
"Corvallis, OR Metro Area",310M200US18700,86034,14799,59888,11347,17.2,69.6,13.2,268400,Corvallis, OR,18700
"Coshocton, OH Micro Area",310M200US18740,36768,8679,21900,6189,23.6,59.6,16.8,95600,Coshocton, OH,18740
"Craig, CO Micro Area",310M200US18780,13286,3496,8242,1548,26.3,62.0,11.7,177700,Craig, CO,18780
"Crawfordsville, IN Micro Area",310M200US18820,38183,8876,23167,6140,23.2,60.7,16.1,108200,Crawfordsville, IN,18820
"Crescent City, CA Micro Area",310M200US18860,28066,5984,17930,4152,21.3,63.9,14.8,180100,Crescent City, CA,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M200US18880,246805,53731,155661,37413,21.8,63.1,15.2,177100,Crestview-Fort Walton Beach-Destin, FL,18880
"Crossville, TN Micro Area",310M200US18900,57064,10588,30674,15802,18.6,53.8,27.7,139700,Crossville, TN,18900
"Cullman, AL Micro Area",310M200US18980,80668,18349,48708,13611,22.7,60.4,16.9,107000,Cullman, AL,18980
"DeRidder, LA Micro Area",310M200US19760,36109,9212,22015,4882,25.5,61.0,13.5,97300,DeRidder, LA,19760
"Des Moines-West Des Moines, IA Metro Area",310M200US19780,590741,152204,369928,68609,25.8,62.6,11.6,157800,Des Moines-West Des Moines, IA,19780
"Detroit-Warren-Dearborn, MI Metro Area",310M200US19820,4292647,1009357,2684979,598311,23.5,62.5,13.9,122800,Detroit-Warren-Dearborn, MI,19820
"Cullowhee, NC Micro Area",310M200US19000,40598,7075,26942,6581,17.4,66.4,16.2,173200,Cullowhee, NC,19000
"Cumberland, MD-WV Metro Area",310M200US19060,101888,18887,64199,18802,18.5,63.0,18.5,120100,Cumberland, MD,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",310M200US19100,6703020,1823803,4236547,642670,27.2,63.2,9.6,151900,Dallas-Fort Worth-Arlington, TX,19100
"Dalton, GA Metro Area",310M200US19140,142548,38666,86920,16962,27.1,61.0,11.9,110900,Dalton, GA,19140
"Danville, IL Metro Area",310M200US19180,80773,19575,47737,13461,24.2,59.1,16.7,75200,Danville, IL,19180
"Danville, KY Micro Area",310M200US19220,53696,11949,32867,8880,22.3,61.2,16.5,106300,Danville, KY,19220
"Danville, VA Micro Area",310M200US19260,105659,22176,63620,19863,21.0,60.2,18.8,99100,Danville, VA,19260
"Daphne-Fairhope-Foley, AL Metro Area",310M200US19300,191205,43186,114237,33782,22.6,59.7,17.7,168800,Daphne-Fairhope-Foley, AL,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M200US19340,381913,88870,233200,59843,23.3,61.1,15.7,124600,Davenport-Moline-Rock Island, IA,19340
"Dayton, OH Metro Area",310M200US19380,801259,180012,495650,125597,22.5,61.9,15.7,122700,Dayton, OH,19380
"Dayton, TN Micro Area",310M200US19420,32272,7496,19394,5382,23.2,60.1,16.7,102100,Dayton, TN,19420
"Decatur, AL Metro Area",310M200US19460,153579,35719,94784,23076,23.3,61.7,15.0,114700,Decatur, AL,19460
"Decatur, IL Metro Area",310M200US19500,109833,24761,66384,18688,22.5,60.4,17.0,94000,Decatur, IL,19500
"Decatur, IN Micro Area",310M200US19540,34533,10811,18869,4853,31.3,54.6,14.1,118400,Decatur, IN,19540
"Defiance, OH Micro Area",310M200US19580,38795,9315,23266,6214,24.0,60.0,16.0,107400,Defiance, OH,19580
"Del Rio, TX Micro Area",310M200US19620,48999,14350,28272,6377,29.3,57.7,13.0,92700,Del Rio, TX,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M200US19660,597824,110592,350336,136896,18.5,58.6,22.9,139800,Deltona-Daytona Beach-Ormond Beach, FL,19660
"Deming, NM Micro Area",310M200US19700,24947,6623,13376,4948,26.5,53.6,19.8,84700,Deming, NM,19700
"Denver-Aurora-Lakewood, CO Metro Area",310M200US19740,2651392,644252,1719381,287759,24.3,64.8,10.9,253100,Denver-Aurora-Lakewood, CO,19740
"Dickinson, ND Micro Area",310M200US19860,27038,6200,16970,3868,22.9,62.8,14.3,182200,Dickinson, ND,19860
"Dixon, IL Micro Area",310M200US19940,35248,7356,22055,5837,20.9,62.6,16.6,110700,Dixon, IL,19940
"Dodge City, KS Micro Area",310M200US19980,34604,10664,20450,3490,30.8,59.1,10.1,92200,Dodge City, KS,19980
"Dothan, AL Metro Area",310M200US20020,147165,34561,88660,23944,23.5,60.2,16.3,107400,Dothan, AL,20020
"Douglas, GA Micro Area",310M200US20060,42947,10834,27047,5066,25.2,63.0,11.8,79700,Douglas, GA,20060
"Dover, DE Metro Area",310M200US20100,167477,40488,102620,24369,24.2,61.3,14.6,200200,Dover, DE,20100
"Dublin, GA Micro Area",310M200US20140,57878,14076,34977,8825,24.3,60.4,15.2,82100,Dublin, GA,20140
"DuBois, PA Micro Area",310M200US20180,81472,15651,51082,14739,19.2,62.7,18.1,87100,DuBois, PA,20180
"Dubuque, IA Metro Area",310M200US20220,95166,22178,58179,14809,23.3,61.1,15.6,146500,Dubuque, IA,20220
"Duluth, MN-WI Metro Area",310M200US20260,279894,56518,178130,45246,20.2,63.6,16.2,139600,Duluth, MN,20260
"Dumas, TX Micro Area",310M200US20300,22172,7023,12984,2165,31.7,58.6,9.8,87600,Dumas, TX,20300
"Duncan, OK Micro Area",310M200US20340,44900,10774,26230,7896,24.0,58.4,17.6,95100,Duncan, OK,20340
"Dunn, NC Micro Area",310M200US20380,121789,33553,75255,12981,27.6,61.8,10.7,133400,Dunn, NC,20380
"Durango, CO Micro Area",310M200US20420,52547,10460,35304,6783,19.9,67.2,12.9,333100,Durango, CO,20420
"Durant, OK Micro Area",310M200US20460,43595,10179,26250,7166,23.3,60.2,16.4,87900,Durant, OK,20460
"Durham-Chapel Hill, NC Metro Area",310M200US20500,525050,113489,347645,63916,21.6,66.2,12.2,194100,Durham-Chapel Hill, NC,20500
"Dyersburg, TN Micro Area",310M200US20540,38156,9324,22955,5877,24.4,60.2,15.4,99800,Dyersburg, TN,20540
"Eagle Pass, TX Micro Area",310M200US20580,55821,18224,31507,6090,32.6,56.4,10.9,85900,Eagle Pass, TX,20580
"Easton, MD Micro Area",310M200US20660,37894,7182,21167,9545,19.0,55.9,25.2,324100,Easton, MD,20660
"East Stroudsburg, PA Metro Area",310M200US20700,168342,37665,107284,23393,22.4,63.7,13.9,183100,East Stroudsburg, PA,20700
"Eau Claire, WI Metro Area",310M200US20740,163658,35374,105381,22903,21.6,64.4,14.0,148600,Eau Claire, WI,20740
"Edwards, CO Micro Area",310M200US20780,52233,12317,36337,3579,23.6,69.6,6.9,435600,Edwards, CO,20780
"Effingham, IL Micro Area",310M200US20820,34280,8297,20505,5478,24.2,59.8,16.0,118400,Effingham, IL,20820
"El Campo, TX Micro Area",310M200US20900,41219,10837,24141,6241,26.3,58.6,15.1,96900,El Campo, TX,20900
"El Centro, CA Metro Area",310M200US20940,177026,50993,106212,19821,28.8,60.0,11.2,145200,El Centro, CA,20940
"El Dorado, AR Micro Area",310M200US20980,40954,9740,24589,6625,23.8,60.0,16.2,72800,El Dorado, AR,20980
"Ellensburg, WA Micro Area",310M200US21260,41705,7574,28450,5681,18.2,68.2,13.6,246000,Ellensburg, WA,21260
"Elmira, NY Metro Area",310M200US21300,88681,19539,55044,14098,22.0,62.1,15.9,97800,Elmira, NY,21300
"El Paso, TX Metro Area",310M200US21340,827206,240831,497839,88536,29.1,60.2,10.7,112500,El Paso, TX,21340
"Emporia, KS Micro Area",310M200US21380,33510,7673,21480,4357,22.9,64.1,13.0,92500,Emporia, KS,21380
"Enid, OK Micro Area",310M200US21420,61663,15551,36650,9462,25.2,59.4,15.3,93500,Enid, OK,21420
"Enterprise, AL Micro Area",310M200US21460,50726,12124,30949,7653,23.9,61.0,15.1,137000,Enterprise, AL,21460
"Erie, PA Metro Area",310M200US21500,280132,62225,175736,42171,22.2,62.7,15.1,117200,Erie, PA,21500
"Escanaba, MI Micro Area",310M200US21540,36841,7541,21847,7453,20.5,59.3,20.2,99400,Escanaba, MI,21540
"Española, NM Micro Area",310M200US21580,40155,9821,24212,6122,24.5,60.3,15.2,140900,Española, NM,21580
"Eugene, OR Metro Area",310M200US21660,354764,68781,228592,57391,19.4,64.4,16.2,214300,Eugene, OR,21660
"Eureka-Arcata-Fortuna, CA Micro Area",310M200US21700,134876,26524,89276,19076,19.7,66.2,14.1,281300,Eureka-Arcata-Fortuna, CA,21700
"Evanston, WY Micro Area",310M200US21740,20989,6263,12669,2057,29.8,60.4,9.8,174800,Evanston, WY,21740
"Evansville, IN-KY Metro Area",310M200US21780,313450,71941,195138,46371,23.0,62.3,14.8,121300,Evansville, IN,21780
"Fairbanks, AK Metro Area",310M200US21820,99319,24720,67401,7198,24.9,67.9,7.2,215000,Fairbanks, AK,21820
"Fairfield, IA Micro Area",310M200US21840,17102,3234,11081,2787,18.9,64.8,16.3,94600,Fairfield, IA,21840
"Fairmont, WV Micro Area",310M200US21900,56698,11337,35496,9865,20.0,62.6,17.4,94600,Fairmont, WV,21900
"Elizabeth City, NC Micro Area",310M200US21020,63867,14156,39368,10343,22.2,61.6,16.2,169700,Elizabeth City, NC,21020
"Elizabethtown-Fort Knox, KY Metro Area",310M200US21060,150917,38292,94827,17798,25.4,62.8,11.8,135200,Elizabethtown-Fort Knox, KY,21060
"Elk City, OK Micro Area",310M200US21120,22941,5672,14480,2789,24.7,63.1,12.2,110600,Elk City, OK,21120
"Elkhart-Goshen, IN Metro Area",310M200US21140,199544,56311,117912,25321,28.2,59.1,12.7,122600,Elkhart-Goshen, IN,21140
"Elkins, WV Micro Area",310M200US21180,29446,5791,18147,5508,19.7,61.6,18.7,98600,Elkins, WV,21180
"Elko, NV Micro Area",310M200US21220,52752,14984,33055,4713,28.4,62.7,8.9,180300,Elko, NV,21220
"Fallon, NV Micro Area",310M200US21980,24347,5777,14507,4063,23.7,59.6,16.7,144900,Fallon, NV,21980
"Fargo, ND-MN Metro Area",310M200US22020,218290,48579,146193,23518,22.3,67.0,10.8,161400,Fargo, ND,22020
"Faribault-Northfield, MN Micro Area",310M200US22060,64829,14780,41541,8508,22.8,64.1,13.1,187100,Faribault-Northfield, MN,22060
"Farmington, MO Micro Area",310M200US22100,65813,13920,42277,9616,21.2,64.2,14.6,99600,Farmington, MO,22100
"Farmington, NM Metro Area",310M200US22140,127358,35535,76824,14999,27.9,60.3,11.8,144100,Farmington, NM,22140
"Fernley, NV Micro Area",310M200US22280,51579,12116,30225,9238,23.5,58.6,17.9,129300,Fernley, NV,22280
"Fayetteville, NC Metro Area",310M200US22180,374036,99980,237645,36411,26.7,63.5,9.7,130500,Fayetteville, NC,22180
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",310M200US22220,483396,127480,299524,56392,26.4,62.0,11.7,144000,Fayetteville-Springdale-Rogers, AR,22220
"Fergus Falls, MN Micro Area",310M200US22260,57417,12306,32668,12443,21.4,56.9,21.7,162000,Fergus Falls, MN,22260
"Findlay, OH Micro Area",310M200US22300,75290,17276,46583,11431,22.9,61.9,15.2,124500,Findlay, OH,22300
"Fitzgerald, GA Micro Area",310M200US22340,17547,4559,10438,2550,26.0,59.5,14.5,80400,Fitzgerald, GA,22340
"Flagstaff, AZ Metro Area",310M200US22380,135817,30669,91667,13481,22.6,67.5,9.9,217200,Flagstaff, AZ,22380
"Flint, MI Metro Area",310M200US22420,418654,101089,256193,61372,24.1,61.2,14.7,88300,Flint, MI,22420
"Florence, SC Metro Area",310M200US22500,206219,49647,126835,29737,24.1,61.5,14.4,106100,Florence, SC,22500
"Florence-Muscle Shoals, AL Metro Area",310M200US22520,147271,31348,89976,25947,21.3,61.1,17.6,110400,Florence-Muscle Shoals, AL,22520
"Fond du Lac, WI Metro Area",310M200US22540,101709,22584,63116,16009,22.2,62.1,15.7,146200,Fond du Lac, WI,22540
"Forest City, NC Micro Area",310M200US22580,67181,14625,40209,12347,21.8,59.9,18.4,106500,Forest City, NC,22580
"Forrest City, AR Micro Area",310M200US22620,27642,6413,17640,3589,23.2,63.8,13.0,65600,Forrest City, AR,22620
"Fort Collins, CO Metro Area",310M200US22660,311435,64935,206265,40235,20.9,66.2,12.9,251600,Fort Collins, CO,22660
"Fort Dodge, IA Micro Area",310M200US22700,37399,8109,22974,6316,21.7,61.4,16.9,84600,Fort Dodge, IA,22700
"Fort Leonard Wood, MO Micro Area",310M200US22780,53343,12568,36975,3800,23.6,69.3,7.1,126000,Fort Leonard Wood, MO,22780
"Fort Madison-Keokuk, IA-IL-MO Micro Area",310M200US22800,61361,13305,36472,11584,21.7,59.4,18.9,84100,Fort Madison-Keokuk, IA,22800
"Fort Morgan, CO Micro Area",310M200US22820,28342,7740,16430,4172,27.3,58.0,14.7,135000,Fort Morgan, CO,22820
"Fort Polk South, LA Micro Area",310M200US22860,52844,14384,33226,5234,27.2,62.9,9.9,93400,Fort Polk South, LA,22860
"Fort Smith, AR-OK Metro Area",310M200US22900,280394,69831,169680,40883,24.9,60.5,14.6,101400,Fort Smith, AR,22900
"Fort Wayne, IN Metro Area",310M200US23060,422029,110662,256837,54530,26.2,60.9,12.9,114100,Fort Wayne, IN,23060
"Frankfort, IN Micro Area",310M200US23140,32987,8619,19462,4906,26.1,59.0,14.9,96600,Frankfort, IN,23140
"Frankfort, KY Micro Area",310M200US23180,71173,15922,45094,10157,22.4,63.4,14.3,137000,Frankfort, KY,23180
"Fredericksburg, TX Micro Area",310M200US23240,25179,4924,13183,7072,19.6,52.4,28.1,218600,Fredericksburg, TX,23240
"Freeport, IL Micro Area",310M200US23300,47053,10406,27345,9302,22.1,58.1,19.8,100300,Freeport, IL,23300
"Fremont, NE Micro Area",310M200US23340,36742,8695,21233,6814,23.7,57.8,18.5,110100,Fremont, NE,23340
"Fremont, OH Micro Area",310M200US23380,60498,14327,36480,9691,23.7,60.3,16.0,109400,Fremont, OH,23380
"Fresno, CA Metro Area",310M200US23420,948844,277827,570453,100564,29.3,60.1,10.6,191700,Fresno, CA,23420
"Gadsden, AL Metro Area",310M200US23460,104126,23429,63532,17165,22.5,61.0,16.5,100400,Gadsden, AL,23460
"Gaffney, SC Micro Area",310M200US23500,55707,13486,34280,7941,24.2,61.5,14.3,84100,Gaffney, SC,23500
"Gainesville, FL Metro Area",310M200US23540,268707,48729,187772,32206,18.1,69.9,12.0,160600,Gainesville, FL,23540
"Gainesville, GA Metro Area",310M200US23580,185318,50484,111773,23061,27.2,60.3,12.4,162200,Gainesville, GA,23580
"Gainesville, TX Micro Area",310M200US23620,38558,9530,22680,6348,24.7,58.8,16.5,114800,Gainesville, TX,23620
"Galesburg, IL Micro Area",310M200US23660,52447,10563,31911,9973,20.1,60.8,19.0,80800,Galesburg, IL,23660
"Gallup, NM Micro Area",310M200US23700,73082,22371,43323,7388,30.6,59.3,10.1,70600,Gallup, NM,23700
"Garden City, KS Micro Area",310M200US23780,41049,12902,24282,3865,31.4,59.2,9.4,109700,Garden City, KS,23780
"Gardnerville Ranchos, NV Micro Area",310M200US23820,47135,8988,27547,10600,19.1,58.4,22.5,267200,Gardnerville Ranchos, NV,23820
"Georgetown, SC Micro Area",310M200US23860,60389,12469,34523,13397,20.6,57.2,22.2,155300,Georgetown, SC,23860
"Gettysburg, PA Metro Area",310M200US23900,101566,21684,62668,17214,21.3,61.7,16.9,194100,Gettysburg, PA,23900
"Gillette, WY Micro Area",310M200US23940,47448,13296,31155,2997,28.0,65.7,6.3,206500,Gillette, WY,23940
"Glasgow, KY Micro Area",310M200US23980,52716,12533,31543,8640,23.8,59.8,16.4,95100,Glasgow, KY,23980
"Glenwood Springs, CO Micro Area",310M200US24060,73987,17899,48107,7981,24.2,65.0,10.8,322800,Glenwood Springs, CO,24060
"Gloversville, NY Micro Area",310M200US24100,54870,11686,33918,9266,21.3,61.8,16.9,107500,Gloversville, NY,24100
"Goldsboro, NC Metro Area",310M200US24140,124093,30310,76826,16957,24.4,61.9,13.7,108000,Goldsboro, NC,24140
"Grand Forks, ND-MN Metro Area",310M200US24220,99774,21188,65869,12717,21.2,66.0,12.7,146700,Grand Forks, ND,24220
"Grand Island, NE Metro Area",310M200US24260,83426,21900,49016,12510,26.3,58.8,15.0,112200,Grand Island, NE,24260
"Grand Junction, CO Metro Area",310M200US24300,147509,33840,90250,23419,22.9,61.2,15.9,203200,Grand Junction, CO,24300
"Grand Rapids-Wyoming, MI Metro Area",310M200US24340,1007329,254981,628096,124252,25.3,62.4,12.3,139100,Grand Rapids-Wyoming, MI,24340
"Grants, NM Micro Area",310M200US24380,27392,6691,16931,3770,24.4,61.8,13.8,86700,Grants, NM,24380
"Grants Pass, OR Metro Area",310M200US24420,83021,16555,47042,19424,19.9,56.7,23.4,212600,Grants Pass, OR,24420
"Great Bend, KS Micro Area",310M200US24460,27566,6783,16018,4765,24.6,58.1,17.3,79800,Great Bend, KS,24460
"Great Falls, MT Metro Area",310M200US24500,81953,18596,50126,13231,22.7,61.2,16.1,159900,Great Falls, MT,24500
"Greeley, CO Metro Area",310M200US24540,265066,72265,165287,27514,27.3,62.4,10.4,196100,Greeley, CO,24540
"Green Bay, WI Metro Area",310M200US24580,310726,74783,194840,41103,24.1,62.7,13.2,156700,Green Bay, WI,24580
"Greeneville, TN Micro Area",310M200US24620,68596,14090,41771,12735,20.5,60.9,18.6,109800,Greeneville, TN,24620
"Greenfield Town, MA Micro Area",310M200US24640,71300,13514,45934,11852,19.0,64.4,16.6,220400,Greenfield Town, MA,24640
"Greensboro-High Point, NC Metro Area",310M200US24660,735777,169276,463795,102706,23.0,63.0,14.0,140000,Greensboro-High Point, NC,24660
"Greensburg, IN Micro Area",310M200US24700,26112,6576,15672,3864,25.2,60.0,14.8,112300,Greensburg, IN,24700
"Greenville, MS Micro Area",310M200US24740,50038,13634,29947,6457,27.2,59.8,12.9,74000,Greenville, MS,24740
"Greenville, NC Metro Area",310M200US24780,172438,38207,115917,18314,22.2,67.2,10.6,133400,Greenville, NC,24780
"Greenville, OH Micro Area",310M200US24820,52537,12918,30330,9289,24.6,57.7,17.7,110000,Greenville, OH,24820
"Greenville-Anderson-Mauldin, SC Metro Area",310M200US24860,842817,194891,526678,121248,23.1,62.5,14.4,137600,Greenville-Anderson-Mauldin, SC,24860
"Greenwood, MS Micro Area",310M200US24900,42190,10757,25571,5862,25.5,60.6,13.9,71500,Greenwood, MS,24900
"Greenwood, SC Micro Area",310M200US24940,94808,21861,57286,15661,23.1,60.4,16.5,97500,Greenwood, SC,24940
"Grenada, MS Micro Area",310M200US24980,21660,5228,13023,3409,24.1,60.1,15.7,88800,Grenada, MS,24980
"Glens Falls, NY Metro Area",310M200US24020,128298,25639,80366,22293,20.0,62.6,17.4,165100,Glens Falls, NY,24020
"Hillsdale, MI Micro Area",310M200US25880,46282,10615,28002,7665,22.9,60.5,16.6,100600,Hillsdale, MI,25880
"Hilo, HI Micro Area",310M200US25900,189382,42349,116609,30424,22.4,61.6,16.1,301500,Hilo, HI,25900
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",310M200US25940,194495,40390,112857,41248,20.8,58.0,21.2,252400,Hilton Head Island-Bluffton-Beaufort, SC,25940
"Hinesville, GA Metro Area",310M200US25980,80456,23639,51240,5577,29.4,63.7,6.9,121300,Hinesville, GA,25980
"Guayama, PR Metro Area",310M200US25020,82282,19996,50200,12086,24.3,61.0,14.7,95200,Guayama, PR,25020
"Gulfport-Biloxi-Pascagoula, MS Metro Area",310M200US25060,378972,92310,236441,50221,24.4,62.4,13.3,130400,Gulfport-Biloxi-Pascagoula, MS,25060
"Guymon, OK Micro Area",310M200US25100,21495,6005,13350,2140,27.9,62.1,10.0,90700,Guymon, OK,25100
"Hagerstown-Martinsburg, MD-WV Metro Area",310M200US25180,256237,59890,160878,35469,23.4,62.8,13.8,181200,Hagerstown-Martinsburg, MD,25180
"Hailey, ID Micro Area",310M200US25200,27671,6940,16923,3808,25.1,61.2,13.8,295600,Hailey, ID,25200
"Hammond, LA Metro Area",310M200US25220,124125,30952,78118,15055,24.9,62.9,12.1,135400,Hammond, LA,25220
"Hanford-Corcoran, CA Metro Area",310M200US25260,151390,41869,96680,12841,27.7,63.9,8.5,170000,Hanford-Corcoran, CA,25260
"Hannibal, MO Micro Area",310M200US25300,39068,9060,23380,6628,23.2,59.8,17.0,104700,Hannibal, MO,25300
"Harrisburg-Carlisle, PA Metro Area",310M200US25420,555154,120761,349805,84588,21.8,63.0,15.2,169900,Harrisburg-Carlisle, PA,25420
"Harrison, AR Micro Area",310M200US25460,45300,10147,26348,8805,22.4,58.2,19.4,99000,Harrison, AR,25460
"Harrisonburg, VA Metro Area",310M200US25500,128166,25872,85226,17068,20.2,66.5,13.3,198100,Harrisonburg, VA,25500
"Hartford-West Hartford-East Hartford, CT Metro Area",310M200US25540,1215159,261951,771066,182142,21.6,63.5,15.0,247200,Hartford-West Hartford-East Hartford, CT,25540
"Hastings, NE Micro Area",310M200US25580,31396,7423,18977,4996,23.6,60.4,15.9,101900,Hastings, NE,25580
"Hattiesburg, MS Metro Area",310M200US25620,146370,35908,93003,17459,24.5,63.5,11.9,131100,Hattiesburg, MS,25620
"Hays, KS Micro Area",310M200US25700,28878,6115,18797,3966,21.2,65.1,13.7,143200,Hays, KS,25700
"Heber, UT Micro Area",310M200US25720,25550,8546,14732,2272,33.4,57.7,8.9,304300,Heber, UT,25720
"Helena, MT Micro Area",310M200US25740,76237,16893,47795,11549,22.2,62.7,15.1,208500,Helena, MT,25740
"Helena-West Helena, AR Micro Area",310M200US25760,20847,5735,11895,3217,27.5,57.1,15.4,63500,Helena-West Helena, AR,25760
"Henderson, NC Micro Area",310M200US25780,44998,11092,27080,6826,24.6,60.2,15.2,99800,Henderson, NC,25780
"Hereford, TX Micro Area",310M200US25820,19331,6241,10883,2207,32.3,56.3,11.4,81600,Hereford, TX,25820
"Hermiston-Pendleton, OR Micro Area",310M200US25840,87862,23253,52957,11652,26.5,60.3,13.3,139500,Hermiston-Pendleton, OR,25840
"Medford, OR Metro Area",310M200US32780,206583,44158,123492,38933,21.4,59.8,18.8,217200,Medford, OR,32780
"McMinnville, TN Micro Area",310M200US32660,39867,9514,23962,6391,23.9,60.1,16.0,94000,McMinnville, TN,32660
"McPherson, KS Micro Area",310M200US32700,29308,6780,17097,5431,23.1,58.3,18.5,127600,McPherson, KS,32700
"Meadville, PA Micro Area",310M200US32740,87801,19158,53375,15268,21.8,60.8,17.4,103300,Meadville, PA,32740
"Memphis, TN-MS-AR Metro Area",310M200US32820,1337014,347192,838847,150975,26.0,62.7,11.3,133700,Memphis, TN,32820
"Menomonie, WI Micro Area",310M200US32860,44045,8905,29267,5873,20.2,66.4,13.3,154900,Menomonie, WI,32860
"Merced, CA Metro Area",310M200US32900,261609,80126,155368,26115,30.6,59.4,10.0,152600,Merced, CA,32900
"Meridian, MS Micro Area",310M200US32940,107080,25846,65148,16086,24.1,60.8,15.0,80100,Meridian, MS,32940
"Merrill, WI Micro Area",310M200US32980,28566,5958,17165,5443,20.9,60.1,19.1,131800,Merrill, WI,32980
"Mobile, AL Metro Area",310M200US33660,414045,101244,256022,56779,24.5,61.8,13.7,124500,Mobile, AL,33660
"Modesto, CA Metro Area",310M200US33700,522794,145775,317559,59460,27.9,60.7,11.4,175400,Modesto, CA,33700
"Monroe, LA Metro Area",310M200US33740,177908,45336,108738,23834,25.5,61.1,13.4,116000,Monroe, LA,33740
"Monroe, MI Metro Area",310M200US33780,150851,35062,93895,21894,23.2,62.2,14.5,137500,Monroe, MI,33780
