CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,Name,State,CBSAFIPS
"Brookings, SD Micro Area",310M500US15100,34601,7058,23492,4051,20.4,67.9,11.7,179000,Brookings, SD,15100
"Brownsville, TN Micro Area",310M500US15140,17623,3999,10472,3152,22.7,59.4,17.9,100700,Brownsville, TN,15140
"Brownsville-Harlingen, TX Metro Area",310M500US15180,421666,129734,236467,55465,30.8,56.1,13.2,85800,Brownsville-Harlingen, TX,15180
"Brownwood, TX Micro Area",310M500US15220,37855,8387,22080,7388,22.2,58.3,19.5,102500,Brownwood, TX,15220
"Brunswick, GA Metro Area",310M500US15260,117400,25547,68594,23259,21.8,58.4,19.8,155300,Brunswick, GA,15260
"Bucyrus-Galion, OH Micro Area",310M500US15340,41821,9142,24143,8536,21.9,57.7,20.4,88400,Bucyrus-Galion, OH,15340
"Buffalo-Cheektowaga, NY Metro Area",310M500US15380,1130175,230096,699118,200961,20.4,61.9,17.8,148500,Buffalo-Cheektowaga, NY,15380
"Burley, ID Micro Area",310M500US15420,44395,13514,24346,6535,30.4,54.8,14.7,154900,Burley, ID,15420
"Burlington, IA-IL Micro Area",310M500US15460,46195,10187,26339,9669,22.1,57.0,20.9,104100,Burlington, IA,15460
"Burlington, NC Metro Area",310M500US15500,163324,36538,99621,27165,22.4,61.0,16.6,154800,Burlington, NC,15500
"Burlington-South Burlington, VT Metro Area",310M500US15540,218784,41334,144599,32851,18.9,66.1,15.0,275600,Burlington-South Burlington, VT,15540
