CBSA,GEOID,CBSAFIPS,total,U5,school,18_20s,30s,40s,50_65,O65,PU5,Pschool,P18_20s,P30s,P40s,P50_65,PO65
"Cadillac, MI Micro Area",310M200US15620,15620,47685,3048,8247,6325,5233,6089,10563,8180,6.4,17.3,13.3,11.0,12.8,22.2,17.2
"Calhoun, GA Micro Area",310M200US15660,15660,55666,3797,10765,8373,7477,8034,10411,6809,6.8,19.3,15.0,13.4,14.4,18.7,12.2
"California-Lexington Park, MD Metro Area",310M200US15680,15680,108472,7487,20123,18099,13549,16563,20633,12018,6.9,18.6,16.7,12.5,15.3,19.0,11.1
"Cambridge, MD Micro Area",310M200US15700,15700,32614,2024,4912,4460,3842,4018,7297,6061,6.2,15.1,13.7,11.8,12.3,22.4,18.6
"Cambridge, OH Micro Area",310M200US15740,15740,39794,2336,6773,5454,4320,5374,8825,6712,5.9,17.0,13.7,10.9,13.5,22.2,16.9
"Camden, AR Micro Area",310M200US15780,15780,30687,1964,4876,4282,3209,3879,7055,5422,6.4,15.9,14.0,10.5,12.6,23.0,17.7
"Campbellsville, KY Micro Area",310M200US15820,15820,25059,1534,4016,4712,2558,3131,4918,4190,6.1,16.0,18.8,10.2,12.5,19.6,16.7
"Cañon City, CO Micro Area",310M200US15860,15860,46879,1988,5964,6665,6858,6259,10315,8830,4.2,12.7,14.2,14.6,13.4,22.0,18.8
"Canton, IL Micro Area",310M200US15900,15900,36616,1903,5629,5124,4482,4977,7748,6753,5.2,15.4,14.0,12.2,13.6,21.2,18.4
"Canton-Massillon, OH Metro Area",310M200US15940,15940,403629,22449,67568,58128,44136,54503,88326,68519,5.6,16.7,14.4,10.9,13.5,21.9,17.0
"Cape Coral-Fort Myers, FL Metro Area",310M200US15980,15980,647554,32708,91076,83341,67356,77615,133944,161514,5.1,14.1,12.9,10.4,12.0,20.7,24.9
"Cape Girardeau, MO-IL Metro Area",310M200US16020,16020,97246,5889,15423,18939,11265,11865,19027,14838,6.1,15.9,19.5,11.6,12.2,19.6,15.3
"Carbondale-Marion, IL Metro Area",310M200US16060,16060,126933,7161,18184,29792,14866,14785,23500,18645,5.6,14.3,23.5,11.7,11.6,18.5,14.7
"Carlsbad-Artesia, NM Micro Area",310M200US16100,16100,54834,3775,10456,8589,6810,6580,10942,7682,6.9,19.1,15.7,12.4,12.0,20.0,14.0
"Carson City, NV Metro Area",310M200US16180,16180,54634,3013,8688,7842,6409,7132,11822,9728,5.5,15.9,14.4,11.7,13.1,21.6,17.8
"Casper, WY Metro Area",310M200US16220,16220,78667,5326,13383,13495,11169,9098,16382,9814,6.8,17.0,17.2,14.2,11.6,20.8,12.5
"Cedar City, UT Micro Area",310M200US16260,16260,46725,3978,9938,10976,5434,4630,6803,4966,8.5,21.3,23.5,11.6,9.9,14.6,10.6
"Cedar Rapids, IA Metro Area",310M200US16300,16300,261429,16589,46139,41068,34287,35098,51273,36975,6.3,17.6,15.7,13.1,13.4,19.6,14.1
"Cedartown, GA Micro Area",310M200US16340,16340,41250,2966,7859,6418,4613,6146,7512,5736,7.2,19.1,15.6,11.2,14.9,18.2,13.9
"Celina, OH Micro Area",310M200US16380,16380,40789,2746,7728,5454,4570,5037,8709,6545,6.7,18.9,13.4,11.2,12.3,21.4,16.0
"Centralia, IL Micro Area",310M200US16460,16460,38922,2488,6514,5421,4279,4946,8361,6913,6.4,16.7,13.9,11.0,12.7,21.5,17.8
"Centralia, WA Micro Area",310M200US16500,16500,75382,4465,12487,10513,8149,9371,16581,13816,5.9,16.6,13.9,10.8,12.4,22.0,18.3
"Chambersburg-Waynesboro, PA Metro Area",310M200US16540,16540,151517,9657,25800,20853,17898,20813,30150,26346,6.4,17.0,13.8,11.8,13.7,19.9,17.4
"Champaign-Urbana, IL Metro Area",310M200US16580,16580,234672,13146,33243,68706,28688,24573,39329,26987,5.6,14.2,29.3,12.2,10.5,16.8,11.5
"Charleston, WV Metro Area",310M200US16620,16620,225248,12841,34160,30742,28090,29112,51842,38461,5.7,15.2,13.6,12.5,12.9,23.0,17.1
"Charleston-Mattoon, IL Micro Area",310M200US16660,16660,64605,3352,8907,16992,6714,7014,12034,9592,5.2,13.8,26.3,10.4,10.9,18.6,14.8
"Charleston-North Charleston, SC Metro Area",310M200US16700,16700,697281,46212,112948,129602,97641,90867,133701,86310,6.6,16.2,18.6,14.0,13.0,19.2,12.4
"Charlotte-Concord-Gastonia, NC-SC Metro Area",310M200US16740,16740,2298915,153547,422519,358063,324526,349289,423528,267443,6.7,18.4,15.6,14.1,15.2,18.4,11.6
"Charlottesville, VA Metro Area",310M200US16820,16820,223063,12576,32386,45837,27595,28262,43769,32638,5.6,14.5,20.5,12.4,12.7,19.6,14.6
"Chattanooga, TN-GA Metro Area",310M200US16860,16860,537397,31394,86477,84355,68038,72448,111713,82972,5.8,16.1,15.7,12.7,13.5,20.8,15.4
"Cheyenne, WY Metro Area",310M200US16940,16940,94412,6444,16032,16303,11871,11956,19110,12696,6.8,17.0,17.3,12.6,12.7,20.2,13.4
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",310M200US16980,16980,9516448,614968,1705501,1584845,1325713,1329977,1807243,1148201,6.5,17.9,16.7,13.9,14.0,19.0,12.1
"Brookhaven, MS Micro Area",310M200US15020,15020,34824,2344,6518,5005,4329,4498,6993,5137,6.7,18.7,14.4,12.4,12.9,20.1,14.8
"Brookings, OR Micro Area",310M200US15060,15060,22341,1009,2491,2205,1942,2141,5952,6601,4.5,11.1,9.9,8.7,9.6,26.6,29.5
"Brookings, SD Micro Area",310M200US15100,15100,32647,1849,4338,12015,3489,2958,4737,3261,5.7,13.3,36.8,10.7,9.1,14.5,10.0
"Brownsville-Harlingen, TX Metro Area",310M200US15180,15180,415103,36467,97413,68536,52743,49568,61858,48518,8.8,23.5,16.5,12.7,11.9,14.9,11.7
"Chico, CA Metro Area",310M200US17020,17020,221578,12178,33352,48069,23876,24541,43852,35710,5.5,15.1,21.7,10.8,11.1,19.8,16.1
"Clarksburg, WV Micro Area",310M200US17220,17220,94320,5336,14622,12485,11850,12950,20971,16106,5.7,15.5,13.2,12.6,13.7,22.2,17.1
"Chillicothe, OH Micro Area",310M200US17060,17060,77552,4353,12784,10887,10496,11352,16691,10989,5.6,16.5,14.0,13.5,14.6,21.5,14.2
"Cincinnati, OH-KY-IN Metro Area",310M200US17140,17140,2131793,139973,381712,343194,268781,295503,428188,274442,6.6,17.9,16.1,12.6,13.9,20.1,12.9
"Claremont-Lebanon, NH-VT Micro Area",310M200US17200,17200,217906,10122,31133,33741,23347,28856,52760,37947,4.6,14.3,15.5,10.7,13.2,24.2,17.4
"Clarksdale, MS Micro Area",310M200US17260,17260,25527,2142,5158,4416,2990,2864,4734,3223,8.4,20.2,17.3,11.7,11.2,18.5,12.6
"Clarksville, TN-KY Metro Area",310M200US17300,17300,270751,23979,50371,59821,39302,31730,39896,25652,8.9,18.6,22.1,14.5,11.7,14.7,9.5
"Clearlake, CA Micro Area",310M200US17340,17340,64209,3597,9612,8448,6797,7560,16034,12161,5.6,15.0,13.2,10.6,11.8,25.0,18.9
"Cleveland, MS Micro Area",310M200US17380,17380,33961,2496,6132,6392,4227,3890,6403,4421,7.3,18.1,18.8,12.4,11.5,18.9,13.0
"Cleveland, TN Metro Area",310M200US17420,17420,117719,6587,19861,18705,14527,16704,23173,18162,5.6,16.9,15.9,12.3,14.2,19.7,15.4
"Cleveland-Elyria, OH Metro Area",310M200US17460,17460,2067490,117370,347447,302151,240714,283195,449037,327576,5.7,16.8,14.6,11.6,13.7,21.7,15.8
"Clewiston, FL Micro Area",310M200US17500,17500,38360,3030,7682,6709,5238,4934,6183,4584,7.9,20.0,17.5,13.7,12.9,16.1,11.9
"Clinton, IA Micro Area",310M200US17540,17540,48663,2969,8224,6688,5050,6546,10698,8488,6.1,16.9,13.7,10.4,13.5,22.0,17.4
"Clovis, NM Micro Area",310M200US17580,17580,50173,4311,9407,10595,6456,5883,7898,5623,8.6,18.7,21.1,12.9,11.7,15.7,11.2
"Coamo, PR Micro Area",310M200US17620,17620,40496,2480,7562,6538,5502,5350,7447,5617,6.1,18.7,16.1,13.6,13.2,18.4,13.9
"Coco, PR Micro Area",310M200US17640,17640,30506,1894,5935,4946,4128,3661,5432,4510,6.2,19.5,16.2,13.5,12.0,17.8,14.8
"Coeur d'Alene, ID Metro Area",310M200US17660,17660,142783,8913,25479,20888,17201,18407,29519,22376,6.2,17.8,14.6,12.0,12.9,20.7,15.7
"Coffeyville, KS Micro Area",310M200US17700,17700,34602,2348,5842,5362,3848,4093,7009,6100,6.8,16.9,15.5,11.1,11.8,20.3,17.6
"Coldwater, MI Micro Area",310M200US17740,17740,43965,2802,7648,6070,5274,5839,9384,6948,6.4,17.4,13.8,12.0,13.3,21.3,15.8
"College Station-Bryan, TX Metro Area",310M200US17780,17780,235316,15020,34463,81461,27647,23258,31520,21947,6.4,14.6,34.6,11.7,9.9,13.4,9.3
"Colorado Springs, CO Metro Area",310M200US17820,17820,669070,46888,122947,125466,86962,88625,125529,72653,7.0,18.4,18.8,13.0,13.2,18.8,10.9
"Columbia, MO Metro Area",310M200US17860,17860,168268,10289,24634,49467,21351,18543,27526,16458,6.1,14.6,29.4,12.7,11.0,16.4,9.8
"Columbia, SC Metro Area",310M200US17900,17900,784698,48612,131560,150353,102389,104011,150973,96800,6.2,16.8,19.2,13.0,13.3,19.2,12.3
"Columbus, GA-AL Metro Area",310M200US17980,17980,308363,22430,53566,60360,40676,39235,55482,36614,7.3,17.4,19.6,13.2,12.7,18.0,11.9
"Columbus, IN Metro Area",310M200US18020,18020,78628,5201,14219,11587,10493,10713,15017,11398,6.6,18.1,14.7,13.3,13.6,19.1,14.5
"Columbus, MS Micro Area",310M200US18060,18060,59736,4024,10671,10490,7327,7522,11565,8137,6.7,17.9,17.6,12.3,12.6,19.4,13.6
"Columbus, NE Micro Area",310M200US18100,18100,32485,2364,6189,4685,3593,4150,6613,4891,7.3,19.1,14.4,11.1,12.8,20.4,15.1
"Columbus, OH Metro Area",310M200US18140,18140,1948188,131893,342859,342482,272720,273231,364396,220607,6.8,17.6,17.6,14.0,14.0,18.7,11.3
"Concord, NH Micro Area",310M200US18180,18180,146880,7214,23312,22069,16677,21657,34290,21661,4.9,15.9,15.0,11.4,14.7,23.3,14.7
"Connersville, IN Micro Area",310M200US18220,18220,23955,1261,4229,3036,3003,3049,5186,4191,5.3,17.7,12.7,12.5,12.7,21.6,17.5
"Cookeville, TN Micro Area",310M200US18260,18260,106901,6191,16862,19907,12049,13918,20591,17383,5.8,15.8,18.6,11.3,13.0,19.3,16.3
"Coos Bay, OR Micro Area",310M200US18300,18300,62678,3080,8615,7939,6045,7224,15534,14241,4.9,13.7,12.7,9.6,11.5,24.8,22.7
"Cordele, GA Micro Area",310M200US18380,18380,23403,1680,4259,3671,2503,3052,4814,3424,7.2,18.2,15.7,10.7,13.0,20.6,14.6
"Corinth, MS Micro Area",310M200US18420,18420,37279,2509,6485,5283,4353,5350,7237,6062,6.7,17.4,14.2,11.7,14.4,19.4,16.3
"Cornelia, GA Micro Area",310M200US18460,18460,43342,2564,7495,6575,5635,5611,8356,7106,5.9,17.3,15.2,13.0,12.9,19.3,16.4
"Corning, NY Micro Area",310M200US18500,18500,98917,5664,16870,13472,11028,13512,21926,16445,5.7,17.1,13.6,11.1,13.7,22.2,16.6
"Corpus Christi, TX Metro Area",310M200US18580,18580,437528,29930,81526,74470,54288,55017,83847,58450,6.8,18.6,17.0,12.4,12.6,19.2,13.4
"Corsicana, TX Micro Area",310M200US18620,18620,48073,3502,9270,7122,5342,6277,9224,7336,7.3,19.3,14.8,11.1,13.1,19.2,15.3
"Cortland, NY Micro Area",310M200US18660,18660,49231,2435,7552,11547,5124,6178,9433,6962,4.9,15.3,23.5,10.4,12.5,19.2,14.1
"Corvallis, OR Metro Area",310M200US18700,18700,86034,3692,11107,25748,8735,9005,16400,11347,4.3,12.9,29.9,10.2,10.5,19.1,13.2
"Coshocton, OH Micro Area",310M200US18740,18740,36768,2221,6458,4901,4096,4920,7983,6189,6.0,17.6,13.3,11.1,13.4,21.7,16.8
"Craig, CO Micro Area",310M200US18780,18780,13286,964,2532,1950,1736,1595,2961,1548,7.3,19.1,14.7,13.1,12.0,22.3,11.7
"Crawfordsville, IN Micro Area",310M200US18820,18820,38183,2345,6531,5912,4216,5339,7700,6140,6.1,17.1,15.5,11.0,14.0,20.2,16.1
"Crescent City, CA Micro Area",310M200US18860,18860,28066,1787,4197,4472,3827,3652,5979,4152,6.4,15.0,15.9,13.6,13.0,21.3,14.8
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M200US18880,18880,246805,15745,37986,42390,30718,31984,50569,37413,6.4,15.4,17.2,12.4,13.0,20.5,15.2
"Crossville, TN Micro Area",310M200US18900,18900,57064,2808,7780,6382,5243,6757,12292,15802,4.9,13.6,11.2,9.2,11.8,21.5,27.7
"Cullman, AL Micro Area",310M200US18980,18980,80668,4878,13471,11694,9593,10996,16425,13611,6.0,16.7,14.5,11.9,13.6,20.4,16.9
"DeRidder, LA Micro Area",310M200US19760,19760,36109,2463,6749,5385,4613,5012,7005,4882,6.8,18.7,14.9,12.8,13.9,19.4,13.5
"Des Moines-West Des Moines, IA Metro Area",310M200US19780,19780,590741,43410,108794,95374,84288,82283,107983,68609,7.3,18.4,16.1,14.3,13.9,18.3,11.6
"Detroit-Warren-Dearborn, MI Metro Area",310M200US19820,19820,4292647,254303,755054,637695,518527,621946,906811,598311,5.9,17.6,14.9,12.1,14.5,21.1,13.9
"Cullowhee, NC Micro Area",310M200US19000,19000,40598,1944,5131,10511,4443,4180,7808,6581,4.8,12.6,25.9,10.9,10.3,19.2,16.2
"Cumberland, MD-WV Metro Area",310M200US19060,19060,101888,4902,13985,18099,11829,13320,20951,18802,4.8,13.7,17.8,11.6,13.1,20.6,18.5
"Dallas-Fort Worth-Arlington, TX Metro Area",310M200US19100,19100,6703020,497463,1326340,1118391,985401,972622,1160133,642670,7.4,19.8,16.7,14.7,14.5,17.3,9.6
"Dalton, GA Metro Area",310M200US19140,19140,142548,10217,28449,22879,18132,20916,24993,16962,7.2,20.0,16.1,12.7,14.7,17.5,11.9
"Danville, IL Metro Area",310M200US19180,19180,80773,5343,14232,11407,9549,9907,16874,13461,6.6,17.6,14.1,11.8,12.3,20.9,16.7
"Danville, KY Micro Area",310M200US19220,19220,53696,3173,8776,8320,6468,7327,10752,8880,5.9,16.3,15.5,12.0,13.6,20.0,16.5
"Danville, VA Micro Area",310M200US19260,19260,105659,5706,16470,14441,10995,14170,24014,19863,5.4,15.6,13.7,10.4,13.4,22.7,18.8
"Daphne-Fairhope-Foley, AL Metro Area",310M200US19300,19300,191205,11402,31784,25387,21838,26870,40142,33782,6.0,16.6,13.3,11.4,14.1,21.0,17.7
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M200US19340,19340,381913,24121,64749,57176,47750,48425,79849,59843,6.3,17.0,15.0,12.5,12.7,20.9,15.7
"Dayton, OH Metro Area",310M200US19380,19380,801259,48165,131847,133157,93323,104045,165125,125597,6.0,16.5,16.6,11.6,13.0,20.6,15.7
"Dayton, TN Micro Area",310M200US19420,19420,32272,1684,5812,4798,3583,4514,6499,5382,5.2,18.0,14.9,11.1,14.0,20.1,16.7
"Decatur, AL Metro Area",310M200US19460,19460,153579,9306,26413,22317,19264,21392,31811,23076,6.1,17.2,14.5,12.5,13.9,20.7,15.0
"Decatur, IL Metro Area",310M200US19500,19500,109833,6798,17963,16722,12800,13293,23569,18688,6.2,16.4,15.2,11.7,12.1,21.5,17.0
"Decatur, IN Micro Area",310M200US19540,19540,34533,3233,7578,4807,3697,4260,6105,4853,9.4,21.9,13.9,10.7,12.3,17.7,14.1
"Defiance, OH Micro Area",310M200US19580,19580,38795,2326,6989,5694,4733,4639,8200,6214,6.0,18.0,14.7,12.2,12.0,21.1,16.0
"Del Rio, TX Micro Area",310M200US19620,19620,48999,4051,10299,8905,6159,5824,7384,6377,8.3,21.0,18.2,12.6,11.9,15.1,13.0
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M200US19660,19660,597824,28501,82091,82317,59501,75136,133382,136896,4.8,13.7,13.8,10.0,12.6,22.3,22.9
"Deming, NM Micro Area",310M200US19700,19700,24947,1798,4825,3511,2577,2720,4568,4948,7.2,19.3,14.1,10.3,10.9,18.3,19.8
"Denver-Aurora-Lakewood, CO Metro Area",310M200US19740,19740,2651392,178411,465841,433321,403184,379027,503849,287759,6.7,17.6,16.3,15.2,14.3,19.0,10.9
"Dickinson, ND Micro Area",310M200US19860,19860,27038,1815,4385,5154,3375,3172,5269,3868,6.7,16.2,19.1,12.5,11.7,19.5,14.3
"Dixon, IL Micro Area",310M200US19940,19940,35248,1934,5422,5019,4254,5030,7752,5837,5.5,15.4,14.2,12.1,14.3,22.0,16.6
"Dodge City, KS Micro Area",310M200US19980,19980,34604,3579,7085,6324,4438,4267,5421,3490,10.3,20.5,18.3,12.8,12.3,15.7,10.1
"Dothan, AL Metro Area",310M200US20020,20020,147165,9122,25439,20858,18198,19744,29860,23944,6.2,17.3,14.2,12.4,13.4,20.3,16.3
"Douglas, GA Micro Area",310M200US20060,20060,42947,2959,7875,7637,6249,5514,7647,5066,6.9,18.3,17.8,14.6,12.8,17.8,11.8
"Dover, DE Metro Area",310M200US20100,20100,167477,11090,29398,29531,20533,21457,31099,24369,6.6,17.6,17.6,12.3,12.8,18.6,14.6
"Dublin, GA Micro Area",310M200US20140,20140,57878,3746,10330,8368,7516,7633,11460,8825,6.5,17.8,14.5,13.0,13.2,19.8,15.2
"DuBois, PA Micro Area",310M200US20180,20180,81472,3858,11793,11244,9909,12097,17832,14739,4.7,14.5,13.8,12.2,14.8,21.9,18.1
"Dubuque, IA Metro Area",310M200US20220,20220,95166,5850,16328,15943,10615,12197,19424,14809,6.1,17.2,16.8,11.2,12.8,20.4,15.6
"Duluth, MN-WI Metro Area",310M200US20260,20260,279894,15185,41333,49220,31576,34493,62841,45246,5.4,14.8,17.6,11.3,12.3,22.5,16.2
"Dumas, TX Micro Area",310M200US20300,20300,22172,2029,4994,3794,3154,2534,3502,2165,9.2,22.5,17.1,14.2,11.4,15.8,9.8
"Duncan, OK Micro Area",310M200US20340,20340,44900,2869,7905,6232,5357,5246,9395,7896,6.4,17.6,13.9,11.9,11.7,20.9,17.6
"Dunn, NC Micro Area",310M200US20380,20380,121789,9536,24017,21162,17691,16322,20080,12981,7.8,19.7,17.4,14.5,13.4,16.5,10.7
"Durango, CO Micro Area",310M200US20420,20420,52547,2858,7602,9505,7115,6499,12185,6783,5.4,14.5,18.1,13.5,12.4,23.2,12.9
"Durant, OK Micro Area",310M200US20460,20460,43595,2917,7262,7846,5261,5161,7982,7166,6.7,16.7,18.0,12.1,11.8,18.3,16.4
"Durham-Chapel Hill, NC Metro Area",310M200US20500,20500,525050,32983,80506,104661,73061,71132,98791,63916,6.3,15.3,19.9,13.9,13.5,18.8,12.2
"Dyersburg, TN Micro Area",310M200US20540,20540,38156,2356,6968,5315,4219,5619,7802,5877,6.2,18.3,13.9,11.1,14.7,20.4,15.4
"Eagle Pass, TX Micro Area",310M200US20580,20580,55821,4932,13292,9707,6424,7005,8371,6090,8.8,23.8,17.4,11.5,12.5,15.0,10.9
"Easton, MD Micro Area",310M200US20660,20660,37894,1762,5420,4407,3186,5048,8526,9545,4.6,14.3,11.6,8.4,13.3,22.5,25.2
"East Stroudsburg, PA Metro Area",310M200US20700,20700,168342,7961,29704,26678,17387,25078,38141,23393,4.7,17.6,15.8,10.3,14.9,22.7,13.9
"Eau Claire, WI Metro Area",310M200US20740,20740,163658,9600,25774,33226,20092,19911,32152,22903,5.9,15.7,20.3,12.3,12.2,19.6,14.0
"Edwards, CO Micro Area",310M200US20780,20780,52233,2819,9498,9090,9169,8172,9906,3579,5.4,18.2,17.4,17.6,15.6,19.0,6.9
"Effingham, IL Micro Area",310M200US20820,20820,34280,2191,6106,5086,4030,4322,7067,5478,6.4,17.8,14.8,11.8,12.6,20.6,16.0
"El Campo, TX Micro Area",310M200US20900,20900,41219,2874,7963,6242,4862,5005,8032,6241,7.0,19.3,15.1,11.8,12.1,19.5,15.1
"El Centro, CA Metro Area",310M200US20940,20940,177026,14348,36645,32577,23227,21982,28426,19821,8.1,20.7,18.4,13.1,12.4,16.1,11.2
"El Dorado, AR Micro Area",310M200US20980,20980,40954,2679,7061,5671,5300,5039,8579,6625,6.5,17.2,13.8,12.9,12.3,20.9,16.2
"Ellensburg, WA Micro Area",310M200US21260,21260,41705,2090,5484,12249,3862,4746,7593,5681,5.0,13.1,29.4,9.3,11.4,18.2,13.6
"Elmira, NY Metro Area",310M200US21300,21300,88681,5191,14348,13479,10427,11910,19228,14098,5.9,16.2,15.2,11.8,13.4,21.7,15.9
"El Paso, TX Metro Area",310M200US21340,21340,827206,67062,173769,156548,107337,103337,130617,88536,8.1,21.0,18.9,13.0,12.5,15.8,10.7
"Emporia, KS Micro Area",310M200US21380,21380,33510,2219,5454,8107,3513,3930,5930,4357,6.6,16.3,24.2,10.5,11.7,17.7,13.0
"Enid, OK Micro Area",310M200US21420,21420,61663,4555,10996,10062,8011,6677,11900,9462,7.4,17.8,16.3,13.0,10.8,19.3,15.3
"Enterprise, AL Micro Area",310M200US21460,21460,50726,3289,8835,7762,6805,6700,9682,7653,6.5,17.4,15.3,13.4,13.2,19.1,15.1
"Erie, PA Metro Area",310M200US21500,21500,280132,16396,45829,49850,31769,35784,58333,42171,5.9,16.4,17.8,11.3,12.8,20.8,15.1
"Escanaba, MI Micro Area",310M200US21540,21540,36841,1890,5651,4385,3843,4520,9099,7453,5.1,15.3,11.9,10.4,12.3,24.7,20.2
"Española, NM Micro Area",310M200US21580,21580,40155,2799,7022,5867,4681,5022,8642,6122,7.0,17.5,14.6,11.7,12.5,21.5,15.2
"Eugene, OR Metro Area",310M200US21660,21660,354764,17814,50967,68716,43009,41658,75209,57391,5.0,14.4,19.4,12.1,11.7,21.2,16.2
"Eureka-Arcata-Fortuna, CA Micro Area",310M200US21700,21700,134876,7417,19107,27070,18175,14892,29139,19076,5.5,14.2,20.1,13.5,11.0,21.6,14.1
"Evanston, WY Micro Area",310M200US21740,21740,20989,1662,4601,2882,3153,2326,4308,2057,7.9,21.9,13.7,15.0,11.1,20.5,9.8
"Evansville, IN-KY Metro Area",310M200US21780,21780,313450,19838,52103,50621,37752,40605,66160,46371,6.3,16.6,16.1,12.0,13.0,21.1,14.8
"Fairbanks, AK Metro Area",310M200US21820,21820,99319,7871,16849,23857,13858,12237,17449,7198,7.9,17.0,24.0,14.0,12.3,17.6,7.2
"Fairfield, IA Micro Area",310M200US21840,21840,17102,783,2451,2945,1913,1801,4422,2787,4.6,14.3,17.2,11.2,10.5,25.9,16.3
"Fairmont, WV Micro Area",310M200US21900,21900,56698,3196,8141,9371,6534,7658,11933,9865,5.6,14.4,16.5,11.5,13.5,21.0,17.4
"Elizabeth City, NC Micro Area",310M200US21020,21020,63867,3792,10364,10157,7779,8399,13033,10343,5.9,16.2,15.9,12.2,13.2,20.4,16.2
"Elizabethtown-Fort Knox, KY Metro Area",310M200US21060,21060,150917,10387,27905,25142,19722,21085,28878,17798,6.9,18.5,16.7,13.1,14.0,19.1,11.8
"Elk City, OK Micro Area",310M200US21120,21120,22941,1840,3832,4106,3206,2955,4213,2789,8.0,16.7,17.9,14.0,12.9,18.4,12.2
"Elkhart-Goshen, IN Metro Area",310M200US21140,21140,199544,15573,40738,30161,25706,25751,36294,25321,7.8,20.4,15.1,12.9,12.9,18.2,12.7
"Elkins, WV Micro Area",310M200US21180,21180,29446,1588,4203,4287,3327,4114,6419,5508,5.4,14.3,14.6,11.3,14.0,21.8,18.7
"Elko, NV Micro Area",310M200US21220,21220,52752,4037,10947,8791,6831,7392,10041,4713,7.7,20.8,16.7,12.9,14.0,19.0,8.9
"Fallon, NV Micro Area",310M200US21980,21980,24347,1609,4168,3845,3008,2768,4886,4063,6.6,17.1,15.8,12.4,11.4,20.1,16.7
"Fargo, ND-MN Metro Area",310M200US22020,22020,218290,15140,33439,54163,30512,24786,36732,23518,6.9,15.3,24.8,14.0,11.4,16.8,10.8
"Faribault-Northfield, MN Micro Area",310M200US22060,22060,64829,3885,10895,13285,7258,8952,12046,8508,6.0,16.8,20.5,11.2,13.8,18.6,13.1
"Farmington, MO Micro Area",310M200US22100,22100,65813,3618,10302,11016,8769,9428,13064,9616,5.5,15.7,16.7,13.3,14.3,19.9,14.6
"Farmington, NM Metro Area",310M200US22140,22140,127358,9751,25784,21445,16413,14965,24001,14999,7.7,20.2,16.8,12.9,11.8,18.8,11.8
"Fernley, NV Micro Area",310M200US22280,22280,51579,2965,9151,6327,5940,6485,11473,9238,5.7,17.7,12.3,11.5,12.6,22.2,17.9
"Fayetteville, NC Metro Area",310M200US22180,22180,374036,31682,68298,80001,50968,46310,60366,36411,8.5,18.3,21.4,13.6,12.4,16.1,9.7
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",310M200US22220,22220,483396,35862,91618,88760,69196,62423,79145,56392,7.4,19.0,18.4,14.3,12.9,16.4,11.7
"Fergus Falls, MN Micro Area",310M200US22260,22260,57417,3277,9029,6608,5439,6962,13659,12443,5.7,15.7,11.5,9.5,12.1,23.8,21.7
"Findlay, OH Micro Area",310M200US22300,22300,75290,4561,12715,12355,9090,9762,15376,11431,6.1,16.9,16.4,12.1,13.0,20.4,15.2
"Fitzgerald, GA Micro Area",310M200US22340,22340,17547,1372,3187,2671,1751,2532,3484,2550,7.8,18.2,15.2,10.0,14.4,19.9,14.5
"Flagstaff, AZ Metro Area",310M200US22380,22380,135817,8581,22088,35597,16354,15062,24654,13481,6.3,16.3,26.2,12.0,11.1,18.2,9.9
"Flint, MI Metro Area",310M200US22420,22420,418654,25893,75196,62081,50422,56227,87463,61372,6.2,18.0,14.8,12.0,13.4,20.9,14.7
"Florence, SC Metro Area",310M200US22500,22500,206219,13230,36417,31599,25101,27580,42555,29737,6.4,17.7,15.3,12.2,13.4,20.6,14.4
"Florence-Muscle Shoals, AL Metro Area",310M200US22520,22520,147271,8060,23288,23450,16173,19804,30549,25947,5.5,15.8,15.9,11.0,13.4,20.7,17.6
"Fond du Lac, WI Metro Area",310M200US22540,22540,101709,5771,16813,14922,11952,14170,22072,16009,5.7,16.5,14.7,11.8,13.9,21.7,15.7
"Forest City, NC Micro Area",310M200US22580,22580,67181,3628,10997,8590,7479,9422,14718,12347,5.4,16.4,12.8,11.1,14.0,21.9,18.4
"Forrest City, AR Micro Area",310M200US22620,22620,27642,1833,4580,4330,4017,3696,5597,3589,6.6,16.6,15.7,14.5,13.4,20.2,13.0
"Fort Collins, CO Metro Area",310M200US22660,22660,311435,17381,47554,67475,39506,37838,61446,40235,5.6,15.3,21.7,12.7,12.1,19.7,12.9
"Fort Dodge, IA Micro Area",310M200US22700,22700,37399,2190,5919,6463,4167,4392,7952,6316,5.9,15.8,17.3,11.1,11.7,21.3,16.9
"Fort Leonard Wood, MO Micro Area",310M200US22780,22780,53343,4051,8517,17512,7584,5230,6649,3800,7.6,16.0,32.8,14.2,9.8,12.5,7.1
"Fort Madison-Keokuk, IA-IL-MO Micro Area",310M200US22800,22800,61361,3498,9807,8187,6567,7858,13860,11584,5.7,16.0,13.3,10.7,12.8,22.6,18.9
"Fort Morgan, CO Micro Area",310M200US22820,22820,28342,2120,5620,4300,3450,3406,5274,4172,7.5,19.8,15.2,12.2,12.0,18.6,14.7
"Fort Polk South, LA Micro Area",310M200US22860,22860,52844,4839,9545,12107,7989,5700,7430,5234,9.2,18.1,22.9,15.1,10.8,14.1,9.9
