CBSA,GEOID,total,child,taxbase,O65,Pchild,Ptaxbase,PO65,homevalue,O*total,O*child,O*taxbase,O*O65,O*Pchild,O*Ptaxbase,O*PO65,O*homevalue,Name,State,Area,CBSAFIPS,O65percchange,taxbasepercchange,childpercchange,totalpercchange,O65sharechange,taxbasesharechange,childsharechange,O65realchange,taxbaserealchange,childrealchange,totalrealchange,homepercchange,homerealchange
"Fallon, NV Micro Area",310M500US21980,24259,5536,14193,4530,22.8,58.5,18.7,191500,24347,5777,14507,4063,23.7,59.6,16.7,144900,Fallon, NV, Micro,21980,11.49,-2.16,-4.17,-0.36,2.0,-1.1000000000000014,-0.8999999999999986,467,-314,-241,-88,32.16,46600
"Fort Morgan, CO Micro Area",310M500US22820,28517,7426,16707,4384,26.0,58.6,15.4,201200,28342,7740,16430,4172,27.3,58.0,14.7,135000,Fort Morgan, CO, Micro,22820,5.08,1.69,-4.06,0.62,0.7000000000000011,0.6000000000000014,-1.3000000000000007,212,277,-314,175,49.04,66200
"Fort Polk South, LA Micro Area",310M500US22860,49646,12452,31371,5823,25.1,63.2,11.7,119300,52844,14384,33226,5234,27.2,62.9,9.9,93400,Fort Polk South, LA, Micro,22860,11.25,-5.58,-13.43,-6.05,1.799999999999999,0.30000000000000426,-2.099999999999998,589,-1855,-1932,-3198,27.73,25900
"Fort Smith, AR-OK Metro Area",310M500US22900,249777,60392,148283,41102,24.2,59.4,16.5,115000,280394,69831,169680,40883,24.9,60.5,14.6,101400,Fort Smith, AR,-OK Me,22900,0.54,-12.61,-13.52,-10.92,1.9000000000000004,-1.1000000000000014,-0.6999999999999993,219,-21397,-9439,-30617,13.41,13600
"Fargo, ND-MN Metro Area",310M500US22020,240421,55123,156553,28745,22.9,65.1,12.0,215200,218290,48579,146193,23518,22.3,67.0,10.8,161400,Fargo, ND,-MN Me,22020,22.23,7.09,13.47,10.14,1.1999999999999993,-1.9000000000000057,0.5999999999999979,5227,10360,6544,22131,33.33,53800
"Faribault-Northfield, MN Micro Area",310M500US22060,66185,14519,41640,10026,21.9,62.9,15.1,208600,64829,14780,41541,8508,22.8,64.1,13.1,187100,Faribault-Northfield, MN, Micro,22060,17.84,0.24,-1.77,2.09,2.0,-1.1999999999999957,-0.9000000000000021,1518,99,-261,1356,11.49,21500
"Farmington, MO Micro Area",310M500US22100,66643,13996,41851,10796,21.0,62.8,16.2,121000,65813,13920,42277,9616,21.2,64.2,14.6,99600,Farmington, MO, Micro,22100,12.27,-1.01,0.55,1.26,1.5999999999999996,-1.4000000000000057,-0.1999999999999993,1180,-426,76,830,21.49,21400
"Farmington, NM Metro Area",310M500US22140,126515,34030,74456,18029,26.9,58.9,14.3,151200,127358,35535,76824,14999,27.9,60.3,11.8,144100,Farmington, NM, Metro,22140,20.2,-3.08,-4.24,-0.66,2.5,-1.3999999999999986,-1.0,3030,-2368,-1505,-843,4.93,7100
"Fayetteville, NC Metro Area",310M500US22180,519101,132120,327177,59804,25.5,63.0,11.5,141000,374036,99980,237645,36411,26.7,63.5,9.7,130500,Fayetteville, NC, Metro,22180,64.25,37.67,32.15,38.78,1.8000000000000007,-0.5,-1.1999999999999993,23393,89532,32140,145065,8.05,10500
"Fergus Falls, MN Micro Area",310M500US22260,58195,12635,31981,13579,21.7,55.0,23.3,189100,57417,12306,32668,12443,21.4,56.9,21.7,162000,Fergus Falls, MN, Micro,22260,9.13,-2.1,2.67,1.35,1.6000000000000014,-1.8999999999999986,0.3000000000000007,1136,-687,329,778,16.73,27100
"Fernley, NV Micro Area",310M500US22280,54380,11766,31242,11372,21.6,57.5,20.9,214900,51579,12116,30225,9238,23.5,58.6,17.9,129300,Fernley, NV, Micro,22280,23.1,3.36,-2.89,5.43,3.0,-1.1000000000000014,-1.8999999999999986,2134,1017,-350,2801,66.2,85600
"Findlay, OH Micro Area",310M500US22300,75837,16937,46277,12623,22.3,61.0,16.6,147600,75290,17276,46583,11431,22.9,61.9,15.2,124500,Findlay, OH, Micro,22300,10.43,-0.66,-1.96,0.73,1.4000000000000021,-0.8999999999999986,-0.5999999999999979,1192,-306,-339,547,18.55,23100
"Fitzgerald, GA Micro Area",310M500US22340,17033,4274,9909,2850,25.1,58.2,16.7,83400,17547,4559,10438,2550,26.0,59.5,14.5,80400,Fitzgerald, GA, Micro,22340,11.76,-5.07,-6.25,-2.93,2.1999999999999993,-1.2999999999999972,-0.8999999999999986,300,-529,-285,-514,3.73,3000
"Flagstaff, AZ Metro Area",310M500US22380,141274,29304,94987,16983,20.7,67.2,12.0,280900,135817,30669,91667,13481,22.6,67.5,9.9,217200,Flagstaff, AZ, Metro,22380,25.98,3.62,-4.45,4.02,2.0999999999999996,-0.29999999999999716,-1.9000000000000021,3502,3320,-1365,5457,29.33,63700
"Flint, MI Metro Area",310M500US22420,407875,92788,245750,69337,22.7,60.3,17.0,111100,418654,101089,256193,61372,24.1,61.2,14.7,88300,Flint, MI, Metro,22420,12.98,-4.08,-8.21,-2.57,2.3000000000000007,-0.9000000000000057,-1.4000000000000021,7965,-10443,-8301,-10779,25.82,22800
"Florence, SC Metro Area",310M500US22500,205502,48005,122532,34965,23.4,59.6,17.0,118600,206219,49647,126835,29737,24.1,61.5,14.4,106100,Florence, SC, Metro,22500,17.58,-3.39,-3.31,-0.35,2.5999999999999996,-1.8999999999999986,-0.7000000000000028,5228,-4303,-1642,-717,11.78,12500
"Florence-Muscle Shoals, AL Metro Area",310M500US22520,147327,29862,88593,28872,20.3,60.1,19.6,135300,147271,31348,89976,25947,21.3,61.1,17.6,110400,Florence-Muscle Shoals, AL, Metro,22520,11.27,-1.54,-4.74,0.04,2.0,-1.0,-1.0,2925,-1383,-1486,56,22.55,24900
"Fond du Lac, WI Metro Area",310M500US22540,102597,21949,62283,18365,21.4,60.7,17.9,157800,101709,22584,63116,16009,22.2,62.1,15.7,146200,Fond du Lac, WI, Metro,22540,14.72,-1.32,-2.81,0.87,2.1999999999999993,-1.3999999999999986,-0.8000000000000007,2356,-833,-635,888,7.93,11600
"Forest City, NC Micro Area",310M500US22580,66599,13794,38722,14083,20.7,58.1,21.1,118300,67181,14625,40209,12347,21.8,59.9,18.4,106500,Forest City, NC, Micro,22580,14.06,-3.7,-5.68,-0.87,2.700000000000003,-1.7999999999999972,-1.1000000000000014,1736,-1487,-831,-582,11.08,11800
"Fort Leonard Wood, MO Micro Area",310M500US22780,52425,11522,36528,4375,22.0,69.7,8.3,159200,53343,12568,36975,3800,23.6,69.3,7.1,126000,Fort Leonard Wood, MO, Micro,22780,15.13,-1.21,-8.32,-1.72,1.200000000000001,0.4000000000000057,-1.6000000000000014,575,-447,-1046,-918,26.35,33200
"Fort Madison-Keokuk, IA-IL-MO Micro Area",310M500US22800,58989,12785,33900,12304,21.7,57.5,20.9,91100,61361,13305,36472,11584,21.7,59.4,18.9,84100,Fort Madison-Keokuk, IA,-IL-MO,22800,6.22,-7.05,-3.91,-3.87,2.0,-1.8999999999999986,0.0,720,-2572,-520,-2372,8.32,7000
"Fort Wayne, IN Metro Area",310M500US23060,406305,104105,243306,58894,25.6,59.9,14.5,130700,422029,110662,256837,54530,26.2,60.9,12.9,114100,Fort Wayne, IN, Metro,23060,8.0,-5.27,-5.93,-3.73,1.5999999999999996,-1.0,-0.5999999999999979,4364,-13531,-6557,-15724,14.55,16600
"Frankfort, IN Micro Area",310M500US23140,32273,8460,18599,5214,26.2,57.6,16.2,111500,32987,8619,19462,4906,26.1,59.0,14.9,96600,Frankfort, IN, Micro,23140,6.28,-4.43,-1.84,-2.16,1.299999999999999,-1.3999999999999986,0.09999999999999787,308,-863,-159,-714,15.42,14900
"Frankfort, KY Micro Area",310M500US23180,72938,15918,44956,12064,21.8,61.6,16.5,144900,71173,15922,45094,10157,22.4,63.4,14.3,137000,Frankfort, KY, Micro,23180,18.78,-0.31,-0.03,2.48,2.1999999999999993,-1.7999999999999972,-0.5999999999999979,1907,-138,-4,1765,5.77,7900
"Fredericksburg, TX Micro Area",310M500US23240,26459,5330,13371,7758,20.1,50.5,29.3,286900,25179,4924,13183,7072,19.6,52.4,28.1,218600,Fredericksburg, TX, Micro,23240,9.7,1.43,8.25,5.08,1.1999999999999993,-1.8999999999999986,0.5,686,188,406,1280,31.24,68300
"Freeport, IL Micro Area",310M500US23300,45093,9738,25396,9959,21.6,56.3,22.1,97800,47053,10406,27345,9302,22.1,58.1,19.8,100300,Freeport, IL, Micro,23300,7.06,-7.13,-6.42,-4.17,2.3000000000000007,-1.8000000000000043,-0.5,657,-1949,-668,-1960,-2.49,-2500
"Fremont, NE Micro Area",310M500US23340,36665,8787,20901,6977,24.0,57.0,19.0,130200,36742,8695,21233,6814,23.7,57.8,18.5,110100,Fremont, NE, Micro,23340,2.39,-1.56,1.06,-0.21,0.5,-0.7999999999999972,0.3000000000000007,163,-332,92,-77,18.26,20100
"Fremont, OH Micro Area",310M500US23380,59029,13394,34738,10897,22.7,58.8,18.5,115400,60498,14327,36480,9691,23.7,60.3,16.0,109400,Fremont, OH, Micro,23380,12.44,-4.78,-6.51,-2.43,2.5,-1.5,-1.0,1206,-1742,-933,-1469,5.48,6000
"Fresno, CA Metro Area",310M500US23420,984521,280844,585900,117777,28.5,59.5,12.0,255000,948844,277827,570453,100564,29.3,60.1,10.6,191700,Fresno, CA, Metro,23420,17.12,2.71,1.09,3.76,1.4000000000000004,-0.6000000000000014,-0.8000000000000007,17213,15447,3017,35677,33.02,63300
"Gadsden, AL Metro Area",310M500US23460,102748,22169,61322,19257,21.6,59.7,18.7,113700,104126,23429,63532,17165,22.5,61.0,16.5,100400,Gadsden, AL, Metro,23460,12.19,-3.48,-5.38,-1.32,2.1999999999999993,-1.2999999999999972,-0.8999999999999986,2092,-2210,-1260,-1378,13.25,13300
"Gaffney, SC Micro Area",310M500US23500,56895,13222,34411,9262,23.2,60.5,16.3,101500,55707,13486,34280,7941,24.2,61.5,14.3,84100,Gaffney, SC, Micro,23500,16.64,0.38,-1.96,2.13,2.0,-1.0,-1.0,1321,131,-264,1188,20.69,17400
"Gainesville, FL Metro Area",310M500US23540,323799,59426,214689,49684,18.4,66.3,15.3,167500,268707,48729,187772,32206,18.1,69.9,12.0,160600,Gainesville, FL, Metro,23540,54.27,14.33,21.95,20.5,3.3000000000000007,-3.6000000000000085,0.29999999999999716,17478,26917,10697,55092,4.3,6900
"Gainesville, GA Metro Area",310M500US23580,198667,50926,118829,28912,25.6,59.8,14.6,201300,185318,50484,111773,23061,27.2,60.3,12.4,162200,Gainesville, GA, Metro,23580,25.37,6.31,0.88,7.2,2.1999999999999993,-0.5,-1.5999999999999979,5851,7056,442,13349,24.11,39100
"Gainesville, TX Micro Area",310M500US23620,40041,9550,23222,7269,23.9,58.0,18.2,161100,38558,9530,22680,6348,24.7,58.8,16.5,114800,Gainesville, TX, Micro,23620,14.51,2.39,0.21,3.85,1.6999999999999993,-0.7999999999999972,-0.8000000000000007,921,542,20,1483,40.33,46300
"Galesburg, IL Micro Area",310M500US23660,50508,9991,29989,10528,19.8,59.4,20.8,83000,52447,10563,31911,9973,20.1,60.8,19.0,80800,Galesburg, IL, Micro,23660,5.57,-6.02,-5.42,-3.7,1.8000000000000007,-1.3999999999999986,-0.3000000000000007,555,-1922,-572,-1939,2.72,2200
"Gallup, NM Micro Area",310M500US23700,72438,20982,42846,8610,29.0,59.1,11.9,64800,73082,22371,43323,7388,30.6,59.3,10.1,70600,Gallup, NM, Micro,23700,16.54,-1.1,-6.21,-0.88,1.8000000000000007,-0.19999999999999574,-1.6000000000000014,1222,-477,-1389,-644,-8.22,-5800
"Garden City, KS Micro Area",310M500US23780,40657,12400,23780,4477,30.5,58.5,11.0,149600,41049,12902,24282,3865,31.4,59.2,9.4,109700,Garden City, KS, Micro,23780,15.83,-2.07,-3.89,-0.95,1.5999999999999996,-0.7000000000000028,-0.8999999999999986,612,-502,-502,-392,36.37,39900
"Gardnerville Ranchos, NV Micro Area",310M500US23820,48132,8171,26770,13191,17.0,55.6,27.4,378800,47135,8988,27547,10600,19.1,58.4,22.5,267200,Gardnerville Ranchos, NV, Micro,23820,24.44,-2.82,-9.09,2.12,4.899999999999999,-2.799999999999997,-2.1000000000000014,2591,-777,-817,997,41.77,111600
"Georgetown, SC Micro Area",310M500US23860,61952,11567,33671,16714,18.7,54.4,27.0,188800,60389,12469,34523,13397,20.6,57.2,22.2,155300,Georgetown, SC, Micro,23860,24.76,-2.47,-7.23,2.59,4.800000000000001,-2.8000000000000043,-1.9000000000000021,3317,-852,-902,1563,21.57,33500
"Gettysburg, PA Metro Area",310M500US23900,102470,20804,61362,20304,20.3,59.9,19.8,205800,101566,21684,62668,17214,21.3,61.7,16.9,194100,Gettysburg, PA, Metro,23900,17.95,-2.08,-4.06,0.89,2.900000000000002,-1.8000000000000043,-1.0,3090,-1306,-880,904,6.03,11700
"Gillette, WY Micro Area",310M500US23940,61930,16450,38320,7160,26.6,61.9,11.6,218400,47448,13296,31155,2997,28.0,65.7,6.3,206500,Gillette, WY, Micro,23940,138.91,23.0,23.72,30.52,5.3,-3.8000000000000043,-1.3999999999999986,4163,7165,3154,14482,5.76,11900
"Glasgow, KY Micro Area",310M500US23980,53920,12786,31725,9409,23.7,58.8,17.4,113200,52716,12533,31543,8640,23.8,59.8,16.4,95100,Glasgow, KY, Micro,23980,8.9,0.58,2.02,2.28,1.0,-1.0,-0.10000000000000142,769,182,253,1204,19.03,18100
"Glens Falls, NY Metro Area",310M500US24020,125892,23544,76841,25507,18.7,61.0,20.3,172400,128298,25639,80366,22293,20.0,62.6,17.4,165100,Glens Falls, NY, Metro,24020,14.42,-4.39,-8.17,-1.88,2.900000000000002,-1.6000000000000014,-1.3000000000000007,3214,-3525,-2095,-2406,4.42,7300
"Glenwood Springs, CO Micro Area",310M500US24060,76981,17862,48450,10669,23.2,62.9,13.9,385300,73987,17899,48107,7981,24.2,65.0,10.8,322800,Glenwood Springs, CO, Micro,24060,33.68,0.71,-0.21,4.05,3.0999999999999996,-2.1000000000000014,-1.0,2688,343,-37,2994,19.36,62500
"Gloversville, NY Micro Area",310M500US24100,53646,10936,32499,10211,20.4,60.6,19.0,109600,54870,11686,33918,9266,21.3,61.8,16.9,107500,Gloversville, NY, Micro,24100,10.2,-4.18,-6.42,-2.23,2.1000000000000014,-1.1999999999999957,-0.9000000000000021,945,-1419,-750,-1224,1.95,2100
"Goldsboro, NC Metro Area",310M500US24140,123603,29412,74423,19768,23.8,60.2,16.0,123500,124093,30310,76826,16957,24.4,61.9,13.7,108000,Goldsboro, NC, Metro,24140,16.58,-3.13,-2.96,-0.39,2.3000000000000007,-1.6999999999999957,-0.5999999999999979,2811,-2403,-898,-490,14.35,15500
"Grand Forks, ND-MN Metro Area",310M500US24220,101745,22194,65247,14304,21.8,64.1,14.1,192100,99774,21188,65869,12717,21.2,66.0,12.7,146700,Grand Forks, ND,-MN Me,24220,12.48,-0.94,4.75,1.98,1.4000000000000004,-1.9000000000000057,0.6000000000000014,1587,-622,1006,1971,30.95,45400
"Grand Island, NE Metro Area",310M500US24260,75480,20091,43480,11909,26.6,57.6,15.8,143200,83426,21900,49016,12510,26.3,58.8,15.0,112200,Grand Island, NE, Metro,24260,-4.8,-11.29,-8.26,-9.52,0.8000000000000007,-1.1999999999999957,0.3000000000000007,-601,-5536,-1809,-7946,27.63,31000
"Grand Junction, CO Metro Area",310M500US24300,151218,33030,90109,28079,21.8,59.6,18.6,227000,147509,33840,90250,23419,22.9,61.2,15.9,203200,Grand Junction, CO, Metro,24300,19.9,-0.16,-2.39,2.51,2.700000000000001,-1.6000000000000014,-1.0999999999999979,4660,-141,-810,3709,11.71,23800
"Grants, NM Micro Area",310M500US24380,26891,6370,16324,4197,23.7,60.7,15.6,84400,27392,6691,16931,3770,24.4,61.8,13.8,86700,Grants, NM, Micro,24380,11.33,-3.59,-4.8,-1.83,1.799999999999999,-1.0999999999999943,-0.6999999999999993,427,-607,-321,-501,-2.65,-2300
"Grants Pass, OR Metro Area",310M500US24420,86251,16895,47211,22145,19.6,54.7,25.7,265500,83021,16555,47042,19424,19.9,56.7,23.4,212600,Grants Pass, OR, Metro,24420,14.01,0.36,2.05,3.89,2.3000000000000007,-2.0,-0.29999999999999716,2721,169,340,3230,24.88,52900
"Great Bend, KS Micro Area",310M500US24460,26453,6281,15186,4986,23.7,57.4,18.8,93300,27566,6783,16018,4765,24.6,58.1,17.3,79800,Great Bend, KS, Micro,24460,4.64,-5.19,-7.4,-4.04,1.5,-0.7000000000000028,-0.9000000000000021,221,-832,-502,-1113,16.92,13500
"Great Falls, MT Metro Area",310M500US24500,81625,18345,48330,14950,22.5,59.2,18.3,179900,81953,18596,50126,13231,22.7,61.2,16.1,159900,Great Falls, MT, Metro,24500,12.99,-3.58,-1.35,-0.4,2.1999999999999993,-2.0,-0.1999999999999993,1719,-1796,-251,-328,12.51,20000
"Greeley, CO Metro Area",310M500US24540,305345,80402,188726,36217,26.3,61.8,11.9,299000,265066,72265,165287,27514,27.3,62.4,10.4,196100,Greeley, CO, Metro,24540,31.63,14.18,11.26,15.2,1.5,-0.6000000000000014,-1.0,8703,23439,8137,40279,52.47,102900
"Green Bay, WI Metro Area",310M500US24580,319401,74505,195747,49149,23.3,61.3,15.4,171200,310726,74783,194840,41103,24.1,62.7,13.2,156700,Green Bay, WI, Metro,24580,19.58,0.47,-0.37,2.79,2.200000000000001,-1.4000000000000057,-0.8000000000000007,8046,907,-278,8675,9.25,14500
"Greeneville, TN Micro Area",310M500US24620,68834,13365,40902,14567,19.4,59.4,21.2,122400,68596,14090,41771,12735,20.5,60.9,18.6,109800,Greeneville, TN, Micro,24620,14.39,-2.08,-5.15,0.35,2.599999999999998,-1.5,-1.1000000000000014,1832,-869,-725,238,11.48,12600
"Greensboro-High Point, NC Metro Area",310M500US24660,762063,169491,471407,121165,22.2,61.9,15.9,149200,735777,169276,463795,102706,23.0,63.0,14.0,140000,Greensboro-High Point, NC, Metro,24660,17.97,1.64,0.13,3.57,1.9000000000000004,-1.1000000000000014,-0.8000000000000007,18459,7612,215,26286,6.57,9200
"Greensburg, IN Micro Area",310M500US24700,26562,6442,15736,4384,24.3,59.2,16.5,134400,26112,6576,15672,3864,25.2,60.0,14.8,112300,Greensburg, IN, Micro,24700,13.46,0.41,-2.04,1.72,1.6999999999999993,-0.7999999999999972,-0.8999999999999986,520,64,-134,450,19.68,22100
"Greenville, MS Micro Area",310M500US24740,46057,12034,26926,7097,26.1,58.5,15.4,75600,50038,13634,29947,6457,27.2,59.8,12.9,74000,Greenville, MS, Micro,24740,9.91,-10.09,-11.74,-7.96,2.5,-1.2999999999999972,-1.0999999999999979,640,-3021,-1600,-3981,2.16,1600
"Greenville, NC Metro Area",310M500US24780,178433,38413,117161,22859,21.5,65.7,12.8,148600,172438,38207,115917,18314,22.2,67.2,10.6,133400,Greenville, NC, Metro,24780,24.82,1.07,0.54,3.48,2.200000000000001,-1.5,-0.6999999999999993,4545,1244,206,5995,11.39,15200
"Greenville, OH Micro Area",310M500US24820,51513,12304,29348,9861,23.9,57.0,19.1,123300,52537,12918,30330,9289,24.6,57.7,17.7,110000,Greenville, OH, Micro,24820,6.16,-3.24,-4.75,-1.95,1.4000000000000021,-0.7000000000000028,-0.7000000000000028,572,-982,-614,-1024,12.09,13300
"Greenwood, MS Micro Area",310M500US24900,39292,10074,22882,6336,25.6,58.2,16.1,86900,42190,10757,25571,5862,25.5,60.6,13.9,71500,Greenwood, MS, Micro,24900,8.09,-10.52,-6.35,-6.87,2.200000000000001,-2.3999999999999986,0.10000000000000142,474,-2689,-683,-2898,21.54,15400
"Greenwood, SC Micro Area",310M500US24940,70411,16170,41482,12759,23.0,58.9,18.1,122800,94808,21861,57286,15661,23.1,60.4,16.5,97500,Greenwood, SC, Micro,24940,-18.53,-27.59,-26.03,-25.73,1.6000000000000014,-1.5,-0.10000000000000142,-2902,-15804,-5691,-24397,25.95,25300
"Grenada, MS Micro Area",310M500US24980,21088,5018,12396,3674,23.8,58.8,17.4,105000,21660,5228,13023,3409,24.1,60.1,15.7,88800,Grenada, MS, Micro,24980,7.77,-4.81,-4.02,-2.64,1.6999999999999993,-1.3000000000000043,-0.3000000000000007,265,-627,-210,-572,18.24,16200
"Guayama, PR Metro Area",310M500US25020,75623,15434,46143,14046,20.4,61.0,18.6,88000,82282,19996,50200,12086,24.3,61.0,14.7,95200,Guayama, PR, Metro,25020,16.22,-8.08,-22.81,-8.09,3.900000000000002,0.0,-3.900000000000002,1960,-4057,-4562,-6659,-7.56,-7200
"Guymon, OK Micro Area",310M500US25100,20805,5976,12549,2280,28.7,60.3,11.0,115100,21495,6005,13350,2140,27.9,62.1,10.0,90700,Guymon, OK, Micro,25100,6.54,-6.0,-0.48,-3.21,1.0,-1.8000000000000043,0.8000000000000007,140,-801,-29,-690,26.9,24400
"Hagerstown-Martinsburg, MD-WV Metro Area",310M500US25180,283147,63344,173865,45938,22.4,61.4,16.2,195300,256237,59890,160878,35469,23.4,62.8,13.8,181200,Hagerstown-Martinsburg, MD,-WV Me,25180,29.52,8.07,5.77,10.5,2.3999999999999986,-1.3999999999999986,-1.0,10469,12987,3454,26910,7.78,14100
"Hailey, ID Micro Area",310M500US25200,23421,5234,14013,4174,22.3,59.8,17.8,413700,27671,6940,16923,3808,25.1,61.2,13.8,295600,Hailey, ID, Micro,25200,9.61,-17.2,-24.58,-15.36,4.0,-1.4000000000000057,-2.8000000000000007,366,-2910,-1706,-4250,39.95,118100
"Hammond, LA Metro Area",310M500US25220,132057,32437,81129,18491,24.6,61.4,14.0,162800,124125,30952,78118,15055,24.9,62.9,12.1,135400,Hammond, LA, Metro,25220,22.82,3.85,4.8,6.39,1.9000000000000004,-1.5,-0.29999999999999716,3436,3011,1485,7932,20.24,27400
"Hanford-Corcoran, CA Metro Area",310M500US25260,150691,41039,94589,15063,27.2,62.8,10.0,215900,151390,41869,96680,12841,27.7,63.9,8.5,170000,Hanford-Corcoran, CA, Metro,25260,17.3,-2.16,-1.98,-0.46,1.5,-1.1000000000000014,-0.5,2222,-2091,-830,-699,27.0,45900
"Hannibal, MO Micro Area",310M500US25300,38842,9006,22722,7114,23.2,58.5,18.3,127800,39068,9060,23380,6628,23.2,59.8,17.0,104700,Hannibal, MO, Micro,25300,7.33,-2.81,-0.6,-0.58,1.3000000000000007,-1.2999999999999972,0.0,486,-658,-54,-226,22.06,23100
"Harrisburg-Carlisle, PA Metro Area",310M500US25420,571013,122568,349373,99072,21.5,61.2,17.4,183400,555154,120761,349805,84588,21.8,63.0,15.2,169900,Harrisburg-Carlisle, PA, Metro,25420,17.12,-0.12,1.5,2.86,2.1999999999999993,-1.7999999999999972,-0.3000000000000007,14484,-432,1807,15859,7.95,13500
"Harrison, AR Micro Area",310M500US25460,45143,10152,25409,9582,22.5,56.3,21.2,122300,45300,10147,26348,8805,22.4,58.2,19.4,99000,Harrison, AR, Micro,25460,8.82,-3.56,0.05,-0.35,1.8000000000000007,-1.9000000000000057,0.10000000000000142,777,-939,5,-157,23.54,23300
"Harrisonburg, VA Metro Area",310M500US25500,133557,26537,87129,19891,19.9,65.2,14.9,209300,128166,25872,85226,17068,20.2,66.5,13.3,198100,Harrisonburg, VA, Metro,25500,16.54,2.23,2.57,4.21,1.5999999999999996,-1.2999999999999972,-0.3000000000000007,2823,1903,665,5391,5.65,11200
"Hastings, NE Micro Area",310M500US25580,31587,7511,18480,5596,23.8,58.5,17.7,128500,31396,7423,18977,4996,23.6,60.4,15.9,101900,Hastings, NE, Micro,25580,12.01,-2.62,1.19,0.61,1.799999999999999,-1.8999999999999986,0.1999999999999993,600,-497,88,191,26.1,26600
"Hattiesburg, MS Metro Area",310M500US25620,168177,40494,104256,23427,24.1,62.0,13.9,137100,146370,35908,93003,17459,24.5,63.5,11.9,131100,Hattiesburg, MS, Metro,25620,34.18,12.1,12.77,14.9,2.0,-1.5,-0.3999999999999986,5968,11253,4586,21807,4.58,6000
"Hays, KS Micro Area",310M500US25700,28775,6321,18139,4315,22.0,63.0,15.0,169100,28878,6115,18797,3966,21.2,65.1,13.7,143200,Hays, KS, Micro,25700,8.8,-3.5,3.37,-0.36,1.3000000000000007,-2.0999999999999943,0.8000000000000007,349,-658,206,-103,18.09,25900
"Heber, UT Micro Area",310M500US25720,72811,20246,44206,8359,27.8,60.7,11.5,528400,25550,8546,14732,2272,33.4,57.7,8.9,304300,Heber, UT, Micro,25720,267.91,200.07,136.91,184.97,2.5999999999999996,3.0,-5.599999999999998,6087,29474,11700,47261,73.64,224100
"Helena, MT Micro Area",310M500US25740,79722,17127,47954,14641,21.5,60.2,18.4,248400,76237,16893,47795,11549,22.2,62.7,15.1,208500,Helena, MT, Micro,25740,26.77,0.33,1.39,4.57,3.299999999999999,-2.5,-0.6999999999999993,3092,159,234,3485,19.14,39900
"Helena-West Helena, AR Micro Area",310M500US25760,18606,4799,10432,3375,25.8,56.1,18.1,70700,20847,5735,11895,3217,27.5,57.1,15.4,63500,Helena-West Helena, AR, Micro,25760,4.91,-12.3,-16.32,-10.75,2.700000000000001,-1.0,-1.6999999999999993,158,-1463,-936,-2241,11.34,7200
"Henderson, NC Micro Area",310M500US25780,44479,10614,25915,7950,23.9,58.3,17.9,101400,44998,11092,27080,6826,24.6,60.2,15.2,99800,Henderson, NC, Micro,25780,16.47,-4.3,-4.31,-1.15,2.6999999999999993,-1.9000000000000057,-0.7000000000000028,1124,-1165,-478,-519,1.6,1600
"Hereford, TX Micro Area",310M500US25820,18736,5866,10534,2336,31.3,56.2,12.5,91100,19331,6241,10883,2207,32.3,56.3,11.4,81600,Hereford, TX, Micro,25820,5.85,-3.21,-6.01,-3.08,1.0999999999999996,-0.09999999999999432,-0.9999999999999964,129,-349,-375,-595,11.64,9500
"Hermiston-Pendleton, OR Micro Area",310M500US25840,88432,22731,52117,13584,25.7,58.9,15.4,165400,87862,23253,52957,11652,26.5,60.3,13.3,139500,Hermiston-Pendleton, OR, Micro,25840,16.58,-1.59,-2.24,0.65,2.0999999999999996,-1.3999999999999986,-0.8000000000000007,1932,-840,-522,570,18.57,25900
"Hickory-Lenoir-Morganton, NC Metro Area",310M500US25860,366678,76552,221808,68318,20.9,60.5,18.6,131600,363936,80860,224123,58953,22.2,61.6,16.2,120200,Hickory-Lenoir-Morganton, NC, Metro,25860,15.89,-1.03,-5.33,0.75,2.400000000000002,-1.1000000000000014,-1.3000000000000007,9365,-2315,-4308,2742,9.48,11400
"Hillsdale, MI Micro Area",310M500US25880,45757,10045,26993,8719,22.0,59.0,19.1,120100,46282,10615,28002,7665,22.9,60.5,16.6,100600,Hillsdale, MI, Micro,25880,13.75,-3.6,-5.37,-1.13,2.5,-1.5,-0.8999999999999986,1054,-1009,-570,-525,19.38,19500
"Hilo, HI Micro Area",310M500US25900,199459,43241,115946,40272,21.7,58.1,20.2,350000,189382,42349,116609,30424,22.4,61.6,16.1,301500,Hilo, HI, Micro,25900,32.37,-0.57,2.11,5.32,4.099999999999998,-3.5,-0.6999999999999993,9848,-663,892,10077,16.09,48500
"Hinesville, GA Metro Area",310M500US25980,80041,22555,50412,7074,28.2,63.0,8.8,124100,80456,23639,51240,5577,29.4,63.7,6.9,121300,Hinesville, GA, Metro,25980,26.84,-1.62,-4.59,-0.52,1.9000000000000004,-0.7000000000000028,-1.1999999999999993,1497,-828,-1084,-415,2.31,2800
"Hobbs, NM Micro Area",310M500US26020,70277,21141,41366,7770,30.1,58.9,11.1,133100,66876,19932,39783,7161,29.8,59.5,10.7,101400,Hobbs, NM, Micro,26020,8.5,3.98,6.07,5.09,0.40000000000000036,-0.6000000000000014,0.3000000000000007,609,1583,1209,3401,31.26,31700
