CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Picayune, MS Micro Area",310M200US38100,55293,27208,1795,28085,1642,3437,5032,4868,9900,4107,3978,8085,2748,2916,5664,4086,4039,8125,5509,5835,11344,3931,4807,8738,3.2,3.0,6.2,9.1,8.8,17.9,7.4,7.2,14.6,5.0,5.3,10.2,7.4,7.3,14.7,10.0,10.6,20.5,7.1,8.7,15.8,Picayune, MS,38100
"Pierre, SD Micro Area",310M200US38180,21824,10849,812,10975,697,1509,1876,1788,3664,1551,1560,3111,1380,1260,2640,1363,1611,2974,2342,2356,4698,1525,1703,3228,3.7,3.2,6.9,8.6,8.2,16.8,7.1,7.1,14.3,6.3,5.8,12.1,6.2,7.4,13.6,10.7,10.8,21.5,7.0,7.8,14.8,Pierre, SD,38180
"Pine Bluff, AR Metro Area",310M200US38220,97365,49596,2937,47769,2752,5689,8601,7881,16482,8939,7609,16548,6493,5612,12105,6734,6039,12773,9891,10033,19924,6001,7843,13844,3.0,2.8,5.8,8.8,8.1,16.9,9.2,7.8,17.0,6.7,5.8,12.4,6.9,6.2,13.1,10.2,10.3,20.5,6.2,8.1,14.2,Pine Bluff, AR,38220
"Pinehurst-Southern Pines, NC Micro Area",310M200US38240,90579,43410,2538,47169,2536,5074,7506,6799,14305,5162,5149,10311,5097,5400,10497,5274,5689,10963,8425,9924,18349,9408,11672,21080,2.8,2.8,5.6,8.3,7.5,15.8,5.7,5.7,11.4,5.6,6.0,11.6,5.8,6.3,12.1,9.3,11.0,20.3,10.4,12.9,23.3,Pinehurst-Southern Pines, NC,38240
"Pittsburg, KS Micro Area",310M200US38260,39277,19570,1276,19707,1090,2366,3235,2952,6187,4990,4634,9624,2328,2254,4582,2143,1984,4127,3305,3440,6745,2293,3353,5646,3.2,2.8,6.0,8.2,7.5,15.8,12.7,11.8,24.5,5.9,5.7,11.7,5.5,5.1,10.5,8.4,8.8,17.2,5.8,8.5,14.4,Pittsburg, KS,38260
"Pittsburgh, PA Metro Area",310M200US38300,2358793,1143001,61325,1215792,58623,119948,175819,167784,343603,184385,179736,364121,136748,134640,271388,153044,158748,311792,257494,272765,530259,174186,243496,417682,2.6,2.5,5.1,7.5,7.1,14.6,7.8,7.6,15.4,5.8,5.7,11.5,6.5,6.7,13.2,10.9,11.6,22.5,7.4,10.3,17.7,Pittsburgh, PA,38300
"Pittsfield, MA Metro Area",310M200US38340,130064,62674,2961,67390,2860,5821,9333,9140,18473,9710,9505,19215,6646,6569,13215,8295,9008,17303,14677,15746,30423,11052,14562,25614,2.3,2.2,4.5,7.2,7.0,14.2,7.5,7.3,14.8,5.1,5.1,10.2,6.4,6.9,13.3,11.3,12.1,23.4,8.5,11.2,19.7,Pittsfield, MA,38340
"Plainview, TX Micro Area",310M200US38380,35925,18577,1435,17348,1508,2943,3699,3557,7256,3685,2932,6617,2451,2053,4504,2378,2050,4428,2949,2807,5756,1980,2441,4421,4.0,4.2,8.2,10.3,9.9,20.2,10.3,8.2,18.4,6.8,5.7,12.5,6.6,5.7,12.3,8.2,7.8,16.0,5.5,6.8,12.3,Plainview, TX,38380
"Platteville, WI Micro Area",310M200US38420,51272,26628,1472,24644,1340,2812,4019,3840,7859,6876,4756,11632,2646,2408,5054,3017,2751,5768,5057,4934,9991,3541,4615,8156,2.9,2.6,5.5,7.8,7.5,15.3,13.4,9.3,22.7,5.2,4.7,9.9,5.9,5.4,11.2,9.9,9.6,19.5,6.9,9.0,15.9,Platteville, WI,38420
"Plattsburgh, NY Micro Area",310M200US38460,81829,42070,2055,39759,1914,3969,5889,5477,11366,8501,7547,16048,5323,4628,9951,6400,5306,11706,8727,8426,17153,5175,6461,11636,2.5,2.3,4.9,7.2,6.7,13.9,10.4,9.2,19.6,6.5,5.7,12.2,7.8,6.5,14.3,10.7,10.3,21.0,6.3,7.9,14.2,Plattsburgh, NY,38460
"Plymouth, IN Micro Area",310M200US38500,47032,23472,1706,23560,1379,3085,4731,4429,9160,3264,3029,6293,2691,2634,5325,3260,3201,6461,4750,4759,9509,3070,4129,7199,3.6,2.9,6.6,10.1,9.4,19.5,6.9,6.4,13.4,5.7,5.6,11.3,6.9,6.8,13.7,10.1,10.1,20.2,6.5,8.8,15.3,Plymouth, IN,38500
"Pocatello, ID Metro Area",310M200US38540,83394,41560,3298,41834,3262,6560,8323,7719,16042,8334,8069,16403,5369,5119,10488,4572,4890,9462,7247,7417,14664,4417,5358,9775,4.0,3.9,7.9,10.0,9.3,19.2,10.0,9.7,19.7,6.4,6.1,12.6,5.5,5.9,11.3,8.7,8.9,17.6,5.3,6.4,11.7,Pocatello, ID,38540
"Point Pleasant, WV-OH Micro Area",310M200US38580,57970,28189,1790,29781,1559,3349,4964,4807,9771,3912,3980,7892,3091,3659,6750,3804,3720,7524,6271,6498,12769,4357,5558,9915,3.1,2.7,5.8,8.6,8.3,16.9,6.7,6.9,13.6,5.3,6.3,11.6,6.6,6.4,13.0,10.8,11.2,22.0,7.5,9.6,17.1,Point Pleasant, WV,38580
"Ponca City, OK Micro Area",310M200US38620,45781,22625,1639,23156,1595,3234,4296,3969,8265,3355,3254,6609,2683,2492,5175,2682,2632,5314,4462,4696,9158,3508,4518,8026,3.6,3.5,7.1,9.4,8.7,18.1,7.3,7.1,14.4,5.9,5.4,11.3,5.9,5.7,11.6,9.7,10.3,20.0,7.7,9.9,17.5,Ponca City, OK,38620
"Ponce, PR Metro Area",310M200US38660,337919,163213,10445,174706,9962,20407,31212,29601,60813,29001,28525,57526,20412,20889,41301,19680,22282,41962,29270,33805,63075,23193,29642,52835,3.1,2.9,6.0,9.2,8.8,18.0,8.6,8.4,17.0,6.0,6.2,12.2,5.8,6.6,12.4,8.7,10.0,18.7,6.9,8.8,15.6,Ponce, PR,38660
"Pontiac, IL Micro Area",310M200US38700,38476,19286,1083,19190,1006,2089,3220,2926,6146,2875,2736,5611,2529,2321,4850,2724,2548,5272,4182,4066,8248,2673,3587,6260,2.8,2.6,5.4,8.4,7.6,16.0,7.5,7.1,14.6,6.6,6.0,12.6,7.1,6.6,13.7,10.9,10.6,21.4,6.9,9.3,16.3,Pontiac, IL,38700
"Poplar Bluff, MO Micro Area",310M200US38740,42957,20684,1392,22273,1342,2734,3717,3571,7288,2941,3074,6015,2727,2711,5438,2420,2781,5201,4297,4671,8968,3190,4123,7313,3.2,3.1,6.4,8.7,8.3,17.0,6.8,7.2,14.0,6.3,6.3,12.7,5.6,6.5,12.1,10.0,10.9,20.9,7.4,9.6,17.0,Poplar Bluff, MO,38740
"Portales, NM Micro Area",310M200US38780,20065,10179,853,9886,697,1550,1834,1788,3622,2668,2352,5020,1256,1141,2397,978,983,1961,1482,1623,3105,1108,1302,2410,4.3,3.5,7.7,9.1,8.9,18.1,13.3,11.7,25.0,6.3,5.7,11.9,4.9,4.9,9.8,7.4,8.1,15.5,5.5,6.5,12.0,Portales, NM,38780
"Port Angeles, WA Micro Area",310M200US38820,72024,35743,1673,36281,1693,3366,4959,4549,9508,4937,4014,8951,3424,3242,6666,4017,3803,7820,8195,9158,17353,8538,9822,18360,2.3,2.4,4.7,6.9,6.3,13.2,6.9,5.6,12.4,4.8,4.5,9.3,5.6,5.3,10.9,11.4,12.7,24.1,11.9,13.6,25.5,Port Angeles, WA,38820
