CBSA,GEOID,total,mtotal,mu5,ftotal,fu5,tu5,mschool,fschool,tschool,m18_20s,f18_20s,t18_20s,m30s,f30s,t30s,m40s,f40s,t40s,m50_65,f50_65,t50_65,mo65,fo65,to65,Pmu5,Pfu5,Ptu5,Pmschool,Pfschool,Ptschool,Pm18_20s,Pf18_20s,Pt18_20s,Pm30s,Pf30s,Pt30s,Pm40s,Pf40s,Pt40s,Pm50_65,Pf50_65,Pt50_65,Pmo65,Pfo65,Pto65,Name,State,CBSAFIPS
"Corning, NY Micro Area",310M200US18500,98917,49001,2816,49916,2848,5664,8515,8355,16870,6883,6589,13472,5474,5554,11028,6854,6658,13512,11052,10874,21926,7407,9038,16445,2.8,2.9,5.7,8.6,8.4,17.1,7.0,6.7,13.6,5.5,5.6,11.1,6.9,6.7,13.7,11.2,11.0,22.2,7.5,9.1,16.6,Corning, NY,18500
"Corpus Christi, TX Metro Area",310M200US18580,437528,215758,15306,221770,14624,29930,41618,39908,81526,37831,36639,74470,26932,27356,54288,27113,27904,55017,41154,42693,83847,25804,32646,58450,3.5,3.3,6.8,9.5,9.1,18.6,8.6,8.4,17.0,6.2,6.3,12.4,6.2,6.4,12.6,9.4,9.8,19.2,5.9,7.5,13.4,Corpus Christi, TX,18580
"Corsicana, TX Micro Area",310M200US18620,48073,23774,1785,24299,1717,3502,4882,4388,9270,3640,3482,7122,2460,2882,5342,3260,3017,6277,4492,4732,9224,3255,4081,7336,3.7,3.6,7.3,10.2,9.1,19.3,7.6,7.2,14.8,5.1,6.0,11.1,6.8,6.3,13.1,9.3,9.8,19.2,6.8,8.5,15.3,Corsicana, TX,18620
"Cortland, NY Micro Area",310M200US18660,49231,23903,1212,25328,1223,2435,3933,3619,7552,5434,6113,11547,2557,2567,5124,2992,3186,6178,4687,4746,9433,3088,3874,6962,2.5,2.5,4.9,8.0,7.4,15.3,11.0,12.4,23.5,5.2,5.2,10.4,6.1,6.5,12.5,9.5,9.6,19.2,6.3,7.9,14.1,Cortland, NY,18660
"Corvallis, OR Metro Area",310M200US18700,86034,43218,1901,42816,1791,3692,5591,5516,11107,13705,12043,25748,4339,4396,8735,4564,4441,9005,7943,8457,16400,5175,6172,11347,2.2,2.1,4.3,6.5,6.4,12.9,15.9,14.0,29.9,5.0,5.1,10.2,5.3,5.2,10.5,9.2,9.8,19.1,6.0,7.2,13.2,Corvallis, OR,18700
"Coshocton, OH Micro Area",310M200US18740,36768,18239,1135,18529,1086,2221,3349,3109,6458,2511,2390,4901,2075,2021,4096,2482,2438,4920,3964,4019,7983,2723,3466,6189,3.1,3.0,6.0,9.1,8.5,17.6,6.8,6.5,13.3,5.6,5.5,11.1,6.8,6.6,13.4,10.8,10.9,21.7,7.4,9.4,16.8,Coshocton, OH,18740
"Craig, CO Micro Area",310M200US18780,13286,6965,569,6321,395,964,1409,1123,2532,1011,939,1950,872,864,1736,827,768,1595,1553,1408,2961,724,824,1548,4.3,3.0,7.3,10.6,8.5,19.1,7.6,7.1,14.7,6.6,6.5,13.1,6.2,5.8,12.0,11.7,10.6,22.3,5.4,6.2,11.7,Craig, CO,18780
"Crawfordsville, IN Micro Area",310M200US18820,38183,19257,1197,18926,1148,2345,3376,3155,6531,3392,2520,5912,2071,2145,4216,2674,2665,5339,3863,3837,7700,2684,3456,6140,3.1,3.0,6.1,8.8,8.3,17.1,8.9,6.6,15.5,5.4,5.6,11.0,7.0,7.0,14.0,10.1,10.0,20.2,7.0,9.1,16.1,Crawfordsville, IN,18820
"Crescent City, CA Micro Area",310M200US18860,28066,15563,984,12503,803,1787,2283,1914,4197,2746,1726,4472,2517,1310,3827,2184,1468,3652,2834,3145,5979,2015,2137,4152,3.5,2.9,6.4,8.1,6.8,15.0,9.8,6.1,15.9,9.0,4.7,13.6,7.8,5.2,13.0,10.1,11.2,21.3,7.2,7.6,14.8,Crescent City, CA,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",310M200US18880,246805,124690,7757,122115,7988,15745,19421,18565,37986,23563,18827,42390,16079,14639,30718,16143,15841,31984,24717,25852,50569,17010,20403,37413,3.1,3.2,6.4,7.9,7.5,15.4,9.5,7.6,17.2,6.5,5.9,12.4,6.5,6.4,13.0,10.0,10.5,20.5,6.9,8.3,15.2,Crestview-Fort Walton Beach-Destin, FL,18880
"Crossville, TN Micro Area",310M200US18900,57064,27722,1394,29342,1414,2808,3965,3815,7780,3256,3126,6382,2705,2538,5243,3245,3512,6757,5598,6694,12292,7559,8243,15802,2.4,2.5,4.9,6.9,6.7,13.6,5.7,5.5,11.2,4.7,4.4,9.2,5.7,6.2,11.8,9.8,11.7,21.5,13.2,14.4,27.7,Crossville, TN,18900
"Cullman, AL Micro Area",310M200US18980,80668,40068,2639,40600,2239,4878,6960,6511,13471,6051,5643,11694,4698,4895,9593,5652,5344,10996,8120,8305,16425,5948,7663,13611,3.3,2.8,6.0,8.6,8.1,16.7,7.5,7.0,14.5,5.8,6.1,11.9,7.0,6.6,13.6,10.1,10.3,20.4,7.4,9.5,16.9,Cullman, AL,18980
"DeRidder, LA Micro Area",310M200US19760,36109,18433,1296,17676,1167,2463,3486,3263,6749,2936,2449,5385,2541,2072,4613,2490,2522,5012,3444,3561,7005,2240,2642,4882,3.6,3.2,6.8,9.7,9.0,18.7,8.1,6.8,14.9,7.0,5.7,12.8,6.9,7.0,13.9,9.5,9.9,19.4,6.2,7.3,13.5,DeRidder, LA,19760
"Des Moines-West Des Moines, IA Metro Area",310M200US19780,590741,290553,22225,300188,21185,43410,55828,52966,108794,46844,48530,95374,42065,42223,84288,41576,40707,82283,52562,55421,107983,29453,39156,68609,3.8,3.6,7.3,9.5,9.0,18.4,7.9,8.2,16.1,7.1,7.1,14.3,7.0,6.9,13.9,8.9,9.4,18.3,5.0,6.6,11.6,Des Moines-West Des Moines, IA,19780
"Detroit-Warren-Dearborn, MI Metro Area",310M200US19820,4292647,2081346,130055,2211301,124248,254303,386100,368954,755054,319564,318131,637695,251753,266774,518527,303419,318527,621946,437104,469707,906811,253351,344960,598311,3.0,2.9,5.9,9.0,8.6,17.6,7.4,7.4,14.9,5.9,6.2,12.1,7.1,7.4,14.5,10.2,10.9,21.1,5.9,8.0,13.9,Detroit-Warren-Dearborn, MI,19820
"Cullowhee, NC Micro Area",310M200US19000,40598,20102,968,20496,976,1944,2784,2347,5131,5295,5216,10511,2084,2359,4443,2257,1923,4180,3705,4103,7808,3009,3572,6581,2.4,2.4,4.8,6.9,5.8,12.6,13.0,12.8,25.9,5.1,5.8,10.9,5.6,4.7,10.3,9.1,10.1,19.2,7.4,8.8,16.2,Cullowhee, NC,19000
"Cumberland, MD-WV Metro Area",310M200US19060,101888,52096,2514,49792,2388,4902,7224,6761,13985,9920,8179,18099,6602,5227,11829,7193,6127,13320,10474,10477,20951,8169,10633,18802,2.5,2.3,4.8,7.1,6.6,13.7,9.7,8.0,17.8,6.5,5.1,11.6,7.1,6.0,13.1,10.3,10.3,20.6,8.0,10.4,18.5,Cumberland, MD,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",310M200US19100,6703020,3300766,253884,3402254,243579,497463,677144,649196,1326340,560446,557945,1118391,483925,501476,985401,481958,490664,972622,564600,595533,1160133,278809,363861,642670,3.8,3.6,7.4,10.1,9.7,19.8,8.4,8.3,16.7,7.2,7.5,14.7,7.2,7.3,14.5,8.4,8.9,17.3,4.2,5.4,9.6,Dallas-Fort Worth-Arlington, TX,19100
"Dalton, GA Metro Area",310M200US19140,142548,70517,5018,72031,5199,10217,14422,14027,28449,11869,11010,22879,9126,9006,18132,10213,10703,20916,12397,12596,24993,7472,9490,16962,3.5,3.6,7.2,10.1,9.8,20.0,8.3,7.7,16.1,6.4,6.3,12.7,7.2,7.5,14.7,8.7,8.8,17.5,5.2,6.7,11.9,Dalton, GA,19140
"Danville, IL Metro Area",310M200US19180,80773,40135,2737,40638,2606,5343,7268,6964,14232,5907,5500,11407,5018,4531,9549,4968,4939,9907,8289,8585,16874,5948,7513,13461,3.4,3.2,6.6,9.0,8.6,17.6,7.3,6.8,14.1,6.2,5.6,11.8,6.2,6.1,12.3,10.3,10.6,20.9,7.4,9.3,16.7,Danville, IL,19180
"Danville, KY Micro Area",310M200US19220,53696,26282,1601,27414,1572,3173,4379,4397,8776,4389,3931,8320,3259,3209,6468,3665,3662,7327,5173,5579,10752,3816,5064,8880,3.0,2.9,5.9,8.2,8.2,16.3,8.2,7.3,15.5,6.1,6.0,12.0,6.8,6.8,13.6,9.6,10.4,20.0,7.1,9.4,16.5,Danville, KY,19220
"Danville, VA Micro Area",310M200US19260,105659,50452,2767,55207,2939,5706,8359,8111,16470,7338,7103,14441,5284,5711,10995,6887,7283,14170,11522,12492,24014,8295,11568,19863,2.6,2.8,5.4,7.9,7.7,15.6,6.9,6.7,13.7,5.0,5.4,10.4,6.5,6.9,13.4,10.9,11.8,22.7,7.9,10.9,18.8,Danville, VA,19260
"Daphne-Fairhope-Foley, AL Metro Area",310M200US19300,191205,93229,5752,97976,5650,11402,16118,15666,31784,12929,12458,25387,10812,11026,21838,12977,13893,26870,18967,21175,40142,15674,18108,33782,3.0,3.0,6.0,8.4,8.2,16.6,6.8,6.5,13.3,5.7,5.8,11.4,6.8,7.3,14.1,9.9,11.1,21.0,8.2,9.5,17.7,Daphne-Fairhope-Foley, AL,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",310M200US19340,381913,187900,12204,194013,11917,24121,33313,31436,64749,28639,28537,57176,24048,23702,47750,24431,23994,48425,39203,40646,79849,26062,33781,59843,3.2,3.1,6.3,8.7,8.2,17.0,7.5,7.5,15.0,6.3,6.2,12.5,6.4,6.3,12.7,10.3,10.6,20.9,6.8,8.8,15.7,Davenport-Moline-Rock Island, IA,19340
"Dayton, OH Metro Area",310M200US19380,801259,387853,24665,413406,23500,48165,67367,64480,131847,66614,66543,133157,45746,47577,93323,50975,53070,104045,79070,86055,165125,53416,72181,125597,3.1,2.9,6.0,8.4,8.0,16.5,8.3,8.3,16.6,5.7,5.9,11.6,6.4,6.6,13.0,9.9,10.7,20.6,6.7,9.0,15.7,Dayton, OH,19380
"Dayton, TN Micro Area",310M200US19420,32272,15957,830,16315,854,1684,3108,2704,5812,2370,2428,4798,1727,1856,3583,2353,2161,4514,3138,3361,6499,2431,2951,5382,2.6,2.6,5.2,9.6,8.4,18.0,7.3,7.5,14.9,5.4,5.8,11.1,7.3,6.7,14.0,9.7,10.4,20.1,7.5,9.1,16.7,Dayton, TN,19420
"Decatur, AL Metro Area",310M200US19460,153579,75268,4756,78311,4550,9306,13354,13059,26413,11462,10855,22317,9609,9655,19264,10664,10728,21392,15330,16481,31811,10093,12983,23076,3.1,3.0,6.1,8.7,8.5,17.2,7.5,7.1,14.5,6.3,6.3,12.5,6.9,7.0,13.9,10.0,10.7,20.7,6.6,8.5,15.0,Decatur, AL,19460
"Decatur, IL Metro Area",310M200US19500,109833,52618,3476,57215,3322,6798,9067,8896,17963,8044,8678,16722,6193,6607,12800,6392,6901,13293,11406,12163,23569,8040,10648,18688,3.2,3.0,6.2,8.3,8.1,16.4,7.3,7.9,15.2,5.6,6.0,11.7,5.8,6.3,12.1,10.4,11.1,21.5,7.3,9.7,17.0,Decatur, IL,19500
"Decatur, IN Micro Area",310M200US19540,34533,17066,1695,17467,1538,3233,3856,3722,7578,2435,2372,4807,1895,1802,3697,2166,2094,4260,2983,3122,6105,2036,2817,4853,4.9,4.5,9.4,11.2,10.8,21.9,7.1,6.9,13.9,5.5,5.2,10.7,6.3,6.1,12.3,8.6,9.0,17.7,5.9,8.2,14.1,Decatur, IN,19540
"Defiance, OH Micro Area",310M200US19580,38795,19242,1219,19553,1107,2326,3643,3346,6989,2982,2712,5694,2339,2394,4733,2304,2335,4639,4071,4129,8200,2684,3530,6214,3.1,2.9,6.0,9.4,8.6,18.0,7.7,7.0,14.7,6.0,6.2,12.2,5.9,6.0,12.0,10.5,10.6,21.1,6.9,9.1,16.0,Defiance, OH,19580
"Del Rio, TX Micro Area",310M200US19620,48999,24779,2028,24220,2023,4051,5261,5038,10299,4963,3942,8905,3105,3054,6159,2994,2830,5824,3502,3882,7384,2926,3451,6377,4.1,4.1,8.3,10.7,10.3,21.0,10.1,8.0,18.2,6.3,6.2,12.6,6.1,5.8,11.9,7.1,7.9,15.1,6.0,7.0,13.0,Del Rio, TX,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",310M200US19660,597824,290535,14433,307289,14068,28501,41802,40289,82091,42747,39570,82317,29254,30247,59501,36961,38175,75136,63131,70251,133382,62207,74689,136896,2.4,2.4,4.8,7.0,6.7,13.7,7.2,6.6,13.8,4.9,5.1,10.0,6.2,6.4,12.6,10.6,11.8,22.3,10.4,12.5,22.9,Deltona-Daytona Beach-Ormond Beach, FL,19660
"Deming, NM Micro Area",310M200US19700,24947,12348,937,12599,861,1798,2398,2427,4825,1771,1740,3511,1242,1335,2577,1407,1313,2720,2177,2391,4568,2416,2532,4948,3.8,3.5,7.2,9.6,9.7,19.3,7.1,7.0,14.1,5.0,5.4,10.3,5.6,5.3,10.9,8.7,9.6,18.3,9.7,10.1,19.8,Deming, NM,19700
"Denver-Aurora-Lakewood, CO Metro Area",310M200US19740,2651392,1319273,91642,1332119,86769,178411,237822,228019,465841,220005,213316,433321,204968,198216,403184,191821,187206,379027,246650,257199,503849,126365,161394,287759,3.5,3.3,6.7,9.0,8.6,17.6,8.3,8.0,16.3,7.7,7.5,15.2,7.2,7.1,14.3,9.3,9.7,19.0,4.8,6.1,10.9,Denver-Aurora-Lakewood, CO,19740
"Dickinson, ND Micro Area",310M200US19860,27038,13890,924,13148,891,1815,2302,2083,4385,2789,2365,5154,1874,1501,3375,1609,1563,3172,2732,2537,5269,1660,2208,3868,3.4,3.3,6.7,8.5,7.7,16.2,10.3,8.7,19.1,6.9,5.6,12.5,6.0,5.8,11.7,10.1,9.4,19.5,6.1,8.2,14.3,Dickinson, ND,19860
"Dixon, IL Micro Area",310M200US19940,35248,18426,1062,16822,872,1934,2673,2749,5422,2840,2179,5019,2463,1791,4254,2716,2314,5030,4011,3741,7752,2661,3176,5837,3.0,2.5,5.5,7.6,7.8,15.4,8.1,6.2,14.2,7.0,5.1,12.1,7.7,6.6,14.3,11.4,10.6,22.0,7.5,9.0,16.6,Dixon, IL,19940
"Dodge City, KS Micro Area",310M200US19980,34604,17854,1869,16750,1710,3579,3690,3395,7085,3356,2968,6324,2275,2163,4438,2372,1895,4267,2772,2649,5421,1520,1970,3490,5.4,4.9,10.3,10.7,9.8,20.5,9.7,8.6,18.3,6.6,6.3,12.8,6.9,5.5,12.3,8.0,7.7,15.7,4.4,5.7,10.1,Dodge City, KS,19980
"Dothan, AL Metro Area",310M200US20020,147165,70767,4713,76398,4409,9122,13023,12416,25439,10238,10620,20858,8501,9697,18198,9797,9947,19744,14196,15664,29860,10299,13645,23944,3.2,3.0,6.2,8.8,8.4,17.3,7.0,7.2,14.2,5.8,6.6,12.4,6.7,6.8,13.4,9.6,10.6,20.3,7.0,9.3,16.3,Dothan, AL,20020
"Douglas, GA Micro Area",310M200US20060,42947,21925,1538,21022,1421,2959,3928,3947,7875,4160,3477,7637,3500,2749,6249,2857,2657,5514,3755,3892,7647,2187,2879,5066,3.6,3.3,6.9,9.1,9.2,18.3,9.7,8.1,17.8,8.1,6.4,14.6,6.7,6.2,12.8,8.7,9.1,17.8,5.1,6.7,11.8,Douglas, GA,20060
"Dover, DE Metro Area",310M200US20100,167477,80690,5681,86787,5409,11090,14993,14405,29398,14748,14783,29531,9676,10857,20533,10272,11185,21457,14591,16508,31099,10729,13640,24369,3.4,3.2,6.6,9.0,8.6,17.6,8.8,8.8,17.6,5.8,6.5,12.3,6.1,6.7,12.8,8.7,9.9,18.6,6.4,8.1,14.6,Dover, DE,20100
"Dublin, GA Micro Area",310M200US20140,57878,28413,1844,29465,1902,3746,5243,5087,10330,4210,4158,8368,3884,3632,7516,3844,3789,7633,5659,5801,11460,3729,5096,8825,3.2,3.3,6.5,9.1,8.8,17.8,7.3,7.2,14.5,6.7,6.3,13.0,6.6,6.5,13.2,9.8,10.0,19.8,6.4,8.8,15.2,Dublin, GA,20140
"DuBois, PA Micro Area",310M200US20180,81472,42340,1987,39132,1871,3858,6059,5734,11793,6428,4816,11244,5680,4229,9909,6568,5529,12097,9207,8625,17832,6411,8328,14739,2.4,2.3,4.7,7.4,7.0,14.5,7.9,5.9,13.8,7.0,5.2,12.2,8.1,6.8,14.8,11.3,10.6,21.9,7.9,10.2,18.1,DuBois, PA,20180
"Dubuque, IA Metro Area",310M200US20220,95166,46852,2977,48314,2873,5850,8186,8142,16328,8247,7696,15943,5413,5202,10615,6103,6094,12197,9611,9813,19424,6315,8494,14809,3.1,3.0,6.1,8.6,8.6,17.2,8.7,8.1,16.8,5.7,5.5,11.2,6.4,6.4,12.8,10.1,10.3,20.4,6.6,8.9,15.6,Dubuque, IA,20220
"Duluth, MN-WI Metro Area",310M200US20260,279894,140862,7768,139032,7417,15185,21234,20099,41333,25744,23476,49220,16449,15127,31576,17626,16867,34493,31871,30970,62841,20170,25076,45246,2.8,2.6,5.4,7.6,7.2,14.8,9.2,8.4,17.6,5.9,5.4,11.3,6.3,6.0,12.3,11.4,11.1,22.5,7.2,9.0,16.2,Duluth, MN,20260
"Dumas, TX Micro Area",310M200US20300,22172,11497,1016,10675,1013,2029,2715,2279,4994,2080,1714,3794,1693,1461,3154,1240,1294,2534,1780,1722,3502,973,1192,2165,4.6,4.6,9.2,12.2,10.3,22.5,9.4,7.7,17.1,7.6,6.6,14.2,5.6,5.8,11.4,8.0,7.8,15.8,4.4,5.4,9.8,Dumas, TX,20300
"Duncan, OK Micro Area",310M200US20340,44900,21947,1542,22953,1327,2869,3940,3965,7905,3170,3062,6232,2596,2761,5357,2597,2649,5246,4639,4756,9395,3463,4433,7896,3.4,3.0,6.4,8.8,8.8,17.6,7.1,6.8,13.9,5.8,6.1,11.9,5.8,5.9,11.7,10.3,10.6,20.9,7.7,9.9,17.6,Duncan, OK,20340
"Dunn, NC Micro Area",310M200US20380,121789,59921,4822,61868,4714,9536,12284,11733,24017,10656,10506,21162,8650,9041,17691,8269,8053,16322,9745,10335,20080,5495,7486,12981,4.0,3.9,7.8,10.1,9.6,19.7,8.7,8.6,17.4,7.1,7.4,14.5,6.8,6.6,13.4,8.0,8.5,16.5,4.5,6.1,10.7,Dunn, NC,20380
"Durango, CO Micro Area",310M200US20420,52547,26698,1491,25849,1367,2858,3955,3647,7602,4988,4517,9505,3794,3321,7115,3142,3357,6499,5992,6193,12185,3336,3447,6783,2.8,2.6,5.4,7.5,6.9,14.5,9.5,8.6,18.1,7.2,6.3,13.5,6.0,6.4,12.4,11.4,11.8,23.2,6.3,6.6,12.9,Durango, CO,20420
"Durant, OK Micro Area",310M200US20460,43595,21212,1412,22383,1505,2917,3650,3612,7262,3991,3855,7846,2594,2667,5261,2543,2618,5161,3788,4194,7982,3234,3932,7166,3.2,3.5,6.7,8.4,8.3,16.7,9.2,8.8,18.0,6.0,6.1,12.1,5.8,6.0,11.8,8.7,9.6,18.3,7.4,9.0,16.4,Durant, OK,20460
"Durham-Chapel Hill, NC Metro Area",310M200US20500,525050,252695,16934,272355,16049,32983,41447,39059,80506,49913,54748,104661,36341,36720,73061,34454,36678,71132,46427,52364,98791,27179,36737,63916,3.2,3.1,6.3,7.9,7.4,15.3,9.5,10.4,19.9,6.9,7.0,13.9,6.6,7.0,13.5,8.8,10.0,18.8,5.2,7.0,12.2,Durham-Chapel Hill, NC,20500
"Dyersburg, TN Micro Area",310M200US20540,38156,18500,1189,19656,1167,2356,3648,3320,6968,2588,2727,5315,1908,2311,4219,2843,2776,5619,3868,3934,7802,2456,3421,5877,3.1,3.1,6.2,9.6,8.7,18.3,6.8,7.1,13.9,5.0,6.1,11.1,7.5,7.3,14.7,10.1,10.3,20.4,6.4,9.0,15.4,Dyersburg, TN,20540
"Eagle Pass, TX Micro Area",310M200US20580,55821,27402,2471,28419,2461,4932,6740,6552,13292,5143,4564,9707,3119,3305,6424,3336,3669,7005,3914,4457,8371,2679,3411,6090,4.4,4.4,8.8,12.1,11.7,23.8,9.2,8.2,17.4,5.6,5.9,11.5,6.0,6.6,12.5,7.0,8.0,15.0,4.8,6.1,10.9,Eagle Pass, TX,20580
"Easton, MD Micro Area",310M200US20660,37894,18015,939,19879,823,1762,2703,2717,5420,2251,2156,4407,1467,1719,3186,2393,2655,5048,3943,4583,8526,4319,5226,9545,2.5,2.2,4.6,7.1,7.2,14.3,5.9,5.7,11.6,3.9,4.5,8.4,6.3,7.0,13.3,10.4,12.1,22.5,11.4,13.8,25.2,Easton, MD,20660
"East Stroudsburg, PA Metro Area",310M200US20700,168342,83140,4010,85202,3951,7961,15225,14479,29704,13897,12781,26678,8300,9087,17387,12110,12968,25078,18917,19224,38141,10681,12712,23393,2.4,2.3,4.7,9.0,8.6,17.6,8.3,7.6,15.8,4.9,5.4,10.3,7.2,7.7,14.9,11.2,11.4,22.7,6.3,7.6,13.9,East Stroudsburg, PA,20700
"Eau Claire, WI Metro Area",310M200US20740,163658,82091,5129,81567,4471,9600,13204,12570,25774,16593,16633,33226,10750,9342,20092,10238,9673,19911,15996,16156,32152,10181,12722,22903,3.1,2.7,5.9,8.1,7.7,15.7,10.1,10.2,20.3,6.6,5.7,12.3,6.3,5.9,12.2,9.8,9.9,19.6,6.2,7.8,14.0,Eau Claire, WI,20740
"Edwards, CO Micro Area",310M200US20780,52233,28186,1556,24047,1263,2819,5120,4378,9498,5163,3927,9090,5034,4135,9169,4310,3862,8172,5174,4732,9906,1829,1750,3579,3.0,2.4,5.4,9.8,8.4,18.2,9.9,7.5,17.4,9.6,7.9,17.6,8.3,7.4,15.6,9.9,9.1,19.0,3.5,3.4,6.9,Edwards, CO,20780
"Effingham, IL Micro Area",310M200US20820,34280,17154,1121,17126,1070,2191,3257,2849,6106,2662,2424,5086,2088,1942,4030,2201,2121,4322,3507,3560,7067,2318,3160,5478,3.3,3.1,6.4,9.5,8.3,17.8,7.8,7.1,14.8,6.1,5.7,11.8,6.4,6.2,12.6,10.2,10.4,20.6,6.8,9.2,16.0,Effingham, IL,20820
"El Campo, TX Micro Area",310M200US20900,41219,20218,1443,21001,1431,2874,4002,3961,7963,3236,3006,6242,2271,2591,4862,2615,2390,5005,3966,4066,8032,2685,3556,6241,3.5,3.5,7.0,9.7,9.6,19.3,7.9,7.3,15.1,5.5,6.3,11.8,6.3,5.8,12.1,9.6,9.9,19.5,6.5,8.6,15.1,El Campo, TX,20900
"El Centro, CA Metro Area",310M200US20940,177026,90736,7356,86290,6992,14348,18819,17826,36645,17924,14653,32577,12644,10583,23227,11188,10794,21982,13845,14581,28426,8960,10861,19821,4.2,3.9,8.1,10.6,10.1,20.7,10.1,8.3,18.4,7.1,6.0,13.1,6.3,6.1,12.4,7.8,8.2,16.1,5.1,6.1,11.2,El Centro, CA,20940
"El Dorado, AR Micro Area",310M200US20980,40954,19786,1368,21168,1311,2679,3572,3489,7061,2821,2850,5671,2641,2659,5300,2387,2652,5039,4169,4410,8579,2828,3797,6625,3.3,3.2,6.5,8.7,8.5,17.2,6.9,7.0,13.8,6.4,6.5,12.9,5.8,6.5,12.3,10.2,10.8,20.9,6.9,9.3,16.2,El Dorado, AR,20980
"Ellensburg, WA Micro Area",310M200US21260,41705,20947,1097,20758,993,2090,2797,2687,5484,6249,6000,12249,1933,1929,3862,2397,2349,4746,3770,3823,7593,2704,2977,5681,2.6,2.4,5.0,6.7,6.4,13.1,15.0,14.4,29.4,4.6,4.6,9.3,5.7,5.6,11.4,9.0,9.2,18.2,6.5,7.1,13.6,Ellensburg, WA,21260
"Elmira, NY Metro Area",310M200US21300,88681,44148,2638,44533,2553,5191,7397,6951,14348,6885,6594,13479,5501,4926,10427,6070,5840,11910,9620,9608,19228,6037,8061,14098,3.0,2.9,5.9,8.3,7.8,16.2,7.8,7.4,15.2,6.2,5.6,11.8,6.8,6.6,13.4,10.8,10.8,21.7,6.8,9.1,15.9,Elmira, NY,21300
"El Paso, TX Metro Area",310M200US21340,827206,403557,34118,423649,32944,67062,88243,85526,173769,81863,74685,156548,52978,54359,107337,48458,54879,103337,60661,69956,130617,37236,51300,88536,4.1,4.0,8.1,10.7,10.3,21.0,9.9,9.0,18.9,6.4,6.6,13.0,5.9,6.6,12.5,7.3,8.5,15.8,4.5,6.2,10.7,El Paso, TX,21340
"Emporia, KS Micro Area",310M200US21380,33510,16312,1072,17198,1147,2219,2767,2687,5454,3930,4177,8107,1678,1835,3513,2024,1906,3930,2965,2965,5930,1876,2481,4357,3.2,3.4,6.6,8.3,8.0,16.3,11.7,12.5,24.2,5.0,5.5,10.5,6.0,5.7,11.7,8.8,8.8,17.7,5.6,7.4,13.0,Emporia, KS,21380
"Enid, OK Micro Area",310M200US21420,61663,30574,2247,31089,2308,4555,5548,5448,10996,5368,4694,10062,4010,4001,8011,3433,3244,6677,5905,5995,11900,4063,5399,9462,3.6,3.7,7.4,9.0,8.8,17.8,8.7,7.6,16.3,6.5,6.5,13.0,5.6,5.3,10.8,9.6,9.7,19.3,6.6,8.8,15.3,Enid, OK,21420
"Enterprise, AL Micro Area",310M200US21460,50726,25135,1729,25591,1560,3289,4507,4328,8835,4086,3676,7762,3449,3356,6805,3330,3370,6700,4727,4955,9682,3307,4346,7653,3.4,3.1,6.5,8.9,8.5,17.4,8.1,7.2,15.3,6.8,6.6,13.4,6.6,6.6,13.2,9.3,9.8,19.1,6.5,8.6,15.1,Enterprise, AL,21460
"Erie, PA Metro Area",310M200US21500,280132,137955,8385,142177,8011,16396,23669,22160,45829,25145,24705,49850,16061,15708,31769,17807,17977,35784,28814,29519,58333,18074,24097,42171,3.0,2.9,5.9,8.4,7.9,16.4,9.0,8.8,17.8,5.7,5.6,11.3,6.4,6.4,12.8,10.3,10.5,20.8,6.5,8.6,15.1,Erie, PA,21500
"Escanaba, MI Micro Area",310M200US21540,36841,18235,977,18606,913,1890,2900,2751,5651,2251,2134,4385,1948,1895,3843,2253,2267,4520,4537,4562,9099,3369,4084,7453,2.7,2.5,5.1,7.9,7.5,15.3,6.1,5.8,11.9,5.3,5.1,10.4,6.1,6.2,12.3,12.3,12.4,24.7,9.1,11.1,20.2,Escanaba, MI,21540
"Española, NM Micro Area",310M200US21580,40155,19750,1299,20405,1500,2799,3511,3511,7022,2974,2893,5867,2433,2248,4681,2464,2558,5022,4279,4363,8642,2790,3332,6122,3.2,3.7,7.0,8.7,8.7,17.5,7.4,7.2,14.6,6.1,5.6,11.7,6.1,6.4,12.5,10.7,10.9,21.5,6.9,8.3,15.2,Española, NM,21580
"Eugene, OR Metro Area",310M200US21660,354764,174261,9133,180503,8681,17814,26118,24849,50967,34834,33882,68716,21943,21066,43009,20466,21192,41658,35913,39296,75209,25854,31537,57391,2.6,2.4,5.0,7.4,7.0,14.4,9.8,9.6,19.4,6.2,5.9,12.1,5.8,6.0,11.7,10.1,11.1,21.2,7.3,8.9,16.2,Eugene, OR,21660
"Eureka-Arcata-Fortuna, CA Micro Area",310M200US21700,134876,67533,3805,67343,3612,7417,9718,9389,19107,13804,13266,27070,9518,8657,18175,7768,7124,14892,14293,14846,29139,8627,10449,19076,2.8,2.7,5.5,7.2,7.0,14.2,10.2,9.8,20.1,7.1,6.4,13.5,5.8,5.3,11.0,10.6,11.0,21.6,6.4,7.7,14.1,Eureka-Arcata-Fortuna, CA,21700
